id,base_currency,quote_currency,base_min_size,base_max_size,quote_increment,base_increment,display_name,min_market_funds,max_market_funds,margin_enabled,fx_stablecoin,max_slippage_percentage,post_only,limit_only,cancel_only,trading_disabled,status_message,auction_mode
GALA-USDT,GALA,USDT,3,3600000,0.00001,1,GALA/USDT,1,1100000,False,False,0.03000000,False,False,False,False,,False
DOT-USD,DOT,USD,0.021,140000,0.01,0.001,DOT/USD,1,3600000,False,False,0.03000000,False,False,False,False,,False
SUPER-USDT,SUPER,USDT,0.1,170000,0.00001,0.01,SUPER/USDT,1,100000,False,False,0.03000000,False,False,False,False,,False
ZEN-USD,ZEN,USD,0.01,960,0.01,0.001,ZEN/USD,1,88000,False,False,0.03000000,False,False,False,False,,False
FIL-GBP,FIL,GBP,0.016,11000,0.01,0.001,FIL/GBP,0.72,220000,False,False,0.03000000,False,False,False,False,,False
SUKU-USDT,SUKU,USDT,0.9,460000,0.0001,0.1,SUKU/USDT,1,210000,False,False,0.03000000,False,False,False,False,,False
LCX-EUR,LCX,EUR,2.7,1600000,0.0001,0.1,LCX/EUR,0.84,170000,False,False,0.03000000,False,False,False,False,,False
BTC-EUR,BTC,EUR,0.000015,220,0.01,0.00000001,BTC/EUR,0.84,7800000,False,False,0.03000000,False,False,False,False,,False
BLZ-USD,BLZ,USD,1,1200000,0.0001,0.1,BLZ/USD,1,200000,False,False,0.03000000,False,False,False,False,,False
CGLD-GBP,CGLD,GBP,0.16,65000,0.001,0.01,CGLD/GBP,0.72,220000,False,False,0.03000000,False,False,False,False,,False
XLM-USDT,XLM,USDT,1,1300000,0.0001,0.1,XLM/USDT,1,250000,False,False,0.03000000,False,False,False,False,,False
ORN-BTC,ORN,BTC,0.12,42000,0.0000001,0.01,ORN/BTC,0.000016,10,False,False,0.03000000,False,False,False,False,,False
CVC-USD,CVC,USD,1.8,650000,0.0001,0.1,CVC/USD,1,200000,False,False,0.03000000,False,False,False,False,,False
ERN-USD,ERN,USD,0.01,19000,0.01,0.001,ERN/USD,1,100000,False,False,0.03000000,False,False,False,False,,False
LINK-USDT,LINK,USDT,0.01,15000,0.01,0.001,LINK/USDT,1,100000,False,False,0.03000000,False,True,False,False,,False
LTC-GBP,LTC,GBP,0.0042,5800,0.01,0.00000001,LTC/GBP,0.72,600000,False,False,0.03000000,False,False,False,False,,False
SYN-USD,SYN,USD,0.1,120000,0.001,0.01,SYN/USD,1,250000,False,False,0.03000000,False,True,False,False,,False
BAT-BTC,BAT,BTC,0.92,320000,0.00000001,0.01,BAT/BTC,0.000016,10,False,False,0.03000000,False,False,False,False,,False
CGLD-EUR,CGLD,EUR,0.16,82000,0.01,0.01,CGLD/EUR,0.84,330000,False,False,0.03000000,False,False,False,False,,False
MDT-USD,MDT,USD,10,6800000,0.00001,1,MDT/USD,1,550000,False,False,0.03000000,False,False,False,False,,False
COVAL-USDT,COVAL,USDT,10,18000000,0.00001,1,COVAL/USDT,1,100000,False,False,0.03000000,False,False,False,False,,False
AIOZ-USDT,AIOZ,USDT,1,1700000,0.0001,0.1,AIOZ/USDT,1,250000,False,False,0.03000000,False,True,False,False,,False
MASK-USDT,MASK,USDT,0.07,24000,0.01,0.01,MASK/USDT,1,200000,False,False,0.03000000,False,False,False,False,,False
FET-USDT,FET,USDT,1.1,430000,0.0001,0.1,FET/USDT,1,200000,False,False,0.03000000,False,False,False,False,,False
ZEC-BTC,ZEC,BTC,0.0056,3600,0.000001,0.0001,ZEC/BTC,0.000016,12,False,False,0.03000000,False,False,False,False,,False
AXS-EUR,AXS,EUR,0.006,5400,0.01,0.001,AXS/EUR,0.84,350000,False,False,0.03000000,False,False,False,False,,False
ANKR-USD,ANKR,USD,7,10000000,0.00001,1,ANKR/USD,1,880000,False,False,0.03000000,False,False,False,False,,False
ICP-BTC,ICP,BTC,0.021,17000,0.0000001,0.0001,ICP/BTC,0.000016,12,False,False,0.03000000,False,False,False,False,,False
WCFG-USDT,WCFG,USDT,0.57,240000,0.00001,0.01,WCFG/USDT,1,200000,False,False,0.03000000,False,False,False,False,,False
BTRST-BTC,BTRST,BTC,0.17,79000,0.00000001,0.01,BTRST/BTC,0.000016,10,False,False,0.03000000,False,False,False,False,,False
PAX-USD,PAX,USD,0.99,2100000,0.0001,0.01,PAX/USD,1,2100000,False,True,0.01000000,False,False,False,False,,False
AIOZ-USD,AIOZ,USD,1,1700000,0.0001,0.1,AIOZ/USD,1,250000,False,False,0.03000000,False,False,False,False,,False
BNT-EUR,BNT,EUR,0.22,65000,0.001,0.000001,BNT/EUR,0.84,170000,False,False,0.03000000,False,False,False,False,,False
ARPA-USDT,ARPA,USDT,5.3,2600000,0.0001,0.1,ARPA/USDT,1,210000,False,False,0.03000000,False,False,False,False,,False
LOOM-USD,LOOM,USD,0.7,2300000,0.0001,0.1,LOOM/USD,1,200000,False,False,0.03000000,False,False,False,False,,False
LINK-ETH,LINK,ETH,0.03,27000,0.00000001,0.01,LINK/ETH,0.00022,200,False,False,0.03000000,False,False,False,False,,False
TRB-BTC,TRB,BTC,0.016,7200,0.0000001,0.001,TRB/BTC,0.000016,10,False,False,0.03000000,False,False,False,False,,False
AGLD-USD,AGLD,USD,0.36,200000,0.001,0.01,AGLD/USD,1,260000,False,False,0.03000000,False,False,False,False,,False
SNT-USD,SNT,USD,1,5000000,0.00001,0.1,SNT/USD,1,250000,False,False,0.03000000,False,False,False,False,,False
MIR-BTC,MIR,BTC,0.31,130000,0.00000001,0.01,MIR/BTC,0.000016,10,False,False,0.03000000,False,False,False,False,,False
REP-BTC,REP,BTC,0.04,13000,0.0000001,0.000001,REP/BTC,0.000016,10,False,False,0.03000000,False,False,False,False,,False
CTX-USDT,CTX,USDT,0.01,8900,0.01,0.001,CTX/USDT,5,100000,False,False,0.03000000,False,True,False,False,,False
BCH-EUR,BCH,EUR,0.0015,2200,0.01,0.00000001,BCH/EUR,0.84,720000,False,False,0.03000000,False,False,False,False,,False
SOL-USDT,SOL,USDT,0.004,14000,0.01,0.001,SOL/USDT,1,1900000,False,False,0.03000000,False,False,False,False,,False
BCH-BTC,BCH,BTC,0.0016,2300,0.000001,0.00000001,BCH/BTC,0.00001,21,False,False,0.03000000,False,False,False,False,,False
LPT-USD,LPT,USD,0.02,15000,0.01,0.001,LPT/USD,1,500000,False,False,0.03000000,False,False,False,False,,False
DOGE-USDT,DOGE,USDT,3.8,3200000,0.0001,0.1,DOGE/USDT,1,540000,False,False,0.03000000,False,False,False,False,,False
FOX-USDT,FOX,USDT,1,460000,0.0001,0.1,FOX/USDT,1,100000,False,False,0.03000000,False,True,False,False,,False
SUPER-USD,SUPER,USD,0.1,310000,0.00001,0.01,SUPER/USD,1,310000,False,False,0.03000000,False,False,False,False,,False
MATIC-USDT,MATIC,USDT,0.1,160000,0.001,0.01,MATIC/USDT,1,100000,False,False,0.03000000,False,False,False,False,,False
SOL-EUR,SOL,EUR,0.004,11000,0.01,0.001,SOL/EUR,0.84,1300000,False,False,0.03000000,False,False,False,False,,False
RAD-BTC,RAD,BTC,0.07,33000,0.0000001,0.01,RAD/BTC,0.000016,10,False,False,0.03000000,False,False,False,False,,False
PERP-USD,PERP,USD,0.06,29000,0.01,0.001,PERP/USD,1,250000,False,False,0.03000000,False,False,False,False,,False
REN-BTC,REN,BTC,1,590000,0.00000001,1,REN/BTC,0.000016,10,False,False,0.03000000,False,False,False,False,,False
AERGO-USD,AERGO,USD,1,1500000,0.0001,0.1,AERGO/USD,1,250000,False,False,0.03000000,False,False,False,False,,False
CHZ-USD,CHZ,USD,2,2600000,0.0001,0.1,CHZ/USD,1,650000,False,False,0.03000000,False,False,False,False,,False
BADGER-USDT,BADGER,USDT,0.032,15000,0.01,0.001,BADGER/USDT,1,200000,False,False,0.03000000,False,False,False,False,,False
SNX-EUR,SNX,EUR,0.098,39000,0.001,0.001,SNX/EUR,0.84,170000,False,False,0.03000000,False,False,False,False,,False
DOT-GBP,DOT,GBP,0.02,22000,0.01,0.001,DOT/GBP,0.72,400000,False,False,0.03000000,False,False,False,False,,False
XLM-USD,XLM,USD,2,9100000,0.000001,1,XLM/USD,1,2300000,False,False,0.03000000,False,False,False,False,,False
