Name,Symbol,Algorithm,Market cap [USD million],Market cap [%],Hashes/s (network),Efficiency (device) [Hashes/s/W],Rated power (network) [kW],Rated power (network) [%]
Bitcoin,BTC,SHA-256,122.768,79.69%,1.09E+20,2.53E+10,4291.366,68.39%
Ethereum,ETH,Ethasha,15.209,9.87%,1.64E+14,2.28E+05,719.087,11.46%
Bitcoin Cash,BCH,SHA-256,4.183,2.72%,3.88E+18,2.53E+10,153.374,2.44%
Bitcoin SV,BSV,SHA-256,3.181,2.07%,3.04E+18,2.53E+10,120.077,1.91%
Litecoin,LTC,Scrypt,2.595,1.68%,1.36E+14,8.27E+05,164.796,2.63%
Monero,XMR,RandomXa,864,0.56%,1.27E+09,6.00E+00,210.277,3.35%
Dash,DASH,X11,639,0.41%,4.59E+15,1.23E+08,37.386,0.60%
Ethereum C,ETC,Ethasha,597,0.39%,9.87E+12,2.28E+05,43.278,0.69%
Zcash,ZEC,Equihash,310,0.20%,4.42E+09,9.00E+01,49.022,0.78%
DogeCoin,DOGE,Scrypt,229,0.15%,1.30E+14,8.27E+05,157.494,2.51%
Bitcoin Gold,BTG,ZHasha,133,0.09%,2.64E+06,0.00E+00,8.949,0.14%
Decred,DCR,Blake,125,0.08%,4.16E+17,1.89E+10,22.013,0.35%
RavenCoin,RVN,X16Rv2a,89,0.06%,3.14E+13,1.16E+05,270.792,4.32%
MonaCoin,MONA,Lyra2REv2,85,0.05%,9.16E+13,1.17E+07,7.844,0.13%
Bytom,BTM,Tensority,61,0.04%,5.30E+08,1.82E+02,2.915,0.05%
SiaCoin,SC,Sia,55,0.04%,5.70E+15,1.22E+09,4.664,0.07%
DigiByte,DGB,SHA-256,53,0.03%,6.60E+16,2.53E+10,2.608,0.04%
Horizen,ZEN,Equihash,48,0.03%,6.86E+08,9.00E+01,7.606,0.12%
Komodo,KMD,Equihash,46,0.03%,6.08E+07,9.00E+01,674,0.01%
Bytecoin,BCN,CryptoNight,43,0.03%,2.33E+08,5.00E+02,467,0.01%
