unix,low,high,open,close,volume,date,time,vol_fiat
1626912000,3.619e-05,3.711e-05,3.643e-05,3.67e-05,1753375.53,2021-07-22,2021-07-22,64.348881951
1626825600,3.517e-05,3.777e-05,3.543e-05,3.641e-05,3177395.2,2021-07-21,2021-07-21,115.688959232
1626739200,3.458e-05,3.664e-05,3.638e-05,3.543e-05,5210570.15,2021-07-20,2021-07-20,184.6105004145
1626652800,3.637e-05,3.747e-05,3.719e-05,3.641e-05,2219674.54,2021-07-19,2021-07-19,80.81835000139999
1626566400,3.711e-05,3.796e-05,3.721e-05,3.717e-05,1055020.17,2021-07-18,2021-07-18,39.21509971889999
1626480000,3.671e-05,3.76e-05,3.731e-05,3.719e-05,1397820.91,2021-07-17,2021-07-17,51.9849596429
1626393600,3.712e-05,3.888e-05,3.848e-05,3.731e-05,1578950.39,2021-07-16,2021-07-16,58.910639050899995
1626307200,3.799e-05,3.902e-05,3.848e-05,3.845e-05,1465072.15,2021-07-15,2021-07-15,56.332024167499995
1626220800,3.766e-05,3.926e-05,3.865e-05,3.851e-05,1757537.64,2021-07-14,2021-07-14,67.6827745164
1626134400,3.859e-05,3.978e-05,3.964e-05,3.864e-05,1655369.59,2021-07-13,2021-07-13,63.963480957600005
1626048000,3.933e-05,4.003e-05,3.944e-05,3.963e-05,1584614.49,2021-07-12,2021-07-12,62.798272238699994
1625961600,3.925e-05,4.005e-05,3.99e-05,3.94e-05,1113235.42,2021-07-11,2021-07-11,43.861475548
1625875200,3.919e-05,4.003e-05,3.993e-05,3.988e-05,1297081.82,2021-07-10,2021-07-10,51.7276229816
1625788800,3.978e-05,4.096e-05,4.039e-05,3.994e-05,1798242.71,2021-07-09,2021-07-09,71.8218138374
1625702400,4.04e-05,4.204e-05,4.148e-05,4.04e-05,1697719.62,2021-07-08,2021-07-08,68.587872648
1625616000,4.082e-05,4.177e-05,4.139e-05,4.145e-05,1862585.05,2021-07-07,2021-07-07,77.2041503225
1625529600,4.123e-05,4.206e-05,4.166e-05,4.139e-05,1809313.37,2021-07-06,2021-07-06,74.8874803843
1625443200,4.109e-05,4.2e-05,4.141e-05,4.165e-05,2012103.36,2021-07-05,2021-07-05,83.80410494400002
1625356800,4.017e-05,4.167e-05,4.053e-05,4.142e-05,1792427.27,2021-07-04,2021-07-04,74.2423375234
1625270400,4.027e-05,4.165e-05,4.13e-05,4.049e-05,2017153.24,2021-07-03,2021-07-03,81.6745346876
1625184000,3.91e-05,4.157e-05,3.973e-05,4.13e-05,2758302.8,2021-07-02,2021-07-02,113.91790564
1625097600,3.894e-05,4.057e-05,3.956e-05,3.973e-05,2483656.74,2021-07-01,2021-07-01,98.67568228020001
1625011200,3.757e-05,4.017e-05,3.822e-05,3.951e-05,3576337.68,2021-06-30,2021-06-30,141.3011017368
1624924800,3.796e-05,3.925e-05,3.85e-05,3.827e-05,6012682.95,2021-06-29,2021-06-29,230.10537649649999
1624838400,3.8e-05,3.895e-05,3.863e-05,3.847e-05,3089201.12,2021-06-28,2021-06-28,118.84156708640002
1624752000,3.764e-05,3.969e-05,3.883e-05,3.861e-05,3254183.91,2021-06-27,2021-06-27,125.6440407651
1624665600,3.876e-05,4e-05,3.966e-05,3.881e-05,2633879.28,2021-06-26,2021-06-26,102.2208548568
