unix,low,high,open,close,volume,date,time,vol_fiat
1626739200,0.000585,0.000621,0.000617,0.00059,4400609.38,2021-07-20,2021-07-20,2596.3595342
1626652800,0.000614,0.000628,0.000625,0.000618,3641056.64,2021-07-19,2021-07-19,2250.17300352
1626566400,0.000606,0.000627,0.000618,0.000625,2824812.19,2021-07-18,2021-07-18,1765.50761875
1626480000,0.000615,0.000627,0.000624,0.000618,3061711.53,2021-07-17,2021-07-17,1892.1377255399998
1626393600,0.000621,0.000643,0.000639,0.000623,3303069.8,2021-07-16,2021-07-16,2057.8124854
1626307200,0.000625,0.000645,0.000632,0.000638,2738896.58,2021-07-15,2021-07-15,1747.4160180400002
1626220800,0.00063,0.000654,0.000652,0.000634,3151611.04,2021-07-14,2021-07-14,1998.1213993600002
1626134400,0.000637,0.000654,0.000646,0.000652,3042514.35,2021-07-13,2021-07-13,1983.7193562000002
1626048000,0.000628,0.000649,0.000632,0.000645,2781369.85,2021-07-12,2021-07-12,1793.9835532499999
1625961600,0.000625,0.000639,0.000632,0.000631,1983152.13,2021-07-11,2021-07-11,1251.36899403
1625875200,0.000622,0.000637,0.000629,0.000633,2007956.26,2021-07-10,2021-07-10,1271.03631258
1625788800,0.00062,0.000639,0.000627,0.000628,2942610.76,2021-07-09,2021-07-09,1847.95955728
1625702400,0.000603,0.000641,0.000607,0.000627,3866819.45,2021-07-08,2021-07-08,2424.49579515
1625616000,0.000597,0.000614,0.000611,0.000606,3240566.14,2021-07-07,2021-07-07,1963.7830808400001
1625529600,0.000602,0.000641,0.00064,0.000609,3708602.57,2021-07-06,2021-07-06,2258.5389651299997
1625443200,0.00062,0.000641,0.000628,0.000639,2912754.86,2021-07-05,2021-07-05,1861.25035554
1625356800,0.000609,0.000643,0.00063,0.000629,3247315.27,2021-07-04,2021-07-04,2042.56130483
1625270400,0.000629,0.00065,0.000647,0.000631,2242556.95,2021-07-03,2021-07-03,1415.0534354500003
1625184000,0.000629,0.000665,0.000632,0.000647,4135980.1,2021-07-02,2021-07-02,2675.9791247000003
1625097600,0.000605,0.000643,0.000608,0.000631,2494887.39,2021-07-01,2021-07-01,1574.27394309
1625011200,0.000601,0.000635,0.000635,0.000608,3500748.33,2021-06-30,2021-06-30,2128.45498464
1624924800,0.00062,0.000645,0.000637,0.000634,4999814.82,2021-06-29,2021-06-29,3169.8825958800003
1624838400,0.000625,0.000681,0.000678,0.000638,3888433.25,2021-06-28,2021-06-28,2480.8204135
1624752000,0.000673,0.000698,0.000686,0.000675,2598060.41,2021-06-27,2021-06-27,1753.6907767500002
1624665600,0.000683,0.000707,0.000692,0.000683,1909521.81,2021-06-26,2021-06-26,1304.20339623
1624579200,0.000681,0.000741,0.000684,0.000692,4172858.85,2021-06-25,2021-06-25,2887.6183242
1624492800,0.000629,0.000703,0.000635,0.000684,4092038.75,2021-06-24,2021-06-24,2798.954505
1624406400,0.000607,0.000645,0.000616,0.000635,2499319.79,2021-06-23,2021-06-23,1587.0680666500002
1624320000,0.000575,0.000669,0.000623,0.000616,9750756.46,2021-06-22,2021-06-22,6006.46597936
1624233600,0.000618,0.00067,0.000635,0.000622,6992505.56,2021-06-21,2021-06-21,4349.33845832
1624147200,0.000634,0.000661,0.000639,0.000635,4184116.6,2021-06-20,2021-06-20,2656.914041
1624060800,0.000629,0.000644,0.000635,0.000639,3320390.41,2021-06-19,2021-06-19,2121.72947199
1623974400,0.000623,0.000645,0.000625,0.000634,4792983.07,2021-06-18,2021-06-18,3038.7512663800003
1623888000,0.000621,0.000634,0.000628,0.000624,2474351.89,2021-06-17,2021-06-17,1543.99557936
1623801600,0.000609,0.00063,0.000612,0.000627,3144245.8,2021-06-16,2021-06-16,1971.4421165999997
1623715200,0.000601,0.000617,0.000611,0.000611,4064019.26,2021-06-15,2021-06-15,2483.11576786
1623628800,0.000604,0.000623,0.000621,0.000611,3381897.17,2021-06-14,2021-06-14,2066.33917087
1623542400,0.000599,0.000627,0.000624,0.000622,4964775.12,2021-06-13,2021-06-13,3088.0901246400003
1623456000,0.000589,0.000625,0.00061,0.000623,5915626.48,2021-06-12,2021-06-12,3685.43529704
1623369600,0.000606,0.000624,0.000621,0.000611,6380688.36,2021-06-11,2021-06-11,3898.60058796
1623283200,0.00061,0.000627,0.000623,0.000621,4502110.58,2021-06-10,2021-06-10,2795.81067018
1623196800,0.000611,0.000634,0.000631,0.000624,5782535.01,2021-06-09,2021-06-09,3608.3018462399996
1623110400,0.000597,0.000632,0.000604,0.000632,8735336.62,2021-06-08,2021-06-08,5520.732743839999
1623024000,0.000601,0.000631,0.000617,0.000604,6261137.37,2021-06-07,2021-06-07,3781.7269714800004
1622937600,0.000614,0.000634,0.000629,0.000618,3655834.19,2021-06-06,2021-06-06,2259.30552942
1622851200,0.000628,0.000645,0.000634,0.00063,4315767.65,2021-06-05,2021-06-05,2718.9336195000005
1622764800,0.000617,0.00065,0.000646,0.000635,5843764.29,2021-06-04,2021-06-04,3710.7903241500003
1622678400,0.000628,0.000661,0.000648,0.000647,4953549.79,2021-06-03,2021-06-03,3204.94671413
1622592000,0.000637,0.000683,0.00066,0.000648,5188453.18,2021-06-02,2021-06-02,3362.11766064
1622505600,0.00064,0.000688,0.000642,0.00066,5417117.38,2021-06-01,2021-06-01,3575.2974707999997
