unix,low,high,open,close,volume,date,time,vol_fiat
1626739200,0.00026014,0.00027409,0.00027083,0.00026014,195792,2021-07-20,2021-07-20,50.93333088
1626652800,0.0002669,0.00027543,0.00027311,0.00027076,131212,2021-07-19,2021-07-19,35.526961119999996
1626566400,0.00027175,0.0002811,0.0002811,0.00027281,236308,2021-07-18,2021-07-18,64.46718548
1626480000,0.0002791,0.00031865,0.00029064,0.0002811,294356,2021-07-17,2021-07-17,82.7434716
1626393600,0.00026282,0.00030549,0.00026421,0.00029199,474004,2021-07-16,2021-07-16,138.40442796
1626307200,0.00026224,0.00027337,0.00026584,0.00026345,203589,2021-07-15,2021-07-15,53.63552205
1626220800,0.00026161,0.00027692,0.00027615,0.00026588,330124,2021-07-14,2021-07-14,87.77336912000001
1626134400,0.00026693,0.000276,0.00026948,0.00027574,232761,2021-07-13,2021-07-13,64.18151814000001
1626048000,0.00026172,0.00027016,0.00026306,0.00026975,203754,2021-07-12,2021-07-12,54.962641500000004
1625961600,0.00026022,0.00026512,0.00026336,0.00026313,101385,2021-07-11,2021-07-11,26.67743505
1625875200,0.00026112,0.00026786,0.00026574,0.00026393,156714,2021-07-10,2021-07-10,41.36152602
1625788800,0.00025883,0.00026802,0.00026757,0.00026514,158109,2021-07-09,2021-07-09,41.921020260000006
1625702400,0.0002598,0.00027157,0.00026435,0.00026796,298453,2021-07-08,2021-07-08,79.97346587999999
1625616000,0.00025497,0.00027491,0.00025526,0.00026444,244772,2021-07-07,2021-07-07,64.72750768
1625529600,0.00025333,0.00026474,0.0002583,0.00025531,912970,2021-07-06,2021-07-06,233.09037070000002
1625443200,0.00025476,0.00026012,0.00025856,0.00025813,82924,2021-07-05,2021-07-05,21.405172120000003
1625356800,0.00025298,0.00026404,0.00026403,0.00026006,146522,2021-07-04,2021-07-04,38.10451132
1625270400,0.00026298,0.00027017,0.00026923,0.00026423,85793,2021-07-03,2021-07-03,22.669084390000002
1625184000,0.00026565,0.00027646,0.00027572,0.00026919,90122,2021-07-02,2021-07-02,24.25994118
1625097600,0.00026483,0.00027565,0.00027068,0.00027565,90959,2021-07-01,2021-07-01,25.07284835
1625011200,0.00026058,0.00027467,0.00027107,0.00027048,157493,2021-06-30,2021-06-30,42.59870664
1624924800,0.0002657,0.00027944,0.00026794,0.00027129,141228,2021-06-29,2021-06-29,38.313744119999996
1624838400,0.00026322,0.00027536,0.00027426,0.00026793,227295,2021-06-28,2021-06-28,60.899149349999995
1624752000,0.00027266,0.00028461,0.00027939,0.00027389,184487,2021-06-27,2021-06-27,50.52914443
1624665600,0.00027787,0.00028884,0.00028507,0.00027939,222968,2021-06-26,2021-06-26,62.29502952000001
1624579200,0.00028176,0.00029428,0.00028857,0.00028545,289237,2021-06-25,2021-06-25,82.56270165000001
1624492800,0.00027797,0.00028853,0.00028066,0.00028853,127620,2021-06-24,2021-06-24,36.8221986
1624406400,0.00025542,0.00028661,0.00025666,0.00028001,228635,2021-06-23,2021-06-23,64.02008635
1624320000,0.00023879,0.00027092,0.00027091,0.00025815,639708,2021-06-22,2021-06-22,165.1406202
1624233600,0.00026347,0.00028363,0.00026671,0.00027049,825721,2021-06-21,2021-06-21,223.34927329
1624147200,0.00026681,0.00027647,0.00027539,0.0002673,300422,2021-06-20,2021-06-20,80.3028006
1624060800,0.00027164,0.00027863,0.00027295,0.00027524,155522,2021-06-19,2021-06-19,42.80587528
1623974400,0.00027083,0.00028399,0.00027564,0.00027298,301995,2021-06-18,2021-06-18,82.43859509999999
1623888000,0.00027564,0.00028265,0.00027645,0.00027582,172169,2021-06-17,2021-06-17,47.48765358000001
1623801600,0.00026627,0.0002798,0.00027097,0.000277,343169,2021-06-16,2021-06-16,95.05781300000001
1623715200,0.00025837,0.00027893,0.00025966,0.00027035,379002,2021-06-15,2021-06-15,102.4631907
1623628800,0.00025696,0.0002631,0.00025845,0.00025961,204587,2021-06-14,2021-06-14,53.112831070000006
1623542400,0.00025655,0.00026263,0.00026056,0.00025761,117968,2021-06-13,2021-06-13,30.389736480000003
1623456000,0.00025648,0.00027346,0.00027318,0.0002607,258635,2021-06-12,2021-06-12,67.42614449999999
1623369600,0.00026576,0.00029128,0.00026893,0.00027319,217317,2021-06-11,2021-06-11,59.36883123
1623283200,0.00026321,0.00027217,0.00026863,0.0002689,118783,2021-06-10,2021-06-10,31.940748699999997
1623196800,0.00025,0.00027489,0.00026712,0.0002692,515123,2021-06-09,2021-06-09,138.6711116
1623110400,0.0002623,0.0002719,0.00026831,0.00026686,316438,2021-06-08,2021-06-08,84.44464468
1623024000,0.00026668,0.00028558,0.00028154,0.00026819,303816,2021-06-07,2021-06-07,81.48041304
1622937600,0.00027741,0.00028693,0.00028552,0.00028105,149944,2021-06-06,2021-06-06,42.1417612
1622851200,0.00028129,0.00029479,0.00028231,0.00028487,407405,2021-06-05,2021-06-05,116.05746235
1622764800,0.00027965,0.00029307,0.0002908,0.00028274,266217,2021-06-04,2021-06-04,75.27019458000001
1622678400,0.00028854,0.00030082,0.0002945,0.00029062,275616,2021-06-03,2021-06-03,80.09952192
1622592000,0.0002833,0.00030825,0.0002833,0.00029465,488557,2021-06-02,2021-06-02,143.95332005
1622505600,0.00028087,0.00029174,0.00028307,0.00028354,318537,2021-06-01,2021-06-01,90.31798098
1622419200,0.00028223,0.00029703,0.00029438,0.00028326,250207,2021-05-31,2021-05-31,70.87363482
1622332800,0.00029071,0.00030121,0.00029636,0.00029448,488486,2021-05-30,2021-05-30,143.84935728
1622246400,0.00028878,0.00031303,0.0003107,0.00029883,507472,2021-05-29,2021-05-29,151.64785776
1622160000,0.00028914,0.00031154,0.00030785,0.00031025,454741,2021-05-28,2021-05-28,141.08339525
1622073600,0.00029948,0.00033613,0.00030878,0.00030743,1064100,2021-05-27,2021-05-27,327.136263
1621987200,0.00027279,0.00030863,0.00027293,0.00030863,872201,2021-05-26,2021-05-26,269.18739463000003
1621900800,0.00026858,0.00028365,0.00027454,0.00027293,408529,2021-05-25,2021-05-25,111.49981997
1621814400,0.0002639,0.0002915,0.00026743,0.0002745,1367415,2021-05-24,2021-05-24,375.3554175
1621728000,0.0002571,0.00030161,0.00029498,0.00026584,1604604,2021-05-23,2021-05-23,426.56792736
1621641600,0.00029309,0.00031238,0.00031036,0.00029613,361890,2021-05-22,2021-05-22,107.16648570000001
1621555200,0.00030457,0.00033,0.00031639,0.00031074,1142227,2021-05-21,2021-05-21,354.93561798
1621468800,0.00030209,0.00031639,0.00030515,0.00031631,826048,2021-05-20,2021-05-20,261.28724288
1621382400,0.00024651,0.00033516,0.00032752,0.00030475,3422956,2021-05-19,2021-05-19,1043.145841
1621296000,0.00031625,0.00032953,0.00032148,0.00032783,590642,2021-05-18,2021-05-18,193.63016686
1621209600,0.00031418,0.00032763,0.00031702,0.00032229,690625,2021-05-17,2021-05-17,222.58153124999998
1621123200,0.00030456,0.00033139,0.00031119,0.00031883,702726,2021-05-16,2021-05-16,224.05013058
1621036800,0.00029421,0.00031149,0.00029919,0.00030904,526198,2021-05-15,2021-05-15,162.61622992
1620950400,0.00027978,0.0003223,0.00032061,0.00029909,1984320,2021-05-14,2021-05-14,593.4902688
1620864000,0.00029763,0.00032327,0.00030629,0.00032,1368802,2021-05-13,2021-05-13,438.01664000000005
