unix,low,high,open,close,volume,date,time,vol_fiat
1600905600,10192.56,10795.87,10237.41,10740.01,9678.39349807,2020-09-24,2020-09-24,103946042.95320678
1600819200,10135.22,10541.25,10531.13,10235.1,8893.24233647,2020-09-23,2020-09-23,91023224.63800411
1600732800,10355.0,10576.82,10416.83,10531.13,7904.25642443,2020-09-22,2020-09-22,83240751.9590075
1600646400,10180.0,10994.0,10920.94,10416.82,15004.71121349,2020-09-21,2020-09-21,156301375.8629069
1600560000,10759.37,11081.37,11081.09,10920.89,6003.78509052,2020-09-20,2020-09-20,65566676.55720896
1600473600,10891.78,11179.9,10937.5,11080.0,5718.02211829,2020-09-19,2020-09-19,63355685.07065321
1600387200,10813.0,11039.88,10943.99,10937.52,8660.059472,2020-09-18,2020-09-18,94719573.67618945
1600300800,10735.55,11044.0,10957.06,10943.61,8885.4490645,2020-09-17,2020-09-17,97238889.23675285
1600214400,10662.02,11099.95,10783.36,10959.61,11003.70130082,2020-09-16,2020-09-16,120596274.81347989
1600128000,10613.18,10950.0,10678.41,10783.75,12634.3292873,2020-09-15,2020-09-15,136245448.45192137
1600041600,10253.0,10760.62,10336.76,10679.95,13532.95018331,2020-09-14,2020-09-14,144531231.31024164
1599955200,10211.0,10582.36,10446.52,10336.76,10442.19360563,2020-09-13,2020-09-13,107938449.17493196
1599868800,10276.19,10483.23,10394.41,10446.52,6495.30033616,2020-09-12,2020-09-12,67853284.86770217
1599782400,10200.0,10411.44,10344.24,10394.41,7200.29156246,2020-09-11,2020-09-11,74842782.61974984
1599696000,10216.41,10489.0,10224.56,10343.23,11237.01908035,2020-09-10,2020-09-10,116227072.86244853
1599609600,9983.34,10349.99,10126.41,10224.56,9645.50409232,2020-09-09,2020-09-09,98621035.32217138
1599523200,9819.83,10440.91,10375.0,10125.69,15768.31017626,2020-09-08,2020-09-08,159665020.6686541
1599436800,9880.0,10410.9,10258.67,10375.0,11996.92866276,2020-09-07,2020-09-07,124468134.87613499
1599350400,10000.0,10358.88,10169.58,10257.86,9516.19303239,2020-09-06,2020-09-06,97615775.85923208
1599264000,9813.0,10564.8,10500.05,10168.36,22450.75807716,2020-09-05,2020-09-05,228287390.4014707
1599177600,9895.22,10638.34,10172.13,10500.05,23366.46467779,2020-09-04,2020-09-04,245349047.44002888
1599091200,10005.0,11474.99,11395.49,10172.52,30364.24398441,2020-09-03,2020-09-03,308880879.2162904
1599004800,11160.0,11950.0,11924.22,11395.48,19721.44316904,2020-09-02,2020-09-02,224735311.20393196
1598918400,11525.09,12086.0,11655.0,11924.22,16057.64432384,2020-09-01,2020-09-01,191474883.5992194
1598832000,11576.0,11784.66,11716.0,11655.0,9123.59353747,2020-08-31,2020-08-31,106335482.67921285
1598745600,11463.87,11720.0,11474.3,11716.01,5594.22582376,2020-08-30,2020-08-30,65542005.6934304
1598659200,11422.21,11580.0,11535.0,11474.31,5417.54146196,2020-08-29,2020-08-29,62162550.17238224
1598572800,11282.09,11550.51,11330.56,11535.0,10373.89590327,2020-08-28,2020-08-28,119662889.24421945
1598486400,11125.0,11597.92,11463.27,11330.06,13517.39421459,2020-08-27,2020-08-27,153152887.49495757
1598400000,11254.89,11539.99,11324.92,11463.27,9124.5541845,2020-08-26,2020-08-26,104597228.24655333
