unix,low,high,open,close,volume,date,time,vol_fiat
1626739200,6.941e-05,9.217e-05,7.149e-05,7.984e-05,542915.4,2021-07-20,2021-07-20,43.346365536
1626652800,7.13e-05,7.895e-05,7.294e-05,7.13e-05,160093.49,2021-07-19,2021-07-19,11.414665837
1626566400,7.277e-05,7.664e-05,7.289e-05,7.315e-05,153777.02,2021-07-18,2021-07-18,11.248789013
1626480000,7.138e-05,7.808e-05,7.488e-05,7.279e-05,289579.37,2021-07-17,2021-07-17,21.0784823423
1626393600,7.455e-05,8.113e-05,7.943e-05,7.502e-05,113752.0,2021-07-16,2021-07-16,8.53367504
1626307200,7.942e-05,8.368e-05,8.248e-05,7.943e-05,124244.14,2021-07-15,2021-07-15,9.8687120402
1626220800,8.042e-05,8.614e-05,8.411e-05,8.259e-05,190602.68,2021-07-14,2021-07-14,15.741875341199998
1626134400,8.379e-05,8.951e-05,8.8e-05,8.411e-05,153207.46,2021-07-13,2021-07-13,12.8862794606
1626048000,8.356e-05,9.55e-05,8.427e-05,8.829e-05,399428.62,2021-07-12,2021-07-12,35.265552859799996
1625961600,8.4e-05,8.816e-05,8.676e-05,8.44e-05,104470.92,2021-07-11,2021-07-11,8.817345648
1625875200,8.55e-05,8.936e-05,8.837e-05,8.689e-05,288187.79,2021-07-10,2021-07-10,25.040637073099997
1625788800,8.645e-05,9.14e-05,8.866e-05,8.865e-05,216575.26,2021-07-09,2021-07-09,19.199396799000002
1625702400,8.737e-05,9.795e-05,9.141e-05,8.888e-05,312785.0,2021-07-08,2021-07-08,27.8003308
1625616000,8.919e-05,9.4e-05,9.029e-05,9.154e-05,193364.02,2021-07-07,2021-07-07,17.7005423908
1625529600,8.942e-05,9.583e-05,9.194e-05,9.029e-05,201148.0,2021-07-06,2021-07-06,18.16165292
1625443200,9.029e-05,9.789e-05,9.697e-05,9.202e-05,212259.67,2021-07-05,2021-07-05,19.5321348334
1625356800,9.424e-05,0.00010093,9.823e-05,9.682e-05,253073.36,2021-07-04,2021-07-04,24.5025627152
1625270400,9.596e-05,0.00010505,0.00010149,9.859e-05,434934.86,2021-07-03,2021-07-03,42.8802278474
