unix,low,high,open,close,volume,date,time,vol_fiat
1652832000,1905.24,2108.8,2088.95,1911.98,180708.34004634,2022-05-18,2022-05-18,345510732.00180113
1652745600,2005.0,2120.0,2020.57,2088.96,153232.48671811,2022-05-17,2022-05-17,320096535.4546631
1652659200,1976.22,2142.82,2142.74,2020.58,188600.42878138,2022-05-16,2022-05-16,381082254.3870808
1652572800,1997.44,2164.17,2053.43,2142.69,100927.05806766,2022-05-15,2022-05-15,216255398.0509944
1652486400,1941.57,2066.4,2005.69,2053.33,118520.23264436,2022-05-14,2022-05-14,243361149.29564372
1652400000,1934.61,2145.56,1954.27,2005.48,336488.21225639,2022-05-13,2022-05-13,674820379.915945
1652313600,1701.0,2188.14,2075.55,1954.39,803672.07576455,2022-05-12,2022-05-12,1570688668.1534789
1652227200,2000.0,2451.12,2340.66,2075.93,562341.54813863,2022-05-11,2022-05-11,1167381690.027426
1652140800,2198.24,2458.09,2227.74,2340.51,464832.53812722,2022-05-10,2022-05-10,1087945203.8121397
1652054400,2222.22,2529.47,2518.82,2228.5,470978.69055761,2022-05-09,2022-05-09,1049576011.9076339
1651968000,2482.0,2641.4,2634.57,2519.1,136224.22284735,2022-05-08,2022-05-08,343162439.77475935
1651881600,2585.79,2703.61,2691.89,2634.8,75304.26885485,2022-05-07,2022-05-07,198411687.5787588
1651795200,2631.97,2757.78,2747.46,2691.72,184926.26187383,2022-05-06,2022-05-06,497769717.61102563
1651708800,2687.88,2953.73,2939.98,2747.43,194599.9120659,2022-05-05,2022-05-05,534649636.4072156
1651622400,2770.02,2969.86,2780.35,2939.98,173451.30953603,2022-05-04,2022-05-04,509943381.00973743
1651536000,2753.66,2861.73,2856.3,2780.34,156812.90555596,2022-05-03,2022-05-03,435993193.8334578
1651449600,2776.26,2883.0,2824.79,2856.21,205159.66957242,2022-05-02,2022-05-02,585979099.8294418
1651363200,2716.79,2849.0,2726.37,2824.86,98806.09499191,2022-05-01,2022-05-01,279113385.4988469
1651276800,2716.4,2842.08,2816.77,2726.59,98131.72028071,2022-04-30,2022-04-30,267564967.2001811
1651190400,2775.51,2946.68,2935.97,2816.94,204389.17477782,2022-04-29,2022-04-29,575752041.9986323
1651104000,2853.83,2980.36,2889.78,2935.91,167061.01272126,2022-04-28,2022-04-28,490476097.8584744
1651017600,2794.23,2920.0,2809.5,2889.78,172782.71761809,2022-04-27,2022-04-27,499304041.7184042
1650931200,2766.77,3038.6,3007.24,2809.26,191167.43185373,2022-04-26,2022-04-26,537039019.6094096
1650844800,2797.51,3026.93,2921.7,3007.22,231201.08128973,2022-04-25,2022-04-25,695272515.6761018
1650758400,2911.9,2968.31,2933.45,2921.96,47964.59818886,2022-04-24,2022-04-24,140150637.32392135
1650672000,2917.34,2979.57,2963.03,2933.44,50757.61746238,2022-04-23,2022-04-23,148894425.368844
1650585600,2933.13,3033.76,2983.72,2963.05,147896.5340014,2022-04-22,2022-04-22,438224825.07284826
1650499200,2940.0,3179.74,3077.16,2983.94,173634.26729666,2022-04-21,2022-04-21,518114235.5571956
1650412800,3032.72,3169.29,3102.44,3077.06,117310.39372033,2022-04-20,2022-04-20,360971120.1010786
1650326400,3029.58,3132.47,3055.86,3102.26,117657.24244335,2022-04-19,2022-04-19,365003356.942307
1650240000,2880.0,3071.26,2988.09,3056.19,165766.83949602,2022-04-18,2022-04-18,506614957.19934136
