unix,low,high,open,close,volume,date,time,vol_fiat
1626739200,0.00769025,0.00805643,0.00798024,0.00769264,62771.87,2021-07-20,2021-07-20,482.8813980368
1626652800,0.00797771,0.00818786,0.00818786,0.00798028,37392.7,2021-07-19,2021-07-19,298.404215956
1626566400,0.00796096,0.00826994,0.00808098,0.008177,35260.55,2021-07-18,2021-07-18,288.32551735000004
1626480000,0.00806734,0.00825892,0.00811,0.00808575,28515.09,2021-07-17,2021-07-17,230.56588896749997
1626393600,0.00808424,0.00835051,0.0082089,0.00811,35422.19,2021-07-16,2021-07-16,287.27396089999996
1626307200,0.00818568,0.00849766,0.0084962,0.00820494,63707.08,2021-07-15,2021-07-15,522.7127689752001
1626220800,0.00846048,0.00870659,0.00868848,0.00848764,98116.11,2021-07-14,2021-07-14,832.7742198804
1626134400,0.00859369,0.008806,0.00861442,0.0087023,74793.25,2021-07-13,2021-07-13,650.873299475
1626048000,0.00849225,0.00865889,0.00858234,0.00861752,67916.11,2021-07-12,2021-07-12,585.2684362472
1625961600,0.0085,0.00867083,0.00862869,0.00858308,36424.2,2021-07-11,2021-07-11,312.63182253599996
1625875200,0.00850375,0.00872255,0.00869436,0.00862485,38646.74,2021-07-10,2021-07-10,333.32233548899995
1625788800,0.00852575,0.00872543,0.00867132,0.00868934,35289.99,2021-07-09,2021-07-09,306.6467217066
1625702400,0.00844982,0.0088107,0.00853531,0.00866442,56045.38,2021-07-08,2021-07-08,485.6007113796
1625616000,0.00853674,0.00893951,0.00864362,0.00853876,88367.26,2021-07-07,2021-07-07,754.5468249975999
1625529600,0.00832211,0.0087376,0.00834696,0.00864252,53891.8,2021-07-06,2021-07-06,465.76095933600004
1625443200,0.00814682,0.0084264,0.00826725,0.00835178,28879.34,2021-07-05,2021-07-05,241.19389422519998
1625356800,0.00810742,0.00837177,0.00833245,0.0082779,27575.4,2021-07-04,2021-07-04,228.26640366
1625270400,0.00830059,0.0085012,0.00847486,0.00832509,15107.66,2021-07-03,2021-07-03,125.7726291894
1625184000,0.00838832,0.00869101,0.00862639,0.0084774,17818.32,2021-07-02,2021-07-02,151.053025968
1625097600,0.00834625,0.00866524,0.00855881,0.00864217,33469.41,2021-07-01,2021-07-01,289.2483310197
1625011200,0.0084544,0.00904505,0.00901435,0.00857056,50166.76,2021-06-30,2021-06-30,429.9572265856
1624924800,0.00892524,0.00927251,0.00903346,0.00901939,40230.23,2021-06-29,2021-06-29,362.85213415970003
1624838400,0.0088582,0.0092986,0.0092986,0.00903128,36903.66,2021-06-28,2021-06-28,333.2872864848
1624752000,0.00909311,0.00935218,0.00927237,0.00930253,21134.87,2021-06-27,2021-06-27,196.6077622211
1624665600,0.00915104,0.00945779,0.00930809,0.00927389,60581.12,2021-06-26,2021-06-26,561.8226429568
1624579200,0.00931402,0.00974397,0.00959425,0.00932355,51907.97,2021-06-25,2021-06-25,483.96655369350003
1624492800,0.00917883,0.00965985,0.00935034,0.00960151,50231.06,2021-06-24,2021-06-24,482.2940249006
1624406400,0.00886398,0.0095,0.00894203,0.00934612,53000.86,2021-06-23,2021-06-23,495.35239766319995
1624320000,0.00856734,0.00955,0.00922214,0.00892537,107044.87,2021-06-22,2021-06-22,955.4150713519
1624233600,0.00909263,0.00969289,0.00964781,0.00923675,136277.85,2021-06-21,2021-06-21,1258.7644309875
1624147200,0.00924536,0.00977413,0.00936818,0.00963784,36034.46,2021-06-20,2021-06-20,347.2943599664
1624060800,0.00934205,0.00964081,0.00950511,0.00935832,23052.54,2021-06-19,2021-06-19,215.7330461328
1623974400,0.00949341,0.00986791,0.00985781,0.00950233,59538.97,2021-06-18,2021-06-18,565.7589408001
1623888000,0.00973111,0.00999125,0.00973111,0.00985552,27239.43,2021-06-17,2021-06-17,268.4587471536
1623801600,0.00944438,0.00987027,0.00962671,0.00973304,53557.75,2021-06-16,2021-06-16,521.27972306
1623715200,0.00963067,0.01007023,0.00969018,0.00963139,50235.23,2021-06-15,2021-06-15,483.8350918697
1623628800,0.00924731,0.0097514,0.00932251,0.00968608,42509.56,2021-06-14,2021-06-14,411.75099892479994
1623542400,0.00876011,0.00943753,0.00915009,0.00930492,222185.86,2021-06-13,2021-06-13,2067.4216524311996
1623456000,0.00867901,0.00922932,0.00910887,0.00912938,61471.05,2021-06-12,2021-06-12,561.192574449
1623369600,0.00899001,0.00947985,0.00937359,0.00912007,51372.08,2021-06-11,2021-06-11,468.51696564559995
1623283200,0.00933365,0.00982565,0.00982147,0.00936882,102404.91,2021-06-10,2021-06-10,959.4131689062
1623196800,0.00931958,0.00988884,0.00959376,0.00980784,81920.17,2021-06-09,2021-06-09,803.4599201328
1623110400,0.009251,0.00971004,0.00948356,0.00960803,107403.75,2021-06-08,2021-06-08,1031.9384521125
1623024000,0.00938619,0.01019779,0.01010254,0.00947942,106286.41,2021-06-07,2021-06-07,1007.5335206822001
1622937600,0.01004096,0.01035116,0.01031784,0.01011652,23296.03,2021-06-06,2021-06-06,235.6747534156
1622851200,0.0101699,0.0108368,0.01069985,0.01032294,56769.49,2021-06-05,2021-06-05,586.0280391005999
1622764800,0.0106,0.01128765,0.0112752,0.01070923,70946.32,2021-06-04,2021-06-04,759.7804585336
1622678400,0.01116547,0.01149504,0.01133791,0.01126294,40451.31,2021-06-03,2021-06-03,455.60067745140003
1622592000,0.01119918,0.01172991,0.0116629,0.01133408,60544.3,2021-06-02,2021-06-02,686.2139397440001
1622505600,0.01139149,0.01196262,0.01186982,0.01167205,160393.07,2021-06-01,2021-06-01,1872.1159326935
1622419200,0.01104265,0.01189049,0.01121154,0.01186674,81355.68,2021-05-31,2021-05-31,965.4267020832
1622332800,0.01085127,0.01184044,0.011115,0.01123025,86236.84,2021-05-30,2021-05-30,968.46127241
