unix,low,high,open,close,volume,date,time,vol_fiat
1626739200,5.85e-06,6.25e-06,6.22e-06,5.96e-06,1716931,2021-07-20,2021-07-20,10.232908759999999
1626652800,6.17e-06,6.59e-06,6.4e-06,6.24e-06,1959425,2021-07-19,2021-07-19,12.226812
1626566400,6.39e-06,6.59e-06,6.52e-06,6.42e-06,2601632,2021-07-18,2021-07-18,16.702477440000003
1626480000,6.38e-06,6.57e-06,6.55e-06,6.56e-06,596379,2021-07-17,2021-07-17,3.91224624
1626393600,6.47e-06,6.94e-06,6.72e-06,6.54e-06,3392445,2021-07-16,2021-07-16,22.1865903
1626307200,6.69e-06,6.89e-06,6.79e-06,6.73e-06,1918908,2021-07-15,2021-07-15,12.91425084
1626220800,6.58e-06,6.97e-06,6.95e-06,6.82e-06,1837765,2021-07-14,2021-07-14,12.5335573
1626134400,6.81e-06,7.34e-06,6.96e-06,6.97e-06,2449550,2021-07-13,2021-07-13,17.0733635
1626048000,6.89e-06,7.09e-06,6.92e-06,6.99e-06,855895,2021-07-12,2021-07-12,5.98270605
1625961600,6.89e-06,7.3e-06,6.91e-06,6.94e-06,1550582,2021-07-11,2021-07-11,10.76103908
1625875200,6.9e-06,7.11e-06,7.08e-06,6.92e-06,1211551,2021-07-10,2021-07-10,8.38393292
1625788800,6.9e-06,7.38e-06,7.3e-06,7.09e-06,5525998,2021-07-09,2021-07-09,39.17932582
1625702400,7.24e-06,7.66e-06,7.53e-06,7.32e-06,2024159,2021-07-08,2021-07-08,14.81684388
1625616000,7.23e-06,8.14e-06,7.61e-06,7.54e-06,5645343,2021-07-07,2021-07-07,42.565886219999996
1625529600,6.86e-06,7.77e-06,7.05e-06,7.6e-06,5083357,2021-07-06,2021-07-06,38.6335132
1625443200,6.79e-06,7.26e-06,6.95e-06,7.07e-06,3894980,2021-07-05,2021-07-05,27.5375086
1625356800,6.65e-06,7.87e-06,6.78e-06,6.95e-06,4769548,2021-07-04,2021-07-04,33.1483586
1625270400,6.64e-06,7.22e-06,6.95e-06,6.78e-06,4539198,2021-07-03,2021-07-03,30.77576244
1625184000,6.73e-06,7.27e-06,6.81e-06,6.98e-06,3145190,2021-07-02,2021-07-02,21.9534262
1625097600,6.58e-06,7.48e-06,6.68e-06,6.79e-06,4303474,2021-07-01,2021-07-01,29.220588460000002
1625011200,6.56e-06,6.81e-06,6.67e-06,6.69e-06,2313195,2021-06-30,2021-06-30,15.47527455
1624924800,6.58e-06,7.04e-06,6.75e-06,6.66e-06,4598401,2021-06-29,2021-06-29,30.62535066
1624838400,6.63e-06,7.13e-06,6.72e-06,6.75e-06,2493682,2021-06-28,2021-06-28,16.8323535
1624752000,6.37e-06,7.62e-06,6.89e-06,6.72e-06,9651177,2021-06-27,2021-06-27,64.85590944
1624665600,6.6e-06,8.69e-06,6.71e-06,6.89e-06,13678237,2021-06-26,2021-06-26,94.24305293
1624579200,6.44e-06,7.01e-06,6.63e-06,6.73e-06,2624026,2021-06-25,2021-06-25,17.65969498
1624492800,6.59e-06,7.04e-06,6.92e-06,6.65e-06,2927356,2021-06-24,2021-06-24,19.4669174
1624406400,6.41e-06,7.1e-06,6.61e-06,6.92e-06,5328981,2021-06-23,2021-06-23,36.87654852
1624320000,6.58e-06,7.61e-06,7.26e-06,6.62e-06,5633137,2021-06-22,2021-06-22,37.29136694
1624233600,7.24e-06,8.28e-06,7.9e-06,7.25e-06,4090011,2021-06-21,2021-06-21,29.65257975
1624147200,7.77e-06,8.13e-06,7.98e-06,7.88e-06,2370801,2021-06-20,2021-06-20,18.68191188
1624060800,7.93e-06,8.39e-06,8.16e-06,7.98e-06,1866145,2021-06-19,2021-06-19,14.8918371
1623974400,7.85e-06,8.78e-06,8.7e-06,8.2e-06,5201537,2021-06-18,2021-06-18,42.6526034
1623888000,7.15e-06,1.022e-05,7.24e-06,8.71e-06,12076923,2021-06-17,2021-06-17,105.18999932999999
1623801600,7.02e-06,7.6e-06,7.47e-06,7.24e-06,2740479,2021-06-16,2021-06-16,19.84106796
1623715200,7.4e-06,7.9e-06,7.71e-06,7.5e-06,1783379,2021-06-15,2021-06-15,13.3753425
1623628800,7.63e-06,8.11e-06,7.93e-06,7.74e-06,3507614,2021-06-14,2021-06-14,27.14893236
1623542400,7.8e-06,9.51e-06,8.75e-06,7.93e-06,8078360,2021-06-13,2021-06-13,64.0613948
1623456000,7.1e-06,9.48e-06,7.31e-06,8.78e-06,10433296,2021-06-12,2021-06-12,91.60433888
1623369600,7.21e-06,8.45e-06,8.27e-06,7.34e-06,6149642,2021-06-11,2021-06-11,45.13837228
1623283200,8.18e-06,1.023e-05,8.92e-06,8.24e-06,3809224,2021-06-10,2021-06-10,31.388005760000002
