unix,low,high,open,close,volume,date,time,vol_fiat
1652659200,0.02601,0.02746,0.02728,0.02667,9666.0642,2022-05-16,2022-05-16,257.793932214
1652572800,0.02463,0.02753,0.02535,0.02725,11022.5551,2022-05-15,2022-05-15,300.36462647499997
1652486400,0.02342,0.02634,0.02443,0.02543,7128.2451,2022-05-14,2022-05-14,181.271272893
1652400000,0.02234,0.02625,0.02283,0.02443,12189.6609,2022-05-13,2022-05-13,297.793415787
1652313600,0.0212,0.02701,0.02445,0.02285,21511.3236,2022-05-12,2022-05-12,491.53374426
1652227200,0.02093,0.02874,0.02844,0.02443,15112.6736,2022-05-11,2022-05-11,369.202616048
1652140800,0.02733,0.03019,0.02797,0.02853,9050.9859,2022-05-10,2022-05-10,258.224627727
1652054400,0.02774,0.03092,0.02994,0.028,6602.0758,2022-05-09,2022-05-09,184.85812239999998
1651968000,0.02945,0.03088,0.02996,0.02992,4291.6066,2022-05-08,2022-05-08,128.404869472
1651881600,0.02977,0.03062,0.03035,0.03,4408.0962,2022-05-07,2022-05-07,132.242886
1651795200,0.02974,0.03148,0.03072,0.03034,3169.8839,2022-05-06,2022-05-06,96.174277526
1651708800,0.03006,0.03289,0.03164,0.03084,6550.4455,2022-05-05,2022-05-05,202.01573922
1651622400,0.03047,0.03161,0.03089,0.03157,5537.7014,2022-05-04,2022-05-04,174.825233198
1651536000,0.03049,0.03117,0.03063,0.03088,2789.1087,2022-05-03,2022-05-03,86.127676656
1651449600,0.03001,0.03204,0.03173,0.03061,10637.0151,2022-05-02,2022-05-02,325.599032211
1651363200,0.03098,0.03294,0.03106,0.03173,6066.5951,2022-05-01,2022-05-01,192.493062523
1651276800,0.03016,0.03361,0.03333,0.03109,9214.0086,2022-04-30,2022-04-30,286.46352737399997
1651190400,0.03307,0.03477,0.03345,0.03332,9687.9,2022-04-29,2022-04-29,322.800828
1651104000,0.03331,0.03454,0.03409,0.03342,6598.83,2022-04-28,2022-04-28,220.53289859999998
1651017600,0.03373,0.0345,0.03403,0.03404,6128.9323,2022-04-27,2022-04-27,208.628855492
1650931200,0.03327,0.03433,0.03359,0.03405,3864.1969,2022-04-26,2022-04-26,131.575904445
1650844800,0.0332,0.03427,0.03397,0.03357,3592.3454,2022-04-25,2022-04-25,120.59503507800001
1650758400,0.03379,0.03462,0.03429,0.03397,4244.5489,2022-04-24,2022-04-24,144.187326133
1650672000,0.03368,0.03469,0.03398,0.03433,3063.4687,2022-04-23,2022-04-23,105.168880471
1650585600,0.03358,0.03439,0.03414,0.03395,2695.8676,2022-04-22,2022-04-22,91.52470502
1650499200,0.03376,0.03488,0.03431,0.03414,6269.4111,2022-04-21,2022-04-21,214.037694954
1650412800,0.03415,0.03536,0.035,0.03432,9004.813,2022-04-20,2022-04-20,309.04518216
1650326400,0.03327,0.03506,0.03344,0.03496,5276.4883,2022-04-19,2022-04-19,184.46603096799998
1650240000,0.03269,0.03402,0.03356,0.03344,4639.2647,2022-04-18,2022-04-18,155.137011568
1650153600,0.03324,0.03433,0.03329,0.03353,10787.3967,2022-04-17,2022-04-17,361.70141135099993
1650067200,0.03324,0.03457,0.03337,0.03335,4697.0664,2022-04-16,2022-04-16,156.64716443999998
1649980800,0.03307,0.0339,0.03344,0.03338,9275.8665,2022-04-15,2022-04-15,309.62842377
1649894400,0.03297,0.03447,0.03371,0.03336,4196.6609,2022-04-14,2022-04-14,140.000607624
1649808000,0.03334,0.03426,0.03416,0.03361,4678.5186,2022-04-13,2022-04-13,157.24501014600003
1649721600,0.03327,0.03569,0.03348,0.03413,4628.395,2022-04-12,2022-04-12,157.96712135
1649635200,0.03315,0.03515,0.0346,0.03338,5022.4414,2022-04-11,2022-04-11,167.649093932
