unix,low,high,open,close,volume,date,time,vol_fiat
1600992000,0.00019861,0.00021205,0.00020092,0.00020686,291444.98,2020-09-25,2020-09-25,60.2883085628
1600905600,0.00018981,0.00020483,0.00019086,0.00020084,287934.75,2020-09-24,2020-09-24,57.82881519
1600819200,0.00018888,0.00020569,0.00020016,0.00019076,458048.11,2020-09-23,2020-09-23,87.37725746359999
1600732800,0.00018905,0.00020888,0.00018958,0.00020033,354304.81,2020-09-22,2020-09-22,70.9778825873
1600646400,0.00018565,0.00020645,0.00020269,0.00018976,875527.46,2020-09-21,2020-09-21,166.1400908096
1600560000,0.00019922,0.0002175,0.00020912,0.00020332,490752.06,2020-09-20,2020-09-20,99.7797088392
1600473600,0.00020552,0.00021855,0.00021855,0.00020943,321121.67,2020-09-19,2020-09-19,67.2525113481
1600387200,0.00021303,0.00022909,0.00022628,0.00021838,318686.01,2020-09-18,2020-09-18,69.5946508638
1600300800,0.00022454,0.00023257,0.00022593,0.0002263,286158.25,2020-09-17,2020-09-17,64.757611975
1600214400,0.00022187,0.00023276,0.00023253,0.0002259,557940.29,2020-09-16,2020-09-16,126.038711511
1600128000,0.00023185,0.00024838,0.00024535,0.00023185,366982.63,2020-09-15,2020-09-15,85.0849227655
1600041600,0.000244,0.00025405,0.00025317,0.00024491,167499.29,2020-09-14,2020-09-14,41.0222511139
1599955200,0.00024604,0.00025993,0.00024916,0.00025337,286650.86,2020-09-13,2020-09-13,72.6287283982
1599868800,0.00024203,0.00025196,0.00024668,0.00024922,266041.78,2020-09-12,2020-09-12,66.3029324116
1599782400,0.00024173,0.00025367,0.00025032,0.00024625,180822.56,2020-09-11,2020-09-11,44.5275554
1599696000,0.00024729,0.00025567,0.00024789,0.0002512,224318.57,2020-09-10,2020-09-10,56.348824783999994
1599609600,0.00024141,0.00025273,0.00024814,0.00024785,224523.56,2020-09-09,2020-09-09,55.648164345999994
1599523200,0.00024141,0.00025727,0.00024646,0.00024796,298476.63,2020-09-08,2020-09-08,74.0102651748
1599436800,0.00023789,0.00025169,0.00024954,0.00024738,289150.6,2020-09-07,2020-09-07,71.53007542799999
1599350400,0.00023409,0.00025565,0.00024432,0.00024954,248522.77,2020-09-06,2020-09-06,62.0163720258
1599264000,0.00023441,0.00027,0.00026394,0.00024434,555028.44,2020-09-05,2020-09-05,135.61564902959998
1599177600,0.0002428,0.00026993,0.0002522,0.00026392,621115.46,2020-09-04,2020-09-04,163.92479220319998
1599091200,0.00024538,0.00027465,0.00027465,0.00025281,574573.21,2020-09-03,2020-09-03,145.2578532201
1599004800,0.00026362,0.00029058,0.00028909,0.00027462,397498.91,2020-09-02,2020-09-02,109.1611506642
1598918400,0.00027552,0.00029218,0.00027899,0.00028879,345180.94,2020-09-01,2020-09-01,99.68480366259999
1598832000,0.00027844,0.00029626,0.00028871,0.00027845,230103.07,2020-08-31,2020-08-31,64.07219984150001
1598745600,0.00028768,0.00029799,0.00029244,0.00028888,306908.87,2020-08-30,2020-08-30,88.65983436559999
1598659200,0.00027989,0.00029832,0.00028345,0.00029243,240601.71,2020-08-29,2020-08-29,70.3591580553
1598572800,0.00027775,0.00028867,0.00028503,0.00028324,191981.09,2020-08-28,2020-08-28,54.3767239316
1598486400,0.00027679,0.00029793,0.00029374,0.0002852,393566.28,2020-08-27,2020-08-27,112.245103056
1598400000,0.00029285,0.00030567,0.00030458,0.00029455,517977.9,2020-08-26,2020-08-26,152.570390445
1598313600,0.0002926,0.00031513,0.00031358,0.00030418,380809.65,2020-08-25,2020-08-25,115.834679337
1598227200,0.00029684,0.00032241,0.00030112,0.0003123,453143.11,2020-08-24,2020-08-24,141.516593253
1598140800,0.00029185,0.00031004,0.00030767,0.00030199,305583.4,2020-08-23,2020-08-23,92.283130966
1598054400,0.00028716,0.00031211,0.00029355,0.00030708,590518.41,2020-08-22,2020-08-22,181.3363933428
1597968000,0.00029011,0.00033013,0.00032596,0.00029397,855532.63,2020-08-21,2020-08-21,251.50092724110002
1597881600,0.00029977,0.00033195,0.00030886,0.00032509,600371.22,2020-08-20,2020-08-20,195.17467990979998
1597795200,0.00029924,0.00033131,0.00032132,0.00030926,758680.99,2020-08-19,2020-08-19,234.6296829674
1597708800,0.00030562,0.0003376,0.00032828,0.00032123,618002.41,2020-08-18,2020-08-18,198.5209141643
1597622400,0.00032381,0.0003591,0.00035523,0.00032886,987717.28,2020-08-17,2020-08-17,324.8207047008
1597536000,0.00034144,0.00037118,0.00034376,0.00035523,701055.17,2020-08-16,2020-08-16,249.0358280391
1597449600,0.00032805,0.00036654,0.00034941,0.00034349,962375.21,2020-08-15,2020-08-15,330.5662608829
1597363200,0.00034,0.00036263,0.00035073,0.00034944,620982.49,2020-08-14,2020-08-14,216.9961213056
1597276800,0.00033673,0.00038684,0.00037798,0.00035127,1451582.73,2020-08-13,2020-08-13,509.89746556709997
1597190400,0.00032576,0.00038553,0.00035171,0.00037908,1199062.26,2020-08-12,2020-08-12,454.54052152080004
1597104000,0.00033301,0.00037254,0.00035823,0.000352,1707630.03,2020-08-11,2020-08-11,601.08577056
