,close,date,high,low,open,time,unix,vol_fiat,volume
0,29155.75,2022-05-20,30729.83,28690.92,30274.59,2022-05-20,1653004800,1000864064.9255072,34328.18791921
1,30274.59,2022-05-19,30500.0,28645.2,28671.5,2022-05-19,1652918400,878264979.6837338,29009.9710577
2,28672.94,2022-05-18,30675.92,28605.0,30412.1,2022-05-18,1652832000,812832730.2869604,28348.42643576
3,30412.12,2022-05-17,30750.0,29415.01,29839.89,2022-05-17,1652745600,603172905.3963366,19833.30676705
4,29839.89,2022-05-16,31293.31,29055.0,31290.02,2022-05-16,1652659200,675759671.5137771,22646.18507353
5,31290.05,2022-05-15,31418.35,29436.06,30041.9,2022-05-15,1652572800,514436363.5612571,16440.89298551
6,30041.88,2022-05-14,30287.58,28564.38,29234.73,2022-05-14,1652486400,458002525.7284472,15245.46818403
7,29232.18,2022-05-13,30990.0,28662.7,28941.95,2022-05-13,1652400000,1012691908.097,34643.05118869
8,28941.95,2022-05-12,30091.2,25338.53,28977.75,2022-05-12,1652313600,2046271383.765272,70702.60931849
9,28972.34,2022-05-11,32185.9,27682.38,31002.39,2022-05-11,1652227200,1771028528.4509125,61128.25296303
10,31002.39,2022-05-10,32645.49,29735.05,30078.27,2022-05-10,1652140800,1730491994.1528368,55818.01900282
11,30078.27,2022-05-09,34231.54,30010.0,34033.49,2022-05-09,1652054400,1658409130.0314553,55136.45332765
12,34027.91,2022-05-08,35499.93,33701.0,35458.0,2022-05-08,1651968000,760779389.8465997,22357.51152059
13,35458.0,2022-05-07,36125.0,34785.0,35999.1,2022-05-07,1651881600,403244445.2762628,11372.45319184
14,35999.1,2022-05-06,36664.4,35255.4,36537.22,2022-05-06,1651795200,1030533592.171696,28626.6487821
15,36537.22,2022-05-05,39864.55,35568.0,39669.56,2022-05-05,1651708800,1053477588.3784056,28832.99792317
16,39669.56,2022-05-04,40038.27,37651.38,37719.58,2022-05-04,1651622400,853449096.5909439,21513.95419034
17,37719.59,2022-05-03,38643.48,37505.01,38510.88,2022-05-03,1651536000,676953274.3058254,17946.99450089
18,38510.89,2022-05-02,39181.27,38041.0,38469.49,2022-05-02,1651449600,691154305.9746418,17946.98346298
19,38473.05,2022-05-01,38675.37,37401.0,37640.35,2022-05-01,1651363200,307049555.4937704,7980.89975954
20,37644.1,2022-04-30,38795.0,37590.0,38592.27,2022-04-30,1651276800,260913967.5083268,6931.07200088
21,38593.1,2022-04-29,39926.8,38161.85,39741.21,2022-04-29,1651190400,551196685.9152013,14282.25993546
22,39743.22,2022-04-28,40400.0,38883.83,39251.02,2022-04-28,1651104000,664460161.6050676,16718.83057299
23,39251.11,2022-04-27,39470.0,37882.83,38118.43,2022-04-27,1651017600,817686836.0487136,20832.19649199
24,38113.82,2022-04-26,40817.16,37700.0,40440.9,2022-04-26,1650931200,825092329.8372554,21648.1142493
25,40439.22,2022-04-25,40605.3,38210.24,39463.75,2022-04-25,1650844800,829645995.9604206,20515.87532995
26,39464.56,2022-04-24,39945.74,39000.0,39459.63,2022-04-24,1650758400,254011926.4381195,6436.45656858
27,39465.87,2022-04-23,39993.82,39296.19,39712.2,2022-04-23,1650672000,274570652.48092747,6957.16710365
28,39712.25,2022-04-22,40802.65,39174.8,40483.38,2022-04-22,1650585600,669998119.2876438,16871.32104798
29,40480.81,2022-04-21,43109.47,39744.75,41371.88,2022-04-21,1650499200,696446155.7674245,17204.35326683
30,41377.61,2022-04-20,42209.58,40900.0,41501.56,2022-04-20,1650412800,604497252.6990887,14609.28392672
31,41503.85,2022-04-19,41772.94,40571.99,40810.87,2022-04-19,1650326400,424091058.5782719,10218.113707
32,40803.58,2022-04-18,41100.0,38550.0,39681.11,2022-04-18,1650240000,534151269.7848453,13090.79423386
33,39683.54,2022-04-17,40605.46,39553.07,40387.6,2022-04-17,1650153600,191803046.59575027,4833.31493601
