,close,date,high,low,open,time,unix,vol_fiat,volume
0,6.38e-06,2022-05-16,6.46e-06,5.4e-06,5.56e-06,2022-05-16,1652659200,3.69817976,579652
1,5.57e-06,2022-05-15,5.92e-06,5.38e-06,5.51e-06,2022-05-15,1652572800,2.27847534,409062
2,5.51e-06,2022-05-14,6.19e-06,5.19e-06,5.32e-06,2022-05-14,1652486400,2.70065487,490137
3,5.36e-06,2022-05-13,5.79e-06,4.61e-06,5.03e-06,2022-05-13,1652400000,4.54775096,848461
4,5.01e-06,2022-05-12,6.09e-06,4.32e-06,5.66e-06,2022-05-12,1652313600,2.24506116,448116
5,5.66e-06,2022-05-11,7.47e-06,5.25e-06,7.35e-06,2022-05-11,1652227200,8.117028640000001,1434104
6,7.33e-06,2022-05-10,8.11e-06,7.04e-06,7.5e-06,2022-05-10,1652140800,2.78721051,380247
7,7.52e-06,2022-05-09,8.04e-06,7.31e-06,7.85e-06,2022-05-09,1652054400,1.65365552,219901
8,7.86e-06,2022-05-08,8.29e-06,7.7e-06,7.88e-06,2022-05-08,1651968000,1.76868864,225024
9,7.87e-06,2022-05-07,8.46e-06,7.75e-06,8.19e-06,2022-05-07,1651881600,2.70339222,343506
10,8.18e-06,2022-05-06,9e-06,7.79e-06,7.82e-06,2022-05-06,1651795200,2.40788934,294363
11,7.82e-06,2022-05-05,8.85e-06,7.8e-06,8.1e-06,2022-05-05,1651708800,5.796965999999999,741300
12,8.09e-06,2022-05-04,8.21e-06,7.86e-06,8.13e-06,2022-05-04,1651622400,5.8601047600000005,724364
13,8.1e-06,2022-05-03,8.47e-06,7.98e-06,8.32e-06,2022-05-03,1651536000,1.7427879000000002,215159
14,8.31e-06,2022-05-02,9.05e-06,8.03e-06,8.42e-06,2022-05-02,1651449600,5.55998832,669072
15,8.42e-06,2022-05-01,8.94e-06,8.14e-06,8.65e-06,2022-05-01,1651363200,7.032459780000001,835209
16,8.65e-06,2022-04-30,9.35e-06,8.51e-06,9.02e-06,2022-04-30,1651276800,4.0135481,463994
17,9e-06,2022-04-29,1.009e-05,8.95e-06,9.39e-06,2022-04-29,1651190400,4.4362710000000005,492919
18,9.41e-06,2022-04-28,1.127e-05,8.29e-06,8.47e-06,2022-04-28,1651104000,31.84423044,3384084
19,8.47e-06,2022-04-27,9.01e-06,8.33e-06,8.65e-06,2022-04-27,1651017600,4.0282981200000005,475596
20,8.73e-06,2022-04-26,9.17e-06,8.54e-06,8.79e-06,2022-04-26,1650931200,4.794865199999999,549240
21,8.79e-06,2022-04-25,9.15e-06,8.48e-06,9.15e-06,2022-04-25,1650844800,3.26943171,371949
22,9.18e-06,2022-04-24,1.051e-05,9.09e-06,9.64e-06,2022-04-24,1650758400,8.31193002,905439
23,9.63e-06,2022-04-23,1.175e-05,8.85e-06,9.13e-06,2022-04-23,1650672000,11.150403659999998,1157882
24,9.18e-06,2022-04-22,9.31e-06,8.83e-06,8.93e-06,2022-04-22,1650585600,8.29475424,903568
25,8.97e-06,2022-04-21,9.2e-06,8.77e-06,9.13e-06,2022-04-21,1650499200,10.66560807,1189031
26,9.14e-06,2022-04-20,9.25e-06,8.91e-06,9.21e-06,2022-04-20,1650412800,1.74325392,190728
27,9.2e-06,2022-04-19,9.38e-06,8.93e-06,9.23e-06,2022-04-19,1650326400,4.983042,541635
28,9.23e-06,2022-04-18,9.61e-06,9.11e-06,9.55e-06,2022-04-18,1650240000,0.3120478399999999,33808
29,9.54e-06,2022-04-17,9.64e-06,9.36e-06,9.46e-06,2022-04-17,1650153600,1.47667752,154788
30,9.46e-06,2022-04-16,9.71e-06,9.26e-06,9.4e-06,2022-04-16,1650067200,1.69235616,178896
31,9.4e-06,2022-04-15,9.72e-06,9.36e-06,9.46e-06,2022-04-15,1649980800,2.0193738,214827
32,9.46e-06,2022-04-14,9.88e-06,9.22e-06,9.59e-06,2022-04-14,1649894400,2.18155168,230608
