,close,date,high,low,open,time,unix,vol_fiat,volume
0,5.847e-05,2022-05-18,6.177e-05,5.804e-05,6.108e-05,2022-05-18,1652832000,15.3761330478,262974.74
1,6.112e-05,2022-05-17,6.143e-05,5.928e-05,5.956e-05,2022-05-17,1652745600,11.042639024,180671.45
2,5.95e-05,2022-05-16,6.143e-05,5.844e-05,6.125e-05,2022-05-16,1652659200,14.263558365000002,239723.67
3,6.132e-05,2022-05-15,6.385e-05,5.974e-05,6.074e-05,2022-05-15,1652572800,15.232586434800002,248411.39
4,6.069e-05,2022-05-14,6.295e-05,5.767e-05,6.048e-05,2022-05-14,1652486400,15.8892258378,261809.62
5,6.043e-05,2022-05-13,6.29e-05,5.7e-05,5.794e-05,2022-05-13,1652400000,16.0141530448,265003.36
6,5.788e-05,2022-05-12,6.315e-05,5.377e-05,6.135e-05,2022-05-12,1652313600,33.77115678,583468.5
7,6.14e-05,2022-05-11,7.01e-05,5.852e-05,6.807e-05,2022-05-11,1652227200,45.054888358,733792.97
8,6.806e-05,2022-05-10,7.107e-05,6.65e-05,6.701e-05,2022-05-10,1652140800,41.1846741024,605123.04
9,6.693e-05,2022-05-09,7.787e-05,6.649e-05,7.52e-05,2022-05-09,1652054400,37.41699496169999,559046.69
10,7.527e-05,2022-05-08,7.664e-05,7.103e-05,7.103e-05,2022-05-08,1651968000,53.517361404,711005.2
11,7.093e-05,2022-05-07,7.344e-05,6.878e-05,6.96e-05,2022-05-07,1651881600,60.2354732153,849224.21
12,6.961e-05,2022-05-06,7.007e-05,6.736e-05,6.793e-05,2022-05-06,1651795200,22.955160225400004,329768.14
13,6.824e-05,2022-05-05,7.284e-05,6.641e-05,6.827e-05,2022-05-05,1651708800,68.8293943392,1008637.08
14,6.827e-05,2022-05-04,6.922e-05,6.462e-05,6.593e-05,2022-05-04,1651622400,20.1513862957,295171.91
15,6.595e-05,2022-05-03,6.701e-05,6.439e-05,6.482e-05,2022-05-03,1651536000,9.826412824000002,148997.92
16,6.482e-05,2022-05-02,6.743e-05,6.283e-05,6.681e-05,2022-05-02,1651449600,12.671390204200002,195485.81
17,6.68e-05,2022-05-01,6.801e-05,6.536e-05,6.736e-05,2022-05-01,1651363200,12.648845864,189353.98
18,6.736e-05,2022-04-30,7.145e-05,6.476e-05,6.964e-05,2022-04-30,1651276800,19.000707393600003,282077.01
19,6.967e-05,2022-04-29,7.093e-05,6.892e-05,7.056e-05,2022-04-29,1651190400,17.085929322800002,245240.84
20,7.059e-05,2022-04-28,7.197e-05,6.989e-05,7.189e-05,2022-04-28,1651104000,17.5065402408,248003.12
21,7.183e-05,2022-04-27,7.301e-05,7.075e-05,7.2e-05,2022-04-27,1651017600,23.0774741615,321279.05
22,7.201e-05,2022-04-26,7.559e-05,7.152e-05,7.294e-05,2022-04-26,1650931200,23.2879439875,323398.75
23,7.293e-05,2022-04-25,7.518e-05,7.265e-05,7.518e-05,2022-04-25,1650844800,17.1091278501,234596.57
24,7.514e-05,2022-04-24,7.731e-05,7.475e-05,7.625e-05,2022-04-24,1650758400,18.9866209078,252683.27
25,7.613e-05,2022-04-23,7.785e-05,7.584e-05,7.759e-05,2022-04-23,1650672000,10.6166223618,139453.86
26,7.765e-05,2022-04-22,7.926e-05,7.47e-05,7.47e-05,2022-04-22,1650585600,21.633151783,278598.22
27,7.483e-05,2022-04-21,7.651e-05,7.423e-05,7.606e-05,2022-04-21,1650499200,15.3571947774,205227.78
28,7.608e-05,2022-04-20,7.819e-05,7.523e-05,7.775e-05,2022-04-20,1650412800,25.839735880800003,339639.01
29,7.777e-05,2022-04-19,7.864e-05,7.7e-05,7.787e-05,2022-04-19,1650326400,7.3507356307,94518.91
30,7.786e-05,2022-04-18,7.834e-05,7.581e-05,7.771e-05,2022-04-18,1650240000,38.1418535854,489877.39
31,7.771e-05,2022-04-17,8.149e-05,7.771e-05,8.117e-05,2022-04-17,1650153600,17.7156473917,227971.27
32,8.12e-05,2022-04-16,8.136e-05,7.853e-05,7.873e-05,2022-04-16,1650067200,21.971168268,270580.89
