id,name,min_size,status,max_precision
CVC,Civic,1,online,0.00000001
OGN,Origin Token,0.1,online,0.01
TRAC,OriginTrail,0.1,online,0.0001
POWR,Power Ledger,0.000001,online,0.000001
ORN,Orion Protocol,0.1,online,0.01
ACH,Alchemy Pay,0.1,online,0.00000001
REQ,Request,10,online,1
XTZ,Tezos,0.000001,online,0.000001
IDEX,IDEX,0.1,online,0.00000001
USDC,USD Coin,0.000001,online,0.000001
RAD,Radicle,0.1,online,0.01
ALGO,Algorand,1,online,0.000001
BAT,Basic Attention Token,1,online,0.00000001
MCO2,Moss Carbon Credit,0.01,online,0.00000001
GST,Green Satoshi Token,0.00000001,online,0.00000001
AUCTION,Bounce Token,0.01,online,0.001
TBTC,TBTC,0.00001,online,0.000001
FET,Fetch.ai,1,online,0.1
ARPA,ARPA,1,online,0.1
JASMY,JasmyCoin,10,online,0.00000001
EUR,Euro,0.01,online,0.01
SOL,Solana,0.01,online,0.000000001
INV,Inverse Finance,0.00000001,online,0.00000001
BAL,Balancer,0.1,online,0.01
ICP,Internet Computer,0.01,online,0.001
TRB,Tellor,0.01,online,0.001
GODS,Gods Unchained,0.1,online,0.00000001
SYN,Synapse,0.00000001,online,0.00000001
MATIC,Polygon,1,online,0.0000001
LINK,Chainlink,1,online,0.00000001
NKN,NKN,1,online,0.1
BTC,Bitcoin,0.00000001,online,0.00000001
COMP,Compound,0.01,online,0.001
SUSHI,SushiSwap,0.1,online,0.01
ALCX,Alchemix,0.0001,online,0.00000001
UNFI,Unifi Protocol DAO,0.01,online,0.00000001
DESO,Decentralized Social,0.000001,online,0.000001
APE,ApeCoin,0.00000001,online,0.00000001
GLM,Golem Network,0.00000001,online,0.00000001
QNT,Quant,0.01,online,0.001
ZEC,Zcash,0.00000001,online,0.00000001
ANKR,Ankr,10,online,0.00000001
SKL,SKALE,1,online,0.1
FIDA,Bonfida,0.000001,online,0.000001
MINA,Mina,0.00000001,online,0.00000001
SUPER,SuperFarm,0.01,online,0.00000001
GMT,STEPN,0.00000001,online,0.00000001
BCH,Bitcoin Cash,0.00000001,online,0.00000001
KEEP,Keep Network,1,online,0.1
AXS,Axie Infinity,0.01,online,0.001
API3,API3,0.1,online,0.01
MUSD,mStable USD,0.01,online,0.00000001
CRV,Curve DAO Token,0.1,online,0.01
WLUNA,Wrapped Luna,0.01,online,0.001
REP,Augur,0.000001,online,0.00000001
AVAX,Avalanche,0.01,online,0.001
FORTH,Ampleforth Governance Token,0.01,online,0.001
RLC,iExec RLC,0.1,online,0.01
RBN,Ribbon Finance,0.1,online,0.00000001
USDT,Tether,1,online,0.1
PERP,Perpetual Protocol,0.01,online,0.001
GFI,Goldfinch,0.1,online,0.00000001
PRO,Propy,0.00000001,online,0.00000001
NU,NuCypher,10,online,0.000001
SHIB,Shiba Inu,100000,online,1
CRPT,Crypterium,0.00000001,online,0.00000001
MKR,Maker,0.001,online,0.00001
RNDR,Render Token,0.00000001,online,0.00000001
CGLD,Celo,0.1,online,0.01
ENS,Ethereum Name Service,0.001,online,0.00000001
ATOM,Cosmos,1,online,0.000001
SNX,Synthetix,0.1,online,0.001
ZEN,Horizen,0.01,online,0.001
MANA,Decentraland,1,online,0.00000001
NMR,Numeraire,0.01,online,0.001
OXT,Orchid,1,online,0.00000001
BUSD,Binance USD,0.00000001,online,0.00000001
LTC,Litecoin,0.00000001,online,0.00000001
POLY,Polymath Network,1,online,1
KRL,kryll,0.1,online,0.0001
REN,Ren,1,online,0.1
GAL,Project Galaxy,0.00000001,online,0.00000001
HIGH,Highstreet,0.00000001,online,0.00000001
LOOM,Loom Network,1,online,0.00000001
STORJ,Storj,1,online,0.01
AMP,Amp,10,online,1
AVT,Aventus,0.01,online,0.00000001
ETC,Ether Classic,0.00000001,online,0.00000001
RAI,Rai Reflex Index,0.1,online,0.01
BADGER,Badger DAO,0.01,online,0.001
CTX,Cryptex Finance,0.01,online,0.001
AAVE,Aave,0.01,online,0.001
TRIBE,Tribe,1,online,0.1
XRP,XRP,1,delisted,0.000001
CTSI,Cartesi,1,online,0.1
POLS,Polkastarter,0.01,online,0.00000001
DAI,Dai,0.00001,online,0.00001
GTC,Gitcoin,0.1,online,0.01
BOND,BarnBridge,0.01,online,0.001
RLY,Rally,1,online,1
GNT,Golem,1,delisted,0.00000001
MLN,Enzyme,0.01,online,0.001
RGT,Rari Governance Token,0.01,online,0.001
DASH,Dash,1,online,0.00000001
MPL,Maple,0.01,online,0.00000001
QSP,Quantstamp,0.00000001,online,0.00000001
CRO,Crypto.com Coin,0.00000001,online,0.00000001
LQTY,Liquity,0.00000001,online,0.00000001
SPELL,Spell Token,10,online,0.00000001
PAX,Paxos Standard,0.1,online,0.01
TRU,TrueFi,1,online,0.1
IOTX,IoTeX (ERC-20),10,online,1
ORCA,Orca,0.000001,online,0.000001
OMG,OMG Network,1,online,0.00000001
BAND,Band Protocol,0.1,online,0.01
ERN,Ethernity Chain,0.001,online,0.00000001
LCX,LCX Token,0.1,online,0.0001
EOS,EOS,0.1,online,0.0001
ENJ,Enjin Coin,0.1,online,0.01
DOGE,Dogecoin,1,online,0.1
LRC,Loopring,1,online,0.00000001
FARM,Harvest Finance,0.01,online,0.001
XYO,XYO,100,online,0.1
QUICK,QuickSwap,0.001,online,0.0001
ZRX,0x,0.00001,online,0.00000001
SNT,Status,0.00000001,online,0.00000001
ETH,Ether,0.00000001,online,0.00000001
COVAL,Circuits of Value,0.00000001,online,0.00000001
GYEN,GYEN,0.000001,online,0.000001
XLM,Stellar,1,online,0.0000001
KNC,Kyber Network,1,online,0.00000001
DNT,district0x,1,online,0.00000001
BICO,Biconomy,1,online,0.00000001
SHPING,Shping,0.00000001,online,0.00000001
DIA,DIA,0.01,online,0.00000001
GRT,The Graph,10,online,0.01
ADA,Cardano,1,online,0.1
GBP,British Pound,0.01,online,0.01
UPI,Pawtocol,1,online,0.00000001
BLZ,Bluzelle,0.1,online,0.00000001
DOT,Polkadot,0.01,online,0.001
ASM,Assemble Protocol,10,online,1
WCFG,Wrapped Centrifuge,0.1,online,0.01
MDT,Measurable Data Token,1,online,0.00000001
UMA,UMA,0.01,online,0.001
