unix,low,high,open,close,volume,date,vol_fiat
1652313600,0.39,0.55,0.5161,0.4554,288609104.33,2022-05-12,131432586.111882
1652227200,0.4685,0.6629,0.6282,0.5161,311609866.59,2022-05-11,160821852.147099
1652140800,0.5829,0.7021,0.6028,0.6283,229219433.5,2022-05-10,144018570.06805
1652054400,0.6,0.754,0.7401,0.6018,213289138.31,2022-05-09,128357403.434958
1651968000,0.7256,0.7659,0.7598,0.7403,60522189.0,2022-05-08,44804576.5167
1651881600,0.7467,0.7859,0.7833,0.7598,40658639.31,2022-05-07,30892434.147738002
1651795200,0.7622,0.7993,0.7883,0.7831,67535550.13,2022-05-06,52887089.306802996
1651708800,0.7717,0.9052,0.8983,0.7884,115818008.88,2022-05-05,91310918.20099199
1651622400,0.7676,0.899,0.7711,0.8983,77542412.72,2022-05-04,69656349.346376
1651536000,0.76,0.7994,0.7805,0.7711,38413769.32,2022-05-03,29620857.522652
1651449600,0.7636,0.7971,0.7895,0.7806,51891229.75,2022-05-02,40506293.94285
1651363200,0.7452,0.8002,0.7558,0.7896,63290070.87,2022-05-01,49973839.958951995
1651276800,0.7357,0.818,0.805,0.7558,64218106.87,2022-04-30,48536045.172346
1651190400,0.7893,0.8494,0.8432,0.8049,59378862.25,2022-04-29,47794046.225025
1651104000,0.8257,0.8529,0.8405,0.8433,45973421.77,2022-04-28,38769386.578641005
1651017600,0.8192,0.856,0.8258,0.8405,50643834.45,2022-04-27,42566142.855225004
1650931200,0.8166,0.9032,0.898,0.8259,68602667.38,2022-04-26,56658942.98914199
1650844800,0.8267,0.9033,0.8859,0.8975,82751434.23,2022-04-25,74269412.221425
1650758400,0.8772,0.899,0.8869,0.886,21840374.53,2022-04-24,19350571.833580002
1650672000,0.8821,0.9128,0.9064,0.8873,20009235.26,2022-04-23,17754194.446198
1650585600,0.8908,0.9247,0.9101,0.9064,33272639.38,2022-04-22,30158320.334032
1650499200,0.8922,0.9707,0.9367,0.9102,44822082.22,2022-04-21,40797059.236644
1650412800,0.9309,0.9755,0.9526,0.9367,39035207.21,2022-04-20,36564278.593607
1650326400,0.9272,0.957,0.9367,0.9524,37117160.63,2022-04-19,35350383.784012005
1650240000,0.8744,0.9382,0.9148,0.9367,56052555.88,2022-04-18,52504429.092796
1650153600,0.912,0.9625,0.9514,0.9148,22296536.11,2022-04-17,20396871.233427998
