unix,low,high,open,close,volume,date,vol_fiat
1556064000,0.2905,0.3218,0.3203,0.3014,22576420,2019-04-24,6804532.988
1555977600,0.3201,0.3284,0.3243,0.3206,8307641,2019-04-23,2663429.7046
1555891200,0.3189,0.3328,0.3224,0.3245,7552167,2019-04-22,2450678.1915
1555804800,0.3161,0.3301,0.3287,0.3223,7203127,2019-04-21,2321567.8320999998
1555718400,0.3222,0.334,0.3321,0.3287,7354703,2019-04-20,2417490.8761
1555632000,0.3268,0.3363,0.3363,0.3319,9035891,2019-04-19,2999012.2229
1555545600,0.3333,0.3486,0.3358,0.3363,13674355,2019-04-18,4598685.5865
1555459200,0.3198,0.3442,0.3262,0.3359,13779940,2019-04-17,4628681.846
1555372800,0.3159,0.3274,0.3193,0.326,8390891,2019-04-16,2735430.466
1555286400,0.314,0.334,0.3302,0.3193,14403108,2019-04-15,4598912.3844
1555200000,0.3225,0.3316,0.3259,0.33,7658170,2019-04-14,2527196.1
1555113600,0.3226,0.3377,0.3252,0.3262,6942601,2019-04-13,2264676.4462
1555027200,0.317,0.3313,0.329,0.3251,11494899,2019-04-12,3736991.6649
1554940800,0.3227,0.3551,0.3549,0.3285,16097634,2019-04-11,5288072.769
1554854400,0.3485,0.3615,0.3501,0.3549,12654049,2019-04-10,4490921.9901
1554768000,0.348,0.3592,0.3592,0.3502,9478655,2019-04-09,3319424.981
1554681600,0.35,0.3727,0.3636,0.3592,17523588,2019-04-08,6294472.8096
1554595200,0.3507,0.3664,0.353,0.3633,15231020,2019-04-07,5533429.566000001
1554508800,0.3477,0.3655,0.3636,0.3534,14435694,2019-04-06,5101574.2595999995
1554422400,0.3307,0.38,0.3314,0.3636,26954324,2019-04-05,9800592.2064
1554336000,0.3252,0.35,0.3437,0.331,16133914,2019-04-04,5340325.534
1554249600,0.3155,0.3882,0.355,0.3437,37796995,2019-04-03,12990827.1815
1554163200,0.311,0.3628,0.3121,0.355,23978897,2019-04-02,8512508.434999999
1554076800,0.307,0.3141,0.3086,0.3122,5534689,2019-04-01,1727929.9057999998
1553990400,0.307,0.311,0.3101,0.3087,3006778,2019-03-31,928192.3685999999
1553904000,0.3065,0.3175,0.3073,0.3105,6747371,2019-03-30,2095058.6955
1553817600,0.3034,0.3092,0.3046,0.3073,6882629,2019-03-29,2115031.8917
1553731200,0.3031,0.3094,0.3094,0.3049,4176813,2019-03-28,1273510.2837
1553644800,0.2985,0.311,0.3008,0.3091,6151646,2019-03-27,1901473.7785999998
1553558400,0.2921,0.3017,0.3006,0.3013,4480541,2019-03-26,1349987.0033
1553472000,0.298,0.3064,0.3061,0.3012,5377736,2019-03-25,1619774.0832000002
1553385600,0.3033,0.3102,0.3102,0.3062,3244213,2019-03-24,993378.0206
1553299200,0.308,0.3115,0.3099,0.3102,2745056,2019-03-23,851516.3711999999
1553212800,0.3056,0.312,0.3093,0.3099,5267255,2019-03-22,1632322.3245
1553126400,0.3021,0.3184,0.317,0.3093,5917396,2019-03-21,1830250.5828000002
1553040000,0.3019,0.32,0.3148,0.317,7421307,2019-03-20,2352554.319
1552953600,0.311,0.3159,0.3134,0.3149,5212978,2019-03-19,1641566.7722
1552867200,0.3108,0.3188,0.314,0.3135,6120000,2019-03-18,1918620.0
1552780800,0.3104,0.318,0.3177,0.314,3977939,2019-03-17,1249072.846
1552694400,0.313,0.3216,0.3133,0.318,7114468,2019-03-16,2262400.824
1552608000,0.3083,0.3149,0.3097,0.3133,5725080,2019-03-15,1793667.5640000002
1552521600,0.3006,0.3148,0.3127,0.3096,5515213,2019-03-14,1707509.9448
1552435200,0.306,0.339,0.3084,0.3128,8246192,2019-03-13,2579408.8576
1552348800,0.3042,0.3099,0.3086,0.3084,5595157,2019-03-12,1725546.4188
1552262400,0.3057,0.3124,0.3116,0.3086,4933172,2019-03-11,1522376.8791999999
1552176000,0.3074,0.3155,0.312,0.3115,3915201,2019-03-10,1219585.1114999999
1552089600,0.3055,0.3173,0.3066,0.312,6171296,2019-03-09,1925444.352
1552003200,0.303,0.3141,0.3116,0.3067,5503794,2019-03-08,1688013.6197999998
1551916800,0.3111,0.3185,0.3156,0.3116,6505508,2019-03-07,2027116.2928
1551830400,0.3088,0.32,0.3141,0.3156,6301821,2019-03-06,1988854.7075999998
1551744000,0.3,0.3175,0.3013,0.3141,7114719,2019-03-05,2234733.2379
1551657600,0.297,0.3108,0.3095,0.3013,7059452,2019-03-04,2127012.8876
1551571200,0.3077,0.3154,0.3135,0.3095,5034294,2019-03-03,1558113.993
1551484800,0.3094,0.3175,0.3151,0.3133,7399616,2019-03-02,2318299.6928000003
1551398400,0.3102,0.328,0.3142,0.3151,27817649,2019-03-01,8765341.1999
1551312000,0.3055,0.3208,0.3093,0.3142,10090006,2019-02-28,3170279.8852
1551225600,0.299,0.3173,0.3158,0.3093,3654392,2019-02-27,1130303.4456
1551139200,0.3141,0.338,0.338,0.3161,3156202,2019-02-26,997675.4521999999
