unix,low,high,open,close,volume,date,vol_fiat
1652486400,30.04,33.66,31.31,32.65,20649.645,2022-05-14,674210.90925
1652400000,28.98,34.7,29.2,31.28,27943.0566,2022-05-13,874058.810448
1652313600,27.0,34.32,32.42,29.2,25667.0489,2022-05-12,749477.82788
1652227200,31.38,46.21,44.49,32.29,34659.5865,2022-05-11,1119158.048085
1652140800,43.03,50.19,45.54,44.41,42591.4101,2022-05-10,1891484.5225409998
1652054400,45.1,52.67,52.09,45.72,49076.5832,2022-05-09,2243781.383904
1651968000,51.3,54.98,54.08,52.07,17266.9515,2022-05-08,899090.1646049999
1651881600,53.42,59.94,58.94,54.09,15419.4206,2022-05-07,834036.460254
1651795200,55.62,60.97,60.49,58.9,19960.19,2022-05-06,1175655.1909999999
1651708800,58.79,67.83,67.0,60.42,18938.3928,2022-05-05,1144257.692976
1651622400,62.42,68.19,62.47,67.01,9175.0145,2022-05-04,614817.721645
1651536000,61.84,66.14,63.52,62.44,10170.6263,2022-05-03,635053.906172
1651449600,61.82,65.84,64.65,63.51,5528.1911,2022-05-02,351095.416761
1651363200,61.77,64.95,63.62,64.66,11096.1778,2022-05-01,717478.8565479999
1651276800,63.18,69.98,66.48,63.66,9457.0993,2022-04-30,602038.941438
1651190400,65.65,70.26,70.03,66.54,9457.1557,2022-04-29,629279.140278
1651104000,69.09,73.55,71.48,70.05,20379.7397,2022-04-28,1427600.7659849997
1651017600,67.09,75.65,67.47,71.48,45668.007,2022-04-27,3264349.14036
1650931200,66.27,73.7,72.83,67.4,23868.3625,2022-04-26,1608727.6325
1650844800,67.13,73.77,73.53,72.68,22682.3806,2022-04-25,1648555.422008
1650758400,73.2,75.41,73.84,73.62,5771.687,2022-04-24,424911.59694
1650672000,73.49,76.68,76.01,74.0,17044.77,2022-04-23,1261312.98
1650585600,75.03,79.99,76.11,76.02,19238.0489,2022-04-22,1462476.477378
1650499200,75.5,79.82,76.25,76.08,23861.8534,2022-04-21,1815409.8066719999
1650412800,75.18,81.77,80.3,76.36,26471.6014,2022-04-20,2021371.482904
1650326400,76.73,81.13,77.86,80.3,18194.8541,2022-04-19,1461046.7842299999
1650240000,72.98,81.43,78.45,77.86,24678.0695,2022-04-18,1921434.49127
1650153600,78.27,82.63,81.04,78.45,12208.032,2022-04-17,957720.1104
1650067200,80.0,85.37,84.34,81.05,13175.8874,2022-04-16,1067905.67377
1649980800,82.0,96.16,90.7,84.26,53253.1392,2022-04-15,4487109.5089920005
1649894400,77.6,96.65,78.28,90.81,110454.031,2022-04-14,10030330.55511
1649808000,76.13,82.23,78.85,78.31,22531.0656,2022-04-13,1764407.747136
1649721600,74.96,81.49,76.46,78.45,26764.0777,2022-04-12,2099641.8955650004
1649635200,74.0,93.17,93.17,76.23,46536.5174,2022-04-11,3547478.721402
1649548800,92.62,97.77,95.95,93.16,4273.262,2022-04-10,398097.08791999996
1649462400,92.32,96.79,94.24,96.03,5983.4988,2022-04-09,574595.3897640001
1649376000,93.32,103.58,101.91,94.28,17601.3867,2022-04-08,1659458.738076
1649289600,99.0,104.98,101.83,101.78,9959.1389,2022-04-07,1013641.157242
1649203200,101.59,118.55,117.15,102.07,11437.9712,2022-04-06,1167473.7203839999
1649116800,116.57,127.64,122.88,117.16,4329.2234,2022-04-05,507211.813544
1649030400,115.47,130.91,130.91,122.96,7390.6654,2022-04-04,908756.217584
1648944000,121.79,135.29,125.1,130.87,13374.5572,2022-04-03,1750328.300764
1648857600,124.41,134.67,127.4,125.03,6841.9534,2022-04-02,855449.433602
1648771200,112.92,133.3,115.11,127.45,12973.9006,2022-04-01,1653523.6314700001
1648684800,113.99,133.81,124.42,115.11,16371.4449,2022-03-31,1884517.022439
1648598400,114.0,126.88,118.52,124.58,20131.0527,2022-03-30,2507926.545366
1648512000,113.01,125.11,115.71,118.52,14177.0909,2022-03-29,1680268.813468
1648425600,115.49,127.25,123.61,115.75,13018.6689,2022-03-28,1506910.925175
1648339200,114.26,126.95,118.55,123.61,23416.0152,2022-03-27,2894453.6388720004
1648252800,105.21,120.0,106.51,118.55,25163.7285,2022-03-26,2983160.013675
1648166400,105.36,121.48,105.75,106.29,39383.8636,2022-03-25,4186110.862044
1648080000,98.59,110.77,102.99,105.98,17191.5426,2022-03-24,1821959.6847480002
1647993600,98.17,105.2,100.59,102.66,15769.568,2022-03-23,1618903.8508799998
1647907200,100.51,106.96,103.08,100.56,9006.2222,2022-03-22,905665.704432
1647820800,100.12,107.11,106.09,103.12,10378.7121,2022-03-21,1070252.791752
1647734400,99.48,116.69,102.93,106.21,22606.3842,2022-03-20,2401024.0658819997
1647648000,95.65,106.37,97.16,102.95,16225.4151,2022-03-19,1670406.4845450001
1647561600,93.3,99.06,96.3,96.99,10356.2457,2022-03-18,1004452.2704429999
1647475200,93.16,99.57,93.63,96.48,13839.6431,2022-03-17,1335248.766288
1647388800,91.32,98.0,93.84,93.62,15041.676,2022-03-16,1408201.70712
1647302400,91.52,104.62,94.27,93.73,23778.1812,2022-03-15,2228728.923876
1647216000,92.0,108.0,94.85,94.37,33550.5433,2022-03-14,3166164.771221
