time,trade_id,price,size,side,date
2022-05-14T22:24:57.30536Z,1369078,32.65000000,11.64320000,buy,2022-05-14 22:24:57.305360+00:00
2022-05-14T22:24:57.30536Z,1369077,32.66000000,1.66210000,buy,2022-05-14 22:24:57.305360+00:00
2022-05-14T22:24:57.30536Z,1369076,32.68000000,2.19840000,buy,2022-05-14 22:24:57.305360+00:00
2022-05-14T22:23:11.009808Z,1369075,32.72000000,0.12450000,buy,2022-05-14 22:23:11.009808+00:00
2022-05-14T22:21:19.296883Z,1369074,32.69000000,3.19660000,buy,2022-05-14 22:21:19.296883+00:00
2022-05-14T22:21:19.296883Z,1369073,32.70000000,2.70500000,buy,2022-05-14 22:21:19.296883+00:00
2022-05-14T22:21:19.296883Z,1369072,32.71000000,2.19840000,buy,2022-05-14 22:21:19.296883+00:00
2022-05-14T22:19:05.106112Z,1369071,32.83000000,0.23030000,sell,2022-05-14 22:19:05.106112+00:00
2022-05-14T22:19:05.106112Z,1369070,32.76000000,0.07930000,sell,2022-05-14 22:19:05.106112+00:00
2022-05-14T22:18:52.14831Z,1369069,32.70000000,1.33340000,buy,2022-05-14 22:18:52.148310+00:00
2022-05-14T22:18:52.14831Z,1369068,32.72000000,1.71770000,buy,2022-05-14 22:18:52.148310+00:00
2022-05-14T22:17:24.247707Z,1369067,32.69000000,0.30930000,buy,2022-05-14 22:17:24.247707+00:00
2022-05-14T22:17:07.255378Z,1369066,32.86000000,0.57380000,sell,2022-05-14 22:17:07.255378+00:00
2022-05-14T22:16:48.0114Z,1369065,32.87000000,1.38330000,sell,2022-05-14 22:16:48.011400+00:00
2022-05-14T22:16:48.0114Z,1369064,32.86000000,5.03160000,sell,2022-05-14 22:16:48.011400+00:00
2022-05-14T22:16:48.0114Z,1369063,32.84000000,2.19840000,sell,2022-05-14 22:16:48.011400+00:00
2022-05-14T22:16:48.0114Z,1369062,32.80000000,1.85350000,sell,2022-05-14 22:16:48.011400+00:00
2022-05-14T22:11:37.740776Z,1369061,32.58000000,0.09730000,buy,2022-05-14 22:11:37.740776+00:00
2022-05-14T22:10:34.17253Z,1369060,32.70000000,0.07930000,buy,2022-05-14 22:10:34.172530+00:00
2022-05-14T22:10:34.154923Z,1369059,32.72000000,2.99040000,sell,2022-05-14 22:10:34.154923+00:00
2022-05-14T22:10:34.154923Z,1369058,32.71000000,2.13360000,sell,2022-05-14 22:10:34.154923+00:00
2022-05-14T22:08:02.971135Z,1369057,32.61000000,0.09450000,buy,2022-05-14 22:08:02.971135+00:00
2022-05-14T22:07:42.233709Z,1369056,32.60000000,15.02410000,buy,2022-05-14 22:07:42.233709+00:00
2022-05-14T22:00:33.806445Z,1369055,32.73000000,14.61700000,buy,2022-05-14 22:00:33.806445+00:00
2022-05-14T22:00:28.805064Z,1369054,32.74000000,3.94960000,buy,2022-05-14 22:00:28.805064+00:00
2022-05-14T22:00:28.805064Z,1369053,32.74000000,4.62240000,buy,2022-05-14 22:00:28.805064+00:00
2022-05-14T22:00:23.836631Z,1369052,32.76000000,4.00000000,buy,2022-05-14 22:00:23.836631+00:00
2022-05-14T22:00:18.785384Z,1369051,32.76000000,3.35280000,buy,2022-05-14 22:00:18.785384+00:00
2022-05-14T22:00:18.785384Z,1369050,32.77000000,2.90220000,buy,2022-05-14 22:00:18.785384+00:00
2022-05-14T22:00:13.782056Z,1369049,32.75000000,1.76160000,buy,2022-05-14 22:00:13.782056+00:00
2022-05-14T22:00:08.776362Z,1369048,32.76000000,1.78170000,buy,2022-05-14 22:00:08.776362+00:00
2022-05-14T22:00:03.770361Z,1369047,32.73000000,1.76160000,buy,2022-05-14 22:00:03.770361+00:00
2022-05-14T21:59:53.744304Z,1369046,32.76000000,2.51700000,buy,2022-05-14 21:59:53.744304+00:00
2022-05-14T21:59:48.736967Z,1369045,32.78000000,2.86200000,buy,2022-05-14 21:59:48.736967+00:00
2022-05-14T21:59:43.733598Z,1369044,32.76000000,1.76160000,buy,2022-05-14 21:59:43.733598+00:00
2022-05-14T21:59:38.726276Z,1369043,32.81000000,4.00000000,buy,2022-05-14 21:59:38.726276+00:00
2022-05-14T21:59:33.718692Z,1369042,32.76000000,1.76160000,buy,2022-05-14 21:59:33.718692+00:00
2022-05-14T21:59:28.714521Z,1369041,32.79000000,1.76140000,buy,2022-05-14 21:59:28.714521+00:00
2022-05-14T21:59:28.714521Z,1369040,32.79000000,0.00860000,buy,2022-05-14 21:59:28.714521+00:00
2022-05-14T21:59:23.704662Z,1369039,32.81000000,4.00000000,buy,2022-05-14 21:59:23.704662+00:00
2022-05-14T21:58:58.677469Z,1369038,32.79000000,0.00040000,buy,2022-05-14 21:58:58.677469+00:00
2022-05-14T21:58:58.677469Z,1369037,32.79000000,1.76160000,buy,2022-05-14 21:58:58.677469+00:00
2022-05-14T21:54:09.766214Z,1369036,32.91000000,8.93200000,sell,2022-05-14 21:54:09.766214+00:00
2022-05-14T21:53:09.544053Z,1369035,32.97000000,0.00280000,sell,2022-05-14 21:53:09.544053+00:00
2022-05-14T21:53:06.361352Z,1369034,32.97000000,0.01620000,sell,2022-05-14 21:53:06.361352+00:00
2022-05-14T21:52:44.444734Z,1369033,32.90000000,0.00960000,buy,2022-05-14 21:52:44.444734+00:00
2022-05-14T21:52:18.097126Z,1369032,32.99000000,1.27600000,sell,2022-05-14 21:52:18.097126+00:00
2022-05-14T21:52:13.089905Z,1369031,32.91000000,1.45200000,buy,2022-05-14 21:52:13.089905+00:00
2022-05-14T21:51:05.397962Z,1369030,32.80000000,15.06460000,sell,2022-05-14 21:51:05.397962+00:00
2022-05-14T21:51:03.774121Z,1369029,32.80000000,10.00000000,sell,2022-05-14 21:51:03.774121+00:00
2022-05-14T21:51:02.999495Z,1369028,32.80000000,10.00000000,sell,2022-05-14 21:51:02.999495+00:00
2022-05-14T21:50:35.944329Z,1369027,32.70000000,16.83180000,sell,2022-05-14 21:50:35.944329+00:00
2022-05-14T21:50:35.944329Z,1369026,32.69000000,18.23280000,sell,2022-05-14 21:50:35.944329+00:00
2022-05-14T21:50:28.013123Z,1369025,32.64000000,18.23280000,sell,2022-05-14 21:50:28.013123+00:00
2022-05-14T21:50:26.654212Z,1369024,32.49000000,0.07970000,buy,2022-05-14 21:50:26.654212+00:00
2022-05-14T21:50:26.654212Z,1369023,32.49000000,0.24110000,buy,2022-05-14 21:50:26.654212+00:00
2022-05-14T21:50:22.922183Z,1369022,32.64000000,0.95000000,sell,2022-05-14 21:50:22.922183+00:00
2022-05-14T21:50:17.902429Z,1369021,32.58000000,0.00700000,sell,2022-05-14 21:50:17.902429+00:00
2022-05-14T21:50:12.221815Z,1369020,32.56000000,3.00000000,sell,2022-05-14 21:50:12.221815+00:00
2022-05-14T21:50:07.901579Z,1369019,32.56000000,4.00000000,sell,2022-05-14 21:50:07.901579+00:00
2022-05-14T21:50:02.893824Z,1369018,32.56000000,4.00000000,sell,2022-05-14 21:50:02.893824+00:00
