unix,low,high,open,close,volume,date,vol_fiat
1652572800,0.621,0.775,0.631,0.667,6635347.85,2022-05-15,4425777.01595
1652486400,0.484,0.721,0.487,0.63,11179065.1,2022-05-14,7042811.013
1652400000,0.377,0.542,0.382,0.489,3777590.53,2022-05-13,1847241.7691699998
1652313600,0.335,0.513,0.486,0.381,4537421.63,2022-05-12,1728757.64103
1652227200,0.447,0.769,0.748,0.486,5701218.63,2022-05-11,2770792.2541799997
1652140800,0.703,0.82,0.731,0.749,2636608.07,2022-05-10,1974819.44443
1652054400,0.723,0.932,0.914,0.727,2309957.75,2022-05-09,1679339.28425
1651968000,0.896,0.965,0.963,0.914,1522759.91,2022-05-08,1391802.55774
1651881600,0.94,1.059,1.043,0.964,1260554.69,2022-05-07,1215174.72116
1651795200,0.995,1.05,1.033,1.041,1596885.46,2022-05-06,1662357.7638599998
1651708800,1.0,1.166,1.14,1.035,2522895.24,2022-05-05,2611196.5734
1651622400,1.032,1.172,1.037,1.141,2307180.29,2022-05-04,2632492.71089
1651536000,1.031,1.134,1.043,1.036,2405932.74,2022-05-03,2492546.31864
1651449600,1.009,1.147,1.072,1.046,2453902.6,2022-05-02,2566782.1196000003
1651363200,1.003,1.108,1.005,1.075,3667823.86,2022-05-01,3942910.6495
1651276800,1.0,1.142,1.1,1.007,2156879.18,2022-04-30,2171977.33426
1651190400,1.08,1.191,1.183,1.102,1006852.23,2022-04-29,1109551.1574600001
1651104000,1.162,1.245,1.214,1.18,828791.65,2022-04-28,977974.147
1651017600,1.114,1.296,1.131,1.213,1672862.67,2022-04-27,2029182.41871
1650931200,1.106,1.26,1.241,1.131,1121179.01,2022-04-26,1268053.46031
1650844800,1.157,1.286,1.285,1.24,1265308.79,2022-04-25,1568982.8996000001
1650758400,1.272,1.329,1.306,1.283,922526.18,2022-04-24,1183601.08894
1650672000,1.289,1.351,1.323,1.304,848883.57,2022-04-23,1106944.17528
1650585600,1.294,1.369,1.339,1.32,1310285.87,2022-04-22,1729577.3484000002
1650499200,1.332,1.477,1.454,1.343,1642710.04,2022-04-21,2206159.58372
1650412800,1.338,1.564,1.365,1.455,5925403.44,2022-04-20,8621462.0052
1650326400,1.299,1.373,1.317,1.368,894799.22,2022-04-19,1224085.33296
1650240000,1.226,1.337,1.324,1.317,1138201.77,2022-04-18,1499011.73109
1650153600,1.316,1.455,1.348,1.323,894610.07,2022-04-17,1183569.12261
1650067200,1.324,1.357,1.339,1.348,553582.78,2022-04-16,746229.58744
1649980800,1.329,1.375,1.351,1.341,678564.48,2022-04-15,909954.96768
1649894400,1.337,1.43,1.398,1.351,1952561.11,2022-04-14,2637910.05961
1649808000,1.343,1.421,1.361,1.4,1857124.03,2022-04-13,2599973.642
1649721600,1.317,1.417,1.318,1.361,1729235.3,2022-04-12,2353489.2433
1649635200,1.301,1.505,1.493,1.318,2816242.39,2022-04-11,3711807.4700200004
1649548800,1.49,1.595,1.578,1.498,1061440.47,2022-04-10,1590037.82406
1649462400,1.51,1.594,1.525,1.577,1450790.47,2022-04-09,2287896.57119
1649376000,1.504,1.678,1.621,1.528,2721991.22,2022-04-08,4159202.5841600006
1649289600,1.525,1.661,1.56,1.619,1848204.34,2022-04-07,2992242.82646
1649203200,1.54,1.834,1.807,1.562,3395725.71,2022-04-06,5304123.5590200005
1649116800,1.802,2.05,1.858,1.806,3780789.86,2022-04-05,6828106.48716
1649030400,1.76,1.923,1.894,1.859,1871699.25,2022-04-04,3479488.90575
1648944000,1.845,2.162,2.045,1.893,7234463.46,2022-04-03,13694839.32978
1648857600,1.695,2.354,1.696,2.046,10602945.05,2022-04-02,21693625.5723
1648771200,1.511,1.708,1.594,1.695,1627320.09,2022-04-01,2758307.55255
1648684800,1.553,1.842,1.745,1.595,2441112.76,2022-03-31,3893574.8521999996
1648598400,1.593,1.787,1.686,1.746,3118973.97,2022-03-30,5445728.55162
1648512000,1.595,1.748,1.596,1.69,2037041.39,2022-03-29,3442599.9491
1648425600,1.572,1.723,1.594,1.596,2009027.73,2022-03-28,3206408.2570800004
1648339200,1.503,1.628,1.515,1.595,978379.28,2022-03-27,1560514.9516
1648252800,1.478,1.54,1.505,1.518,502357.02,2022-03-26,762577.9563600001
1648166400,1.474,1.611,1.581,1.506,1508185.76,2022-03-25,2271327.75456
1648080000,1.52,1.629,1.539,1.58,2767262.91,2022-03-24,4372275.3978
1647993600,1.49,1.584,1.583,1.541,2151230.8,2022-03-23,3315046.6627999996
1647907200,1.564,1.742,1.61,1.582,4779447.53,2022-03-22,7561085.99246
1647820800,1.459,1.759,1.466,1.609,6779163.59,2022-03-21,10907674.21631
1647734400,1.401,1.592,1.587,1.465,3765508.78,2022-03-20,5516470.3627
1647648000,1.32,1.635,1.365,1.588,8497623.17,2022-03-19,13494225.59396
1647561600,1.233,1.398,1.282,1.365,3059661.6,2022-03-18,4176438.0840000003
1647475200,1.269,1.396,1.322,1.282,3062938.71,2022-03-17,3926687.4262200003
1647388800,1.188,1.36,1.197,1.322,3935255.42,2022-03-16,5202407.66524
1647302400,1.169,1.251,1.238,1.197,1580687.25,2022-03-15,1892082.63825
1647216000,1.15,1.287,1.152,1.236,4452594.0,2022-03-14,5503406.184
1647129600,1.15,1.323,1.181,1.151,3121501.37,2022-03-13,3592848.07687
1647043200,1.156,1.229,1.156,1.181,1320700.56,2022-03-12,1559747.3613600002
1646956800,1.152,1.241,1.199,1.155,1579548.76,2022-03-11,1824378.8178
1646870400,1.183,1.289,1.288,1.202,1809650.75,2022-03-10,2175200.2015
1646784000,1.256,1.361,1.272,1.287,1721266.76,2022-03-09,2215270.32012
1646697600,1.24,1.362,1.243,1.273,2213691.59,2022-03-08,2818029.3940699995
1646611200,1.173,1.364,1.211,1.244,4172806.66,2022-03-07,5190971.48504
1646524800,1.209,1.359,1.334,1.211,2962883.01,2022-03-06,3588051.32511
1646438400,1.296,1.397,1.344,1.334,2898820.13,2022-03-05,3867026.0534200002
1646352000,1.32,1.633,1.545,1.344,6915939.56,2022-03-04,9295022.76864
1646265600,1.325,1.71,1.356,1.545,12127459.23,2022-03-03,18736924.51035
1646179200,1.238,1.48,1.326,1.357,2937115.95,2022-03-02,3985666.3441500003
1646092800,1.276,1.388,1.354,1.326,2039337.77,2022-03-01,2704161.88302
1646006400,1.172,1.358,1.198,1.351,2558727.17,2022-02-28,3456840.40667
1645920000,1.171,1.328,1.275,1.198,1807057.55,2022-02-27,2164854.9449
1645833600,1.261,1.431,1.314,1.275,2488815.9,2022-02-26,3173240.2724999995
1645747200,1.169,1.34,1.21,1.316,6366788.01,2022-02-25,8378693.02116
1645660800,1.037,1.309,1.295,1.21,7732958.25,2022-02-24,9356879.4825
1645574400,1.285,1.437,1.368,1.295,4487161.37,2022-02-23,5810873.97415
1645488000,1.24,1.36,1.31,1.36,911963.83,2022-02-22,1240270.8088
1645401600,1.29,1.54,1.41,1.3,1152991.91,2022-02-21,1498889.483
