unix,low,high,open,close,volume,date,vol_fiat
1652572800,0.1833,0.1999,0.1889,0.199,30197137.3,2022-05-15,6009230.3227
1652486400,0.1729,0.1947,0.1815,0.1889,55444723.3,2022-05-14,10473508.23137
1652400000,0.175,0.2025,0.1767,0.1815,68113708.6,2022-05-13,12362638.110899998
1652313600,0.1598,0.2018,0.1946,0.1767,96879324.0,2022-05-12,17118576.5508
1652227200,0.1876,0.2387,0.2304,0.1944,96635339.2,2022-05-11,18785909.94048
1652140800,0.2046,0.2427,0.2072,0.2305,67639163.2,2022-05-10,15590827.117600001
1652054400,0.2066,0.2583,0.2564,0.2075,67317651.9,2022-05-09,13968412.76925
1651968000,0.2544,0.2716,0.2714,0.2563,21368967.8,2022-05-08,5476866.44714
1651881600,0.2687,0.2809,0.2802,0.2713,14899157.0,2022-05-07,4042141.2940999996
1651795200,0.273,0.2865,0.2839,0.2802,22852699.8,2022-05-06,6403326.48396
1651708800,0.278,0.3137,0.3119,0.2839,38765125.0,2022-05-05,11005418.987499999
1651622400,0.2894,0.3122,0.2908,0.3119,42298588.0,2022-05-04,13192929.5972
1651536000,0.2751,0.3022,0.2757,0.2909,66048365.2,2022-05-03,19213469.43668
1651449600,0.265,0.3212,0.3133,0.2757,81124401.6,2022-05-02,22365997.521119997
1651363200,0.2902,0.3572,0.3505,0.3133,66309104.3,2022-05-01,20774642.37719
1651276800,0.3492,0.3725,0.3702,0.3504,11337021.4,2022-04-30,3972492.29856
1651190400,0.3595,0.3913,0.3888,0.3703,19111900.8,2022-04-29,7077136.86624
1651104000,0.383,0.3935,0.3891,0.3889,12691122.0,2022-04-28,4935577.3458
1651017600,0.3773,0.3907,0.3792,0.3892,12899416.1,2022-04-27,5020452.746119999
1650931200,0.3758,0.4057,0.403,0.3792,15125234.7,2022-04-26,5735488.99824
1650844800,0.3832,0.4055,0.3972,0.403,20212556.3,2022-04-25,8145660.1889
1650758400,0.3968,0.4074,0.405,0.3972,7986248.8,2022-04-24,3172138.02336
1650672000,0.401,0.4111,0.4041,0.4051,7691795.4,2022-04-23,3115946.3165400005
1650585600,0.3969,0.4144,0.4076,0.4041,9169421.1,2022-04-22,3705363.06651
1650499200,0.4034,0.4277,0.4168,0.4074,10083318.3,2022-04-21,4107943.87542
1650412800,0.41,0.4257,0.4173,0.4168,9947868.1,2022-04-20,4146271.42408
1650326400,0.4066,0.4181,0.4112,0.4173,8781417.2,2022-04-19,3664485.39756
1650240000,0.3918,0.4123,0.4048,0.411,12479565.1,2022-04-18,5129101.2561
1650153600,0.4034,0.414,0.4081,0.4046,7199692.2,2022-04-17,2912995.46412
1650067200,0.4059,0.4123,0.408,0.4082,7360034.1,2022-04-16,3004365.91962
1649980800,0.4042,0.4153,0.4104,0.4078,11492116.1,2022-04-15,4686484.94558
1649894400,0.4084,0.4265,0.4229,0.4108,10043846.5,2022-04-14,4126012.1422
1649808000,0.4076,0.4235,0.4162,0.4228,10494509.2,2022-04-13,4437078.489759999
1649721600,0.4014,0.4235,0.4032,0.4161,16342425.6,2022-04-12,6800083.292160001
1649635200,0.3989,0.4415,0.4401,0.4033,22310234.8,2022-04-11,8997717.694840001
1649548800,0.439,0.4531,0.445,0.4401,7489271.6,2022-04-10,3296028.4311599997
1649462400,0.4334,0.4454,0.4356,0.4448,7729022.4,2022-04-09,3437869.16352
1649376000,0.4341,0.4568,0.4475,0.4358,11576498.9,2022-04-08,5045038.220620001
1649289600,0.4365,0.4518,0.4396,0.4475,11539827.8,2022-04-07,5164072.9405000005
1649203200,0.4389,0.4712,0.4711,0.4398,19527150.3,2022-04-06,8588040.70194
1649116800,0.4689,0.4873,0.4842,0.4711,15327223.0,2022-04-05,7220654.7553
1649030400,0.4652,0.4848,0.4802,0.484,13996392.7,2022-04-04,6774254.066799999
1648944000,0.4754,0.4875,0.4789,0.4802,13180114.8,2022-04-03,6329091.126960001
1648857600,0.4752,0.4919,0.4813,0.4787,15301061.1,2022-04-02,7324617.94857
1648771200,0.4462,0.4827,0.4609,0.4812,23350085.4,2022-04-01,11236061.09448
1648684800,0.4577,0.4866,0.4736,0.4608,26177556.3,2022-03-31,12062617.94304
1648598400,0.4698,0.4807,0.4807,0.4737,24777739.6,2022-03-30,11737215.248520002
1648512000,0.4759,0.4972,0.4804,0.4805,25477447.8,2022-03-29,12241913.6679
1648425600,0.4779,0.503,0.4866,0.4802,34023617.0,2022-03-28,16338140.8834
1648339200,0.4562,0.4871,0.4579,0.4865,19245994.2,2022-03-27,9363176.178299999
1648252800,0.4492,0.4603,0.4554,0.4579,11991210.2,2022-03-26,5490775.150579999
1648166400,0.4452,0.4705,0.4504,0.4555,28774334.5,2022-03-25,13106709.36475
1648080000,0.432,0.451,0.4338,0.4504,26492309.3,2022-03-24,11932136.10872
1647993600,0.4112,0.4358,0.4176,0.4337,25336697.8,2022-03-23,10988525.835859999
1647907200,0.4039,0.4254,0.4046,0.4176,21307812.3,2022-03-22,8898142.416480001
1647820800,0.3993,0.4126,0.4059,0.4047,12800102.4,2022-03-21,5180201.44128
1647734400,0.4035,0.4189,0.4182,0.4059,12567771.8,2022-03-20,5101258.57362
1647648000,0.4045,0.4196,0.4062,0.4182,18343452.8,2022-03-19,7671231.960960001
1647561600,0.3911,0.4145,0.4007,0.4063,25085902.7,2022-03-18,10192402.26701
1647475200,0.3996,0.4087,0.4054,0.4009,19594161.2,2022-03-17,7855299.225079999
1647388800,0.3813,0.4096,0.3843,0.4055,30455881.7,2022-03-16,12349860.029350001
1647302400,0.3722,0.3894,0.3799,0.3843,19313042.8,2022-03-15,7422002.34804
