unix,low,high,open,close,volume,date,vol_fiat
1652486400,1.246,1.392,1.315,1.347,4724458.42,2022-05-14,6363845.4917399995
1652400000,1.277,1.594,1.303,1.312,5733236.36,2022-05-13,7522006.104320001
1652313600,1.046,1.588,1.505,1.304,10371775.33,2022-05-12,13524795.03032
1652227200,1.379,2.031,1.974,1.502,14143048.98,2022-05-11,21242859.56796
1652140800,1.854,2.151,1.912,1.977,9999552.62,2022-05-10,19769115.52974
1652054400,1.903,2.385,2.349,1.912,6390618.22,2022-05-09,12218862.03664
1651968000,2.173,2.458,2.226,2.348,5715707.0,2022-05-08,13420480.035999998
1651881600,2.177,2.369,2.291,2.227,2816319.71,2022-05-07,6271943.99417
1651795200,2.19,2.515,2.462,2.288,4761999.05,2022-05-06,10895453.826399999
1651708800,2.27,2.669,2.597,2.457,4666748.18,2022-05-05,11466200.278259998
1651622400,2.143,2.646,2.159,2.597,5204857.91,2022-05-04,13517015.99227
1651536000,2.037,2.215,2.101,2.157,2419528.32,2022-05-03,5218922.58624
1651449600,1.988,2.141,2.065,2.102,2203820.1,2022-05-02,4632429.8502
1651363200,1.95,2.087,1.994,2.067,1664102.45,2022-05-01,3439699.76415
1651276800,1.985,2.251,2.233,1.994,2180197.94,2022-04-30,4347314.69236
1651190400,2.202,2.428,2.397,2.232,2111602.64,2022-04-29,4713097.092480001
1651104000,2.376,2.55,2.49,2.395,1884523.85,2022-04-28,4513434.620750001
1651017600,2.357,2.545,2.369,2.492,2018714.32,2022-04-27,5030636.0854400005
1650931200,2.346,2.774,2.744,2.366,2916455.03,2022-04-26,6900332.60098
1650844800,2.487,2.774,2.704,2.747,3893075.69,2022-04-25,10694278.920429999
1650758400,2.591,2.78,2.665,2.703,3083696.89,2022-04-24,8335232.69367
1650672000,2.462,2.75,2.482,2.668,4115502.58,2022-04-23,10980160.883440001
1650585600,2.187,2.595,2.195,2.483,6655889.59,2022-04-22,16526573.85197
1650499200,2.171,2.411,2.331,2.197,2446057.38,2022-04-21,5373988.06386
1650412800,2.262,2.418,2.308,2.331,2010334.83,2022-04-20,4686090.48873
1650326400,2.158,2.346,2.186,2.31,1570298.82,2022-04-19,3627390.2742000003
1650240000,2.051,2.195,2.193,2.185,2102585.33,2022-04-18,4594148.94605
1650153600,2.192,2.349,2.237,2.194,1573381.06,2022-04-17,3451998.04564
