unix,low,high,open,close,volume,date,vol_fiat
1652572800,0.1836,0.2073,0.1995,0.193,3336234.9,2022-05-15,643893.3357
1652486400,0.1657,0.2041,0.1812,0.2002,3888759.2,2022-05-14,778529.59184
1652400000,0.1662,0.2187,0.1695,0.1807,3530428.3,2022-05-13,637948.3938099999
1652313600,0.137,0.2099,0.1755,0.1695,10657599.7,2022-05-12,1806463.14915
1652227200,0.1269,0.2271,0.2058,0.175,15334364.9,2022-05-11,2683513.8575
1652140800,0.1867,0.231,0.1928,0.2058,5426675.2,2022-05-10,1116809.75616
1652054400,0.1915,0.2563,0.2496,0.1926,3411271.2,2022-05-09,657010.83312
1651968000,0.247,0.2603,0.2575,0.2496,2027377.2,2022-05-08,506033.34911999997
1651881600,0.2468,0.2697,0.2689,0.2575,1387310.5,2022-05-07,357232.45375
1651795200,0.2568,0.2747,0.2682,0.2689,1808453.8,2022-05-06,486293.22682
1651708800,0.2597,0.303,0.2983,0.2679,2747626.1,2022-05-05,736089.03219
1651622400,0.2707,0.3011,0.2718,0.2979,1642669.9,2022-05-04,489351.36321
1651536000,0.2666,0.2871,0.2744,0.2718,1376855.6,2022-05-03,374229.35208
1651449600,0.2671,0.2887,0.2857,0.2746,1553010.7,2022-05-02,426456.73822
1651363200,0.2593,0.2897,0.2656,0.2859,2562305.5,2022-05-01,732563.1424499999
1651276800,0.2536,0.3013,0.2889,0.2658,3016451.1,2022-04-30,801772.7023799999
1651190400,0.2809,0.3123,0.3078,0.2889,2223967.9,2022-04-29,642504.3263099999
1651104000,0.3015,0.317,0.3053,0.3076,1436506.6,2022-04-28,441869.43016
1651017600,0.2935,0.3115,0.2952,0.305,921254.2,2022-04-27,280982.53099999996
1650931200,0.2897,0.3322,0.3284,0.296,2920409.6,2022-04-26,864441.2416
1650844800,0.3091,0.3359,0.3359,0.3288,3940137.7,2022-04-25,1295517.2757599999
1650758400,0.3303,0.3432,0.3343,0.3351,2412702.8,2022-04-24,808496.7082799999
1650672000,0.3333,0.358,0.3497,0.3343,2131217.2,2022-04-23,712465.9099600001
1650585600,0.3432,0.3744,0.3479,0.3491,2607172.1,2022-04-22,910163.78011
1650499200,0.347,0.4064,0.3537,0.3492,9391635.0,2022-04-21,3279558.9420000003
1650412800,0.3469,0.37,0.3622,0.353,1222489.9,2022-04-20,431538.9346999999
1650326400,0.3418,0.378,0.3491,0.3623,1723240.6,2022-04-19,624330.06938
1650240000,0.3174,0.3506,0.3352,0.3498,2776469.1,2022-04-18,971208.89118
1650153600,0.3336,0.3604,0.3554,0.335,1223627.2,2022-04-17,409915.112
1650067200,0.3483,0.3674,0.3587,0.3557,786741.6,2022-04-16,279843.98712
1649980800,0.3512,0.3667,0.3562,0.3592,590053.5,2022-04-15,211947.2172
1649894400,0.35,0.3821,0.3703,0.3563,1708905.8,2022-04-14,608883.13654
1649808000,0.3466,0.3711,0.3603,0.3702,1308766.9,2022-04-13,484505.5063799999
1649721600,0.3352,0.3693,0.3373,0.3589,2230749.4,2022-04-12,800615.9596599999
1649635200,0.3287,0.3782,0.3685,0.338,3171603.3,2022-04-11,1072001.9154
1649548800,0.3681,0.3901,0.3861,0.3694,3836037.1,2022-04-10,1417032.10474
1649462400,0.3626,0.3886,0.3632,0.3864,3659059.5,2022-04-09,1413860.5908000001
1649376000,0.3582,0.4026,0.3975,0.3634,4077892.9,2022-04-08,1481906.27986
1649289600,0.3741,0.406,0.3822,0.398,4098083.3,2022-04-07,1631037.1534
1649203200,0.3823,0.4532,0.4524,0.3833,7148599.8,2022-04-06,2740058.3033399996
1649116800,0.4496,0.4838,0.4751,0.4533,1749220.8,2022-04-05,792921.78864
1649030400,0.4481,0.4995,0.499,0.4753,3644051.5,2022-04-04,1732017.67795
1648944000,0.4818,0.5154,0.4937,0.5006,2512981.1,2022-04-03,1257998.3386600001
1648857600,0.4878,0.5278,0.5003,0.4931,4508474.9,2022-04-02,2223128.9731900003
1648771200,0.4651,0.548,0.4668,0.5007,17285129.1,2022-04-01,8654664.140370002
1648684800,0.4449,0.5081,0.4467,0.4674,13950944.4,2022-03-31,6520671.41256
1648598400,0.4033,0.4995,0.4214,0.4469,10339108.3,2022-03-30,4620547.4992700005
1648512000,0.4017,0.4369,0.4029,0.4217,5810812.5,2022-03-29,2450419.63125
1648425600,0.397,0.4451,0.4241,0.4031,10534607.3,2022-03-28,4246500.20263
1648339200,0.3882,0.4553,0.3889,0.4246,24475311.6,2022-03-27,10392217.30536
1648252800,0.3632,0.3896,0.3651,0.3882,2769806.3,2022-03-26,1075238.8056599998
1648166400,0.3614,0.3902,0.3885,0.3651,3183504.5,2022-03-25,1162297.4929499999
1648080000,0.3727,0.392,0.3829,0.3887,4245349.4,2022-03-24,1650167.31178
1647993600,0.3561,0.3879,0.3633,0.3826,5456577.9,2022-03-23,2087686.70454
1647907200,0.3386,0.3769,0.3408,0.3628,8078383.1,2022-03-22,2930837.38868
1647820800,0.3351,0.3645,0.3427,0.3413,11579546.3,2022-03-21,3952099.1521900003
1647734400,0.3327,0.3553,0.3541,0.3429,6434657.8,2022-03-20,2206444.15962
1647648000,0.3263,0.3695,0.3284,0.354,12607495.7,2022-03-19,4463053.4777999995
1647561600,0.3076,0.3345,0.3189,0.3285,3958903.4,2022-03-18,1300499.7669
1647475200,0.317,0.3385,0.3187,0.3183,3698521.7,2022-03-17,1177239.45711
1647388800,0.3025,0.3252,0.3117,0.3185,4573921.3,2022-03-16,1456793.93405
1647302400,0.2994,0.3279,0.3226,0.3117,7002892.2,2022-03-15,2182801.4987399997
1647216000,0.2853,0.329,0.2898,0.3225,7543665.4,2022-03-14,2432832.0915
1647129600,0.2818,0.311,0.2875,0.2898,5099848.7,2022-03-13,1477936.15326
1647043200,0.2867,0.3076,0.2937,0.2875,3767340.4,2022-03-12,1083110.365
1646956800,0.2868,0.3168,0.2986,0.2924,2908597.3,2022-03-11,850473.85052
1646870400,0.2865,0.3239,0.3203,0.2983,2903473.5,2022-03-10,866106.14505
1646784000,0.3063,0.3369,0.3067,0.3204,2651160.6,2022-03-09,849431.8562400001
1646697600,0.3018,0.3285,0.3192,0.3053,2031262.8,2022-03-08,620144.53284
1646611200,0.3034,0.3388,0.3227,0.3195,3244404.2,2022-03-07,1036587.1419
1646524800,0.3205,0.3657,0.3607,0.3227,1973009.8,2022-03-06,636690.26246
1646438400,0.3416,0.3668,0.3503,0.361,1357459.4,2022-03-05,490042.84339999995
1646352000,0.349,0.3838,0.3801,0.3506,2146986.4,2022-03-04,752733.43184
1646265600,0.372,0.4008,0.3969,0.3802,1759950.7,2022-03-03,669133.25614
1646179200,0.3865,0.4157,0.3981,0.3967,2476146.4,2022-03-02,982287.2768799999
1646092800,0.3894,0.4139,0.3942,0.3996,3539366.9,2022-03-01,1414331.01324
1646006400,0.3338,0.3991,0.3401,0.3943,2558812.3,2022-02-28,1008939.6898899999
1645920000,0.3363,0.3734,0.3662,0.3414,2191537.3,2022-02-27,748190.8342199998
