time,trade_id,price,size,side,date
2022-05-15T21:11:01.403941Z,8594774,0.19300000,280.00000000,buy,2022-05-15 21:11:01.403941+00:00
2022-05-15T21:10:23.411131Z,8594773,0.19310000,114.50000000,buy,2022-05-15 21:10:23.411131+00:00
2022-05-15T21:10:23.411131Z,8594772,0.19310000,8.60000000,buy,2022-05-15 21:10:23.411131+00:00
2022-05-15T21:10:23.411131Z,8594771,0.19320000,345.10000000,buy,2022-05-15 21:10:23.411131+00:00
2022-05-15T21:10:09.555449Z,8594770,0.19340000,323.00000000,buy,2022-05-15 21:10:09.555449+00:00
2022-05-15T21:09:33.660955Z,8594769,0.19360000,279.50000000,sell,2022-05-15 21:09:33.660955+00:00
2022-05-15T21:09:33.660955Z,8594768,0.19360000,304.50000000,sell,2022-05-15 21:09:33.660955+00:00
2022-05-15T21:09:13.895157Z,8594767,0.19320000,438.60000000,sell,2022-05-15 21:09:13.895157+00:00
2022-05-15T21:09:13.895157Z,8594766,0.19320000,280.00000000,sell,2022-05-15 21:09:13.895157+00:00
2022-05-15T21:09:13.895157Z,8594765,0.19300000,290.10000000,sell,2022-05-15 21:09:13.895157+00:00
2022-05-15T21:08:59.807015Z,8594764,0.19260000,63.60000000,buy,2022-05-15 21:08:59.807015+00:00
2022-05-15T21:08:58.311048Z,8594763,0.19310000,337.00000000,buy,2022-05-15 21:08:58.311048+00:00
2022-05-15T21:08:45.532764Z,8594762,0.19320000,321.20000000,sell,2022-05-15 21:08:45.532764+00:00
2022-05-15T21:07:56.741633Z,8594761,0.19310000,5.20000000,sell,2022-05-15 21:07:56.741633+00:00
2022-05-15T21:06:52.00144Z,8594760,0.19300000,1.00000000,buy,2022-05-15 21:06:52.001440+00:00
2022-05-15T21:06:46.143304Z,8594759,0.19350000,350.00000000,buy,2022-05-15 21:06:46.143304+00:00
2022-05-15T21:05:31.950092Z,8594758,0.19310000,322.00000000,sell,2022-05-15 21:05:31.950092+00:00
2022-05-15T21:05:14.264013Z,8594757,0.19260000,3.60000000,buy,2022-05-15 21:05:14.264013+00:00
2022-05-15T21:04:40.439842Z,8594756,0.19240000,15.50000000,buy,2022-05-15 21:04:40.439842+00:00
2022-05-15T21:04:18.563541Z,8594755,0.19240000,185.80000000,buy,2022-05-15 21:04:18.563541+00:00
2022-05-15T21:04:18.563541Z,8594754,0.19240000,280.00000000,buy,2022-05-15 21:04:18.563541+00:00
2022-05-15T21:03:25.023141Z,8594753,0.19270000,287.00000000,sell,2022-05-15 21:03:25.023141+00:00
2022-05-15T21:03:03.521432Z,8594752,0.19250000,327.00000000,sell,2022-05-15 21:03:03.521432+00:00
2022-05-15T21:01:54.783393Z,8594751,0.19180000,570.00000000,sell,2022-05-15 21:01:54.783393+00:00
2022-05-15T21:01:54.319855Z,8594750,0.19170000,289.00000000,buy,2022-05-15 21:01:54.319855+00:00
2022-05-15T21:01:54.197091Z,8594749,0.19180000,2.00000000,buy,2022-05-15 21:01:54.197091+00:00
2022-05-15T21:01:53.121875Z,8594748,0.19200000,284.00000000,buy,2022-05-15 21:01:53.121875+00:00
2022-05-15T21:01:36.949161Z,8594747,0.19240000,1.00000000,sell,2022-05-15 21:01:36.949161+00:00
2022-05-15T21:01:32.485184Z,8594746,0.19210000,5.00000000,buy,2022-05-15 21:01:32.485184+00:00
2022-05-15T21:01:10.376248Z,8594745,0.19220000,282.00000000,buy,2022-05-15 21:01:10.376248+00:00
2022-05-15T21:01:07.836963Z,8594744,0.19200000,5.00000000,buy,2022-05-15 21:01:07.836963+00:00
2022-05-15T20:59:06.932302Z,8594743,0.19250000,250.00000000,sell,2022-05-15 20:59:06.932302+00:00
2022-05-15T20:59:05.522609Z,8594742,0.19220000,283.00000000,buy,2022-05-15 20:59:05.522609+00:00
2022-05-15T20:58:05.496197Z,8594741,0.19230000,0.50000000,buy,2022-05-15 20:58:05.496197+00:00
2022-05-15T20:58:05.378424Z,8594740,0.19230000,319.00000000,buy,2022-05-15 20:58:05.378424+00:00
2022-05-15T20:57:45.982627Z,8594739,0.19230000,319.00000000,buy,2022-05-15 20:57:45.982627+00:00
2022-05-15T20:57:45.982627Z,8594738,0.19230000,280.00000000,buy,2022-05-15 20:57:45.982627+00:00
2022-05-15T20:56:33.555692Z,8594737,0.19280000,1.00000000,sell,2022-05-15 20:56:33.555692+00:00
2022-05-15T20:54:55.115031Z,8594736,0.19190000,19.60000000,buy,2022-05-15 20:54:55.115031+00:00
2022-05-15T20:54:40.40541Z,8594735,0.19210000,281.00000000,buy,2022-05-15 20:54:40.405410+00:00
2022-05-15T20:54:30.485094Z,8594734,0.19240000,322.00000000,buy,2022-05-15 20:54:30.485094+00:00
2022-05-15T20:54:14.004827Z,8594733,0.19260000,318.00000000,buy,2022-05-15 20:54:14.004827+00:00
2022-05-15T20:53:58.427863Z,8594732,0.19250000,319.00000000,sell,2022-05-15 20:53:58.427863+00:00
2022-05-15T20:52:59.729967Z,8594731,0.19240000,1.00000000,sell,2022-05-15 20:52:59.729967+00:00
2022-05-15T20:52:43.186933Z,8594730,0.19230000,319.00000000,buy,2022-05-15 20:52:43.186933+00:00
2022-05-15T20:51:58.353714Z,8594729,0.19260000,5.50000000,sell,2022-05-15 20:51:58.353714+00:00
2022-05-15T20:51:44.059175Z,8594728,0.19270000,51.20000000,sell,2022-05-15 20:51:44.059175+00:00
2022-05-15T20:51:07.449637Z,8594727,0.19260000,313.00000000,sell,2022-05-15 20:51:07.449637+00:00
2022-05-15T20:50:03.366835Z,8594726,0.19240000,62.80000000,buy,2022-05-15 20:50:03.366835+00:00
2022-05-15T20:49:53.818971Z,8594725,0.19230000,302.00000000,sell,2022-05-15 20:49:53.818971+00:00
2022-05-15T20:49:11.559685Z,8594724,0.19210000,69.90000000,sell,2022-05-15 20:49:11.559685+00:00
2022-05-15T20:49:11.559685Z,8594723,0.19210000,280.00000000,sell,2022-05-15 20:49:11.559685+00:00
2022-05-15T20:48:28.520405Z,8594722,0.19180000,1.00000000,buy,2022-05-15 20:48:28.520405+00:00
2022-05-15T20:48:04.557949Z,8594721,0.19230000,502.00000000,sell,2022-05-15 20:48:04.557949+00:00
2022-05-15T20:47:36.472755Z,8594720,0.19230000,549.00000000,sell,2022-05-15 20:47:36.472755+00:00
2022-05-15T20:47:36.472755Z,8594719,0.19220000,356.40000000,sell,2022-05-15 20:47:36.472755+00:00
2022-05-15T20:47:28.578859Z,8594718,0.19220000,309.00000000,buy,2022-05-15 20:47:28.578859+00:00
2022-05-15T20:47:16.09685Z,8594717,0.19250000,301.00000000,sell,2022-05-15 20:47:16.096850+00:00
2022-05-15T20:44:12.940082Z,8594716,0.19210000,328.00000000,sell,2022-05-15 20:44:12.940082+00:00
2022-05-15T20:44:09.352338Z,8594715,0.19210000,280.00000000,buy,2022-05-15 20:44:09.352338+00:00
2022-05-15T20:44:09.282398Z,8594714,0.19220000,280.00000000,buy,2022-05-15 20:44:09.282398+00:00
2022-05-15T20:44:09.266696Z,8594713,0.19230000,314.70000000,buy,2022-05-15 20:44:09.266696+00:00
2022-05-15T20:43:44.696403Z,8594712,0.19230000,1.00000000,buy,2022-05-15 20:43:44.696403+00:00
2022-05-15T20:42:45.417035Z,8594711,0.19270000,299.00000000,buy,2022-05-15 20:42:45.417035+00:00
2022-05-15T20:42:16.282491Z,8594710,0.19240000,307.00000000,sell,2022-05-15 20:42:16.282491+00:00
2022-05-15T20:41:33.790738Z,8594709,0.19220000,267.50000000,buy,2022-05-15 20:41:33.790738+00:00
2022-05-15T20:41:33.790738Z,8594708,0.19220000,306.00000000,buy,2022-05-15 20:41:33.790738+00:00
2022-05-15T20:41:22.320623Z,8594707,0.19260000,313.00000000,buy,2022-05-15 20:41:22.320623+00:00
2022-05-15T20:39:25.423894Z,8594706,0.19350000,1.00000000,sell,2022-05-15 20:39:25.423894+00:00
2022-05-15T20:39:08.932483Z,8594705,0.19340000,446.00000000,buy,2022-05-15 20:39:08.932483+00:00
2022-05-15T20:38:56.433755Z,8594704,0.19350000,2830.00000000,sell,2022-05-15 20:38:56.433755+00:00
2022-05-15T20:38:56.361262Z,8594703,0.19340000,90.00000000,sell,2022-05-15 20:38:56.361262+00:00
2022-05-15T20:38:56.351486Z,8594702,0.19350000,3484.20000000,sell,2022-05-15 20:38:56.351486+00:00
2022-05-15T20:38:56.307086Z,8594701,0.19310000,399.60000000,sell,2022-05-15 20:38:56.307086+00:00
2022-05-15T20:38:56.307086Z,8594700,0.19310000,377.40000000,sell,2022-05-15 20:38:56.307086+00:00
2022-05-15T20:38:34.768226Z,8594699,0.19310000,485.10000000,sell,2022-05-15 20:38:34.768226+00:00
2022-05-15T20:38:34.768226Z,8594698,0.19290000,370.60000000,sell,2022-05-15 20:38:34.768226+00:00
2022-05-15T20:37:17.602699Z,8594697,0.19230000,335.00000000,buy,2022-05-15 20:37:17.602699+00:00
2022-05-15T20:37:10.023947Z,8594696,0.19220000,318.00000000,sell,2022-05-15 20:37:10.023947+00:00
2022-05-15T20:37:07.064199Z,8594695,0.19170000,146.90000000,buy,2022-05-15 20:37:07.064199+00:00
2022-05-15T20:36:30.923666Z,8594694,0.19150000,3.70000000,buy,2022-05-15 20:36:30.923666+00:00
2022-05-15T20:35:41.233824Z,8594693,0.19190000,63.40000000,sell,2022-05-15 20:35:41.233824+00:00
2022-05-15T20:34:42.089787Z,8594692,0.19180000,335.00000000,buy,2022-05-15 20:34:42.089787+00:00
2022-05-15T20:34:08.776294Z,8594691,0.19150000,317.00000000,buy,2022-05-15 20:34:08.776294+00:00
2022-05-15T20:34:08.436884Z,8594690,0.19160000,325.00000000,buy,2022-05-15 20:34:08.436884+00:00
2022-05-15T20:33:50.15594Z,8594689,0.19190000,3270.00000000,sell,2022-05-15 20:33:50.155940+00:00
2022-05-15T20:33:49.143351Z,8594688,0.19190000,62.80000000,sell,2022-05-15 20:33:49.143351+00:00
2022-05-15T20:33:40.823323Z,8594687,0.19180000,326.00000000,buy,2022-05-15 20:33:40.823323+00:00
2022-05-15T20:33:27.254852Z,8594686,0.19200000,280.00000000,sell,2022-05-15 20:33:27.254852+00:00
2022-05-15T20:33:27.247503Z,8594685,0.19200000,483.00000000,sell,2022-05-15 20:33:27.247503+00:00
2022-05-15T20:33:27.239713Z,8594684,0.19200000,280.00000000,sell,2022-05-15 20:33:27.239713+00:00
2022-05-15T20:33:27.215886Z,8594683,0.19190000,90.00000000,sell,2022-05-15 20:33:27.215886+00:00
2022-05-15T20:33:27.192069Z,8594682,0.19160000,300.00000000,sell,2022-05-15 20:33:27.192069+00:00
2022-05-15T20:32:59.740941Z,8594681,0.19120000,299.00000000,sell,2022-05-15 20:32:59.740941+00:00
2022-05-15T20:32:52.300546Z,8594680,0.19100000,280.00000000,buy,2022-05-15 20:32:52.300546+00:00
2022-05-15T20:32:52.222087Z,8594679,0.19130000,2860.50000000,buy,2022-05-15 20:32:52.222087+00:00
2022-05-15T20:32:32.410172Z,8594678,0.19170000,1.00000000,sell,2022-05-15 20:32:32.410172+00:00
2022-05-15T20:32:31.530721Z,8594677,0.19150000,1000.00000000,buy,2022-05-15 20:32:31.530721+00:00
2022-05-15T20:32:10.1421Z,8594676,0.19150000,321.00000000,sell,2022-05-15 20:32:10.142100+00:00
2022-05-15T20:32:07.54641Z,8594675,0.19120000,198.30000000,buy,2022-05-15 20:32:07.546410+00:00
2022-05-15T20:31:38.693577Z,8594674,0.19090000,3.90000000,buy,2022-05-15 20:31:38.693577+00:00
2022-05-15T20:30:57.836487Z,8594673,0.19120000,1.00000000,buy,2022-05-15 20:30:57.836487+00:00
2022-05-15T20:30:57.53622Z,8594672,0.19130000,280.00000000,sell,2022-05-15 20:30:57.536220+00:00
2022-05-15T20:30:38.440985Z,8594671,0.19070000,316.00000000,buy,2022-05-15 20:30:38.440985+00:00
2022-05-15T20:30:33.723397Z,8594670,0.19090000,303.00000000,buy,2022-05-15 20:30:33.723397+00:00
2022-05-15T20:30:33.16148Z,8594669,0.19100000,2000.00000000,buy,2022-05-15 20:30:33.161480+00:00
2022-05-15T20:30:24.127444Z,8594668,0.19100000,1.00000000,buy,2022-05-15 20:30:24.127444+00:00
2022-05-15T20:30:19.850965Z,8594667,0.19110000,2.00000000,buy,2022-05-15 20:30:19.850965+00:00
2022-05-15T20:30:19.435438Z,8594666,0.19130000,300.00000000,buy,2022-05-15 20:30:19.435438+00:00
2022-05-15T20:29:54.818523Z,8594665,0.19140000,7.20000000,buy,2022-05-15 20:29:54.818523+00:00
2022-05-15T20:29:09.65446Z,8594664,0.19120000,1.00000000,buy,2022-05-15 20:29:09.654460+00:00
2022-05-15T20:29:09.407534Z,8594663,0.19150000,346.40000000,buy,2022-05-15 20:29:09.407534+00:00
