unix,low,high,open,close,volume,date,vol_fiat
1652572800,0.1708,0.1865,0.1816,0.1803,1650277.9,2022-05-15,297545.10536999995
1652486400,0.149,0.1863,0.1506,0.1839,3231952.3,2022-05-14,594356.0279699999
1652400000,0.1298,0.1636,0.1314,0.1504,2505912.4,2022-05-13,376889.22496
1652313600,0.1019,0.1496,0.143,0.1303,8586559.6,2022-05-12,1118828.71588
1652227200,0.1326,0.1942,0.1888,0.143,6905631.3,2022-05-11,987505.2758999999
1652140800,0.1798,0.2116,0.1886,0.1879,3806297.6,2022-05-10,715203.3190400001
1652054400,0.1864,0.2418,0.2392,0.1881,3113961.4,2022-05-09,585736.13934
1651968000,0.2359,0.2734,0.2359,0.2399,3986443.8,2022-05-08,956347.8676199999
1651881600,0.2278,0.2479,0.2476,0.2357,673033.5,2022-05-07,158633.99594999998
1651795200,0.2385,0.2551,0.2551,0.2472,1413034.9,2022-05-06,349302.22728
1651708800,0.2455,0.2855,0.2833,0.2543,1724732.3,2022-05-05,438599.42389000003
1651622400,0.2571,0.2899,0.2583,0.2829,1932970.2,2022-05-04,546837.26958
1651536000,0.2537,0.2688,0.265,0.2587,748970.4,2022-05-03,193758.64248
1651449600,0.2534,0.2716,0.2679,0.2657,1483863.0,2022-05-02,394262.3991
1651363200,0.2512,0.2734,0.2587,0.268,2016754.7,2022-05-01,540490.2596
1651276800,0.258,0.2839,0.277,0.2593,6136884.1,2022-04-30,1591294.0471299998
1651190400,0.2735,0.3084,0.2859,0.2771,8334167.2,2022-04-29,2309397.73112
1651104000,0.2681,0.335,0.2732,0.2859,10925062.4,2022-04-28,3123475.34016
1651017600,0.2658,0.2796,0.2682,0.2736,448046.5,2022-04-27,122585.5224
1650931200,0.2637,0.3,0.2976,0.2686,998251.8,2022-04-26,268130.43348
1650844800,0.2763,0.3023,0.3017,0.2974,1405282.5,2022-04-25,417931.0155
1650758400,0.2975,0.3238,0.3238,0.3015,612396.3,2022-04-24,184637.48445000002
1650672000,0.3064,0.3309,0.3064,0.3236,1596985.8,2022-04-23,516784.60488
1650585600,0.2981,0.33,0.303,0.3066,1226249.6,2022-04-22,375968.12736
1650499200,0.296,0.3181,0.3013,0.303,1116660.5,2022-04-21,338348.1315
1650412800,0.2923,0.3083,0.3012,0.3019,766762.2,2022-04-20,231485.50817999998
1650326400,0.2854,0.3024,0.2912,0.3009,823713.8,2022-04-19,247855.48242000001
1650240000,0.2698,0.2917,0.2834,0.2911,1156124.7,2022-04-18,336547.90017000004
1650153600,0.282,0.2982,0.2957,0.2825,432372.8,2022-04-17,122145.31599999999
1650067200,0.2862,0.2979,0.291,0.2963,378646.4,2022-04-16,112192.92832
1649980800,0.2826,0.298,0.2863,0.2916,656053.9,2022-04-15,191305.31724000003
1649894400,0.2789,0.3033,0.2967,0.286,894091.5,2022-04-14,255710.16899999997
1649808000,0.2767,0.3034,0.2794,0.2984,2250193.3,2022-04-13,671457.68072
1649721600,0.2603,0.2887,0.2636,0.2793,1505197.4,2022-04-12,420401.63382
1649635200,0.2558,0.293,0.291,0.2636,2307405.0,2022-04-11,608231.958
1649548800,0.2905,0.3072,0.3038,0.291,2581891.1,2022-04-10,751330.3101
1649462400,0.2953,0.3062,0.2995,0.3044,4090929.0,2022-04-09,1245278.7876
1649376000,0.2925,0.3425,0.3267,0.2995,18271267.5,2022-04-08,5472244.61625
1649289600,0.2932,0.3267,0.2985,0.3264,1398976.9,2022-04-07,456626.06016
1649203200,0.2975,0.3448,0.3437,0.2987,2440048.6,2022-04-06,728842.5168200001
1649116800,0.3431,0.367,0.3592,0.3454,1157504.7,2022-04-05,399802.12337999995
1649030400,0.3451,0.3842,0.3839,0.3593,1299427.8,2022-04-04,466884.40854000003
1648944000,0.3672,0.4029,0.3803,0.3838,1358021.3,2022-04-03,521208.57493999996
1648857600,0.3714,0.42,0.374,0.3805,2933158.9,2022-04-02,1116066.96145
1648771200,0.3362,0.3793,0.3601,0.3741,2194292.0,2022-04-01,820884.6372
1648684800,0.3482,0.3854,0.3755,0.3616,1984467.2,2022-03-31,717583.3395199999
1648598400,0.3427,0.4144,0.3523,0.3745,4314217.4,2022-03-30,1615674.4163000002
1648512000,0.3344,0.3823,0.3352,0.3524,2461433.0,2022-03-29,867408.9892
1648425600,0.33,0.3547,0.342,0.3355,1900752.7,2022-03-28,637702.53085
1648339200,0.3224,0.3597,0.3255,0.3421,2836621.4,2022-03-27,970408.18094
1648252800,0.3039,0.3321,0.304,0.3252,1930337.6,2022-03-26,627745.78752
1648166400,0.2979,0.318,0.314,0.3049,1218503.2,2022-03-25,371521.62568
1648080000,0.303,0.3161,0.3085,0.3142,1029674.2,2022-03-24,323523.63363999996
1647993600,0.2957,0.3121,0.309,0.3086,1491417.9,2022-03-23,460251.56393999996
1647907200,0.291,0.31,0.2937,0.3089,1220432.9,2022-03-22,376991.72281
1647820800,0.2885,0.3034,0.2993,0.2933,1272963.9,2022-03-21,373360.31187
1647734400,0.2841,0.3058,0.2991,0.2994,1059672.4,2022-03-20,317265.91656
1647648000,0.2923,0.3101,0.3008,0.299,1763261.0,2022-03-19,527215.039
1647561600,0.2702,0.3018,0.2838,0.3003,4930976.6,2022-03-18,1480772.27298
1647475200,0.2688,0.299,0.2723,0.2839,11233789.1,2022-03-17,3189272.7254899996
1647388800,0.2481,0.2721,0.2536,0.2721,480301.8,2022-03-16,130690.11978000001
1647302400,0.2454,0.2636,0.2585,0.2536,658573.6,2022-03-15,167014.26496
1647216000,0.2439,0.2588,0.2458,0.2585,620440.2,2022-03-14,160383.7917
1647129600,0.245,0.2611,0.2568,0.246,392849.3,2022-03-13,96640.92779999999
1647043200,0.2559,0.2629,0.2587,0.257,359046.5,2022-03-12,92274.9505
1646956800,0.2538,0.268,0.2624,0.2579,510377.8,2022-03-11,131626.43462
1646870400,0.2527,0.2746,0.2739,0.2628,521340.7,2022-03-10,137008.33596
1646784000,0.2581,0.2743,0.2591,0.2736,579906.2,2022-03-09,158662.33632
1646697600,0.249,0.2611,0.2539,0.2588,730882.5,2022-03-08,189152.39099999997
1646611200,0.2446,0.2641,0.2567,0.2538,640397.6,2022-03-07,162532.91088
1646524800,0.2554,0.2702,0.2677,0.2567,236209.0,2022-03-06,60634.8503
1646438400,0.256,0.269,0.2619,0.2677,480864.5,2022-03-05,128727.42665
1646352000,0.2573,0.2954,0.2878,0.2623,3041311.4,2022-03-04,797735.9802199999
1646265600,0.2761,0.2951,0.2951,0.2881,621022.4,2022-03-03,178916.55344000002
1646179200,0.2869,0.3061,0.305,0.2952,423011.4,2022-03-02,124872.96528000002
1646092800,0.2924,0.311,0.2948,0.3051,1040075.9,2022-03-01,317327.15709
1646006400,0.2658,0.2964,0.2687,0.2945,1074184.3,2022-02-28,316347.27635
1645920000,0.2613,0.2816,0.2759,0.2684,822036.4,2022-02-27,220634.56976000004
1645833600,0.2636,0.2881,0.2641,0.2762,1449475.0,2022-02-26,400344.995
1645747200,0.2355,0.2666,0.2376,0.2639,1814675.9,2022-02-25,478892.97001
1645660800,0.2071,0.2421,0.2393,0.2372,2219699.9,2022-02-24,526512.8162799999
1645574400,0.2379,0.2551,0.2429,0.2402,1050999.5,2022-02-23,252450.07989999998
1645488000,0.2212,0.2453,0.2314,0.2448,874943.5,2022-02-22,214186.16879999998
1645401600,0.2284,0.265,0.2524,0.2309,707710.4,2022-02-21,163410.33136
1645315200,0.2475,0.2719,0.2719,0.252,777176.1,2022-02-20,195848.3772
1645228800,0.2645,0.2829,0.2681,0.2722,642070.8,2022-02-19,174771.67176
1645142400,0.2632,0.2831,0.2751,0.2677,943406.9,2022-02-18,252550.02713
1645056000,0.2712,0.3078,0.3072,0.2746,911138.1,2022-02-17,250198.52226
1644969600,0.2973,0.3149,0.314,0.3067,714398.0,2022-02-16,219105.86659999998
1644883200,0.2875,0.3199,0.2881,0.314,742094.9,2022-02-15,233017.7986
1644796800,0.2717,0.2897,0.2821,0.2884,1369905.2,2022-02-14,395080.65968
1644710400,0.2755,0.2925,0.2832,0.2817,609038.6,2022-02-13,171566.17362
1644624000,0.2733,0.2925,0.2832,0.2852,786243.4,2022-02-12,224236.61768000002
1644537600,0.2781,0.3102,0.3042,0.2841,1188801.3,2022-02-11,337738.44933000003
1644451200,0.3028,0.3442,0.3185,0.3047,2254598.0,2022-02-10,686976.0106
1644364800,0.3027,0.3185,0.3146,0.3185,703761.8,2022-02-09,224148.13330000002
1644278400,0.3011,0.3303,0.3266,0.3145,1669614.4,2022-02-08,525093.7287999999
1644192000,0.3141,0.3291,0.3203,0.327,2845307.1,2022-02-07,930415.4217000001
1644105600,0.3034,0.3303,0.3164,0.3202,1329876.2,2022-02-06,425826.35923999996
1644019200,0.3012,0.3223,0.3077,0.3156,1758731.9,2022-02-05,555055.78764
1643932800,0.2867,0.3075,0.2937,0.3069,1810086.9,2022-02-04,555515.66961
1643846400,0.2741,0.302,0.2767,0.2929,4914732.2,2022-02-03,1439525.06138
1643760000,0.269,0.2894,0.2836,0.278,2052284.6,2022-02-02,570535.1188
1643673600,0.2701,0.3129,0.2701,0.2837,6291957.8,2022-02-01,1785028.42786
1643587200,0.243,0.2749,0.2573,0.2704,2468914.4,2022-01-31,667594.45376
1643500800,0.2527,0.2697,0.2668,0.258,1991008.0,2022-01-30,513680.064
1643414400,0.2524,0.2711,0.2524,0.2669,3190812.7,2022-01-29,851627.9096300001
1643328000,0.2327,0.255,0.2357,0.2524,2935885.9,2022-01-28,741017.60116
1643241600,0.217,0.2601,0.2242,0.2363,10896938.8,2022-01-27,2574946.6384400004
1643155200,0.2115,0.2446,0.2142,0.2242,3614070.9,2022-01-26,810274.6957800001
1643068800,0.2062,0.2187,0.2123,0.2144,1369697.6,2022-01-25,293663.16544
1642982400,0.1901,0.2443,0.2255,0.2136,3797645.7,2022-01-24,811177.12152
1642896000,0.2124,0.2289,0.2179,0.225,1591183.2,2022-01-23,358016.22
1642809600,0.1956,0.2459,0.2394,0.2179,3486431.0,2022-01-22,759693.3149
1642723200,0.2327,0.2857,0.2835,0.2379,3472218.2,2022-01-21,826040.70978
1642636800,0.282,0.309,0.3023,0.2832,1224142.2,2022-01-20,346677.07104
1642550400,0.2928,0.3134,0.3125,0.3022,690553.5,2022-01-19,208685.26770000003
1642464000,0.3041,0.3232,0.321,0.3133,568771.5,2022-01-18,178196.11095
1642377600,0.315,0.3381,0.338,0.3208,1153093.2,2022-01-17,369912.29855999997
