unix,low,high,open,close,volume,date,vol_fiat
1652486400,0.643,0.778,0.673,0.713,6901579.86,2022-05-14,4920826.44018
1652400000,0.573,0.766,0.578,0.672,10688444.77,2022-05-13,7182634.88544
1652313600,0.46,0.669,0.621,0.578,8890343.78,2022-05-12,5138618.704839999
1652227200,0.562,0.852,0.816,0.621,14337922.55,2022-05-11,8903849.90355
1652140800,0.735,0.905,0.763,0.815,10376571.19,2022-05-10,8456905.519849999
1652054400,0.756,0.981,0.959,0.765,8514540.64,2022-05-09,6513623.5896000005
1651968000,0.939,1.001,0.995,0.958,3584481.36,2022-05-08,3433933.1428799997
1651881600,0.968,1.054,1.05,0.996,2161866.91,2022-05-07,2153219.44236
1651795200,1.01,1.077,1.066,1.05,3705594.49,2022-05-06,3890874.2145000002
1651708800,1.031,1.206,1.182,1.067,4177801.06,2022-05-05,4457713.73102
1651622400,1.06,1.189,1.065,1.181,2856252.69,2022-05-04,3373234.4268900002
1651536000,1.041,1.127,1.071,1.065,2304461.84,2022-05-03,2454251.8595999996
1651449600,1.017,1.117,1.095,1.071,3029332.78,2022-05-02,3244415.4073799998
1651363200,1.021,1.127,1.057,1.096,3633948.24,2022-05-01,3982807.2710400005
1651276800,1.006,1.225,1.209,1.059,3896276.19,2022-04-30,4126156.4852099996
1651190400,1.177,1.302,1.298,1.209,2836416.56,2022-04-29,3429227.62104
1651104000,1.268,1.327,1.303,1.298,2113715.42,2022-04-28,2743602.61516
1651017600,1.255,1.325,1.276,1.306,2827512.65,2022-04-27,3692731.5209
1650931200,1.256,1.422,1.378,1.276,3099423.08,2022-04-26,3954863.8500800002
1650844800,1.28,1.392,1.389,1.378,3513995.61,2022-04-25,4842285.950579999
1650758400,1.365,1.421,1.403,1.389,2044736.27,2022-04-24,2840138.67903
1650672000,1.392,1.45,1.44,1.406,1329412.52,2022-04-23,1869154.00312
1650585600,1.42,1.492,1.437,1.441,1644309.38,2022-04-22,2369449.81658
1650499200,1.407,1.558,1.515,1.437,2599875.47,2022-04-21,3736021.0503900005
1650412800,1.474,1.583,1.519,1.517,4840387.57,2022-04-20,7342867.94369
1650326400,1.431,1.527,1.45,1.518,2916455.36,2022-04-19,4427179.2364799995
1650240000,1.347,1.453,1.422,1.45,3341233.93,2022-04-18,4844789.1985
1650153600,1.416,1.521,1.506,1.423,1439195.95,2022-04-17,2047975.83685
1650067200,1.471,1.539,1.528,1.505,1713002.3,2022-04-16,2578068.4614999997
1649980800,1.481,1.537,1.523,1.527,1584262.6,2022-04-15,2419168.9902
1649894400,1.49,1.614,1.588,1.523,2681905.38,2022-04-14,4084541.8937399997
1649808000,1.525,1.612,1.558,1.589,2290704.4,2022-04-13,3639929.2915999996
1649721600,1.493,1.619,1.503,1.558,4047825.15,2022-04-12,6306511.5837
1649635200,1.465,1.673,1.666,1.502,5245857.67,2022-04-11,7879278.2203399995
1649548800,1.659,1.811,1.803,1.666,3408414.28,2022-04-10,5678418.190479999
1649462400,1.647,1.831,1.651,1.803,9355823.85,2022-04-09,16868550.40155
1649376000,1.635,1.78,1.672,1.652,6785561.18,2022-04-08,11209747.06936
1649289600,1.474,1.737,1.519,1.672,7401366.19,2022-04-07,12375084.26968
1649203200,1.516,1.701,1.699,1.519,6064857.82,2022-04-06,9212519.02858
1649116800,1.688,1.814,1.777,1.699,2940293.31,2022-04-05,4995558.333690001
1649030400,1.692,1.879,1.879,1.778,3606498.74,2022-04-04,6412354.75972
1648944000,1.8,1.915,1.857,1.879,2633424.48,2022-04-03,4948204.59792
1648857600,1.817,1.929,1.859,1.857,3509510.55,2022-04-02,6517161.091349999
1648771200,1.733,1.906,1.797,1.861,5690488.83,2022-04-01,10589999.71263
1648684800,1.737,1.973,1.797,1.797,9122739.84,2022-03-31,16393563.492479999
1648598400,1.666,1.839,1.752,1.798,4850954.49,2022-03-30,8722016.173020002
1648512000,1.699,1.825,1.711,1.751,5593537.27,2022-03-29,9794283.759769998
1648425600,1.682,1.85,1.792,1.71,5274681.47,2022-03-28,9019705.3137
1648339200,1.646,1.8,1.659,1.792,5315823.28,2022-03-27,9525955.31776
1648252800,1.586,1.662,1.615,1.659,1458212.67,2022-03-26,2419174.81953
1648166400,1.57,1.69,1.688,1.616,3983901.16,2022-03-25,6437984.274560001
1648080000,1.532,1.704,1.532,1.687,8343318.22,2022-03-24,14075177.83714
1647993600,1.436,1.567,1.456,1.531,4403934.64,2022-03-23,6742423.933839999
1647907200,1.427,1.498,1.435,1.458,2904103.88,2022-03-22,4234183.45704
1647820800,1.402,1.481,1.443,1.435,2695233.12,2022-03-21,3867659.5272000004
1647734400,1.417,1.516,1.511,1.443,2582851.82,2022-03-20,3727055.17626
1647648000,1.439,1.552,1.451,1.511,4184124.92,2022-03-19,6322212.75412
1647561600,1.366,1.462,1.405,1.45,4138089.67,2022-03-18,6000230.0215
1647475200,1.387,1.443,1.425,1.405,3556631.22,2022-03-17,4997066.864100001
1647388800,1.302,1.429,1.325,1.424,5801703.74,2022-03-16,8261626.12576
1647302400,1.278,1.344,1.327,1.324,1848669.39,2022-03-15,2447638.27236
1647216000,1.28,1.339,1.297,1.327,2768277.2,2022-03-14,3673503.8444000003
