unix,low,high,open,close,volume,date,vol_fiat
1652572800,0.1683,0.1845,0.1725,0.1784,7758827.5,2022-05-15,1384174.8260000001
1652486400,0.145,0.1882,0.1583,0.1722,11987346.0,2022-05-14,2064220.9811999998
1652400000,0.1392,0.1899,0.1412,0.1585,8645405.1,2022-05-13,1370296.70835
1652313600,0.1299,0.1857,0.134,0.1412,20595888.8,2022-05-12,2908139.4985599997
1652227200,0.1216,0.2017,0.198,0.134,20529767.4,2022-05-11,2750988.8316
1652140800,0.1878,0.2228,0.1944,0.1981,9311375.3,2022-05-10,1844583.44693
1652054400,0.194,0.2468,0.2425,0.1945,10388182.5,2022-05-09,2020501.49625
1651968000,0.2407,0.2606,0.2572,0.2424,2777900.0,2022-05-08,673362.96
1651881600,0.25,0.2698,0.26,0.2571,2731301.5,2022-05-07,702217.6156499999
1651795200,0.256,0.2701,0.2691,0.2604,4173918.8,2022-05-06,1086888.45552
1651708800,0.2564,0.2969,0.2887,0.2695,6680696.7,2022-05-05,1800447.76065
1651622400,0.2669,0.311,0.2676,0.2884,12820067.9,2022-05-04,3697307.58236
1651536000,0.2595,0.2925,0.2632,0.2676,5871786.3,2022-05-03,1571290.01388
1651449600,0.2538,0.2781,0.2704,0.2635,3481677.0,2022-05-02,917421.8895
1651363200,0.2509,0.2745,0.2584,0.2701,4778263.2,2022-05-01,1290608.89032
1651276800,0.2581,0.29,0.2851,0.2588,3584396.0,2022-04-30,927641.6847999999
1651190400,0.2778,0.309,0.3084,0.2854,4930264.1,2022-04-29,1407097.3741399997
1651104000,0.303,0.3208,0.3131,0.3082,2769777.1,2022-04-28,853645.30222
1651017600,0.3015,0.336,0.3033,0.3136,2866041.4,2022-04-27,898790.5830399999
1650931200,0.2988,0.3468,0.335,0.3037,6552680.9,2022-04-26,1990049.1893300002
1650844800,0.3201,0.3559,0.3448,0.335,13159086.5,2022-04-25,4408293.9775
1650758400,0.3165,0.3592,0.3193,0.3445,12890252.1,2022-04-24,4440691.8484499995
1650672000,0.3148,0.3388,0.3211,0.3188,3039048.7,2022-04-23,968848.7255599999
1650585600,0.3163,0.3322,0.3226,0.3215,2342164.9,2022-04-22,753006.01535
1650499200,0.317,0.3487,0.3362,0.3229,4003720.8,2022-04-21,1292801.44632
1650412800,0.3297,0.3549,0.348,0.3359,3991888.0,2022-04-20,1340875.1792
