unix,low,high,open,close,volume,date,vol_fiat
1652486400,0.199,0.228,0.207,0.222,4129029.02,2022-05-14,916644.44244
1652400000,0.189,0.238,0.189,0.207,9726365.1,2022-05-13,2013357.5757
1652313600,0.147,0.22,0.198,0.189,18479349.34,2022-05-12,3492597.02526
1652227200,0.18,0.304,0.296,0.197,26649381.8,2022-05-11,5249928.2146000005
1652140800,0.266,0.333,0.271,0.296,11709048.63,2022-05-10,3465878.3944800003
1652054400,0.266,0.371,0.36,0.272,8308145.63,2022-05-09,2259815.61136
1651968000,0.357,0.393,0.388,0.361,3269278.29,2022-05-08,1180209.46269
1651881600,0.374,0.416,0.414,0.388,2883508.74,2022-05-07,1118801.39112
1651795200,0.396,0.427,0.42,0.416,4065739.45,2022-05-06,1691347.6112
1651708800,0.405,0.489,0.477,0.42,7791766.89,2022-05-05,3272542.0938
1651622400,0.433,0.48,0.44,0.476,4305166.79,2022-05-04,2049259.3920399998
1651536000,0.43,0.463,0.446,0.44,1926108.42,2022-05-03,847487.7048
1651449600,0.429,0.483,0.462,0.446,4863810.02,2022-05-02,2169259.2689199997
1651363200,0.439,0.467,0.453,0.461,4156127.27,2022-05-01,1915974.6714700002
1651276800,0.436,0.534,0.473,0.453,13361368.15,2022-04-30,6052699.77195
1651190400,0.465,0.525,0.522,0.473,6759145.5,2022-04-29,3197075.8214999996
1651104000,0.514,0.547,0.541,0.522,7756059.56,2022-04-28,4048663.09032
1651017600,0.505,0.569,0.511,0.542,15273654.88,2022-04-27,8278320.944960001
1650931200,0.503,0.599,0.576,0.511,8490747.12,2022-04-26,4338771.77832
1650844800,0.552,0.608,0.608,0.576,8167308.8,2022-04-25,4704369.868799999
1650758400,0.604,0.672,0.64,0.607,16061678.81,2022-04-24,9749439.03767
1650672000,0.568,0.652,0.575,0.642,15128499.99,2022-04-23,9712496.99358
1650585600,0.559,0.617,0.6,0.575,7159714.98,2022-04-22,4116836.1135
1650499200,0.58,0.677,0.622,0.599,20115545.14,2022-04-21,12049211.53886
1650412800,0.616,0.664,0.662,0.622,10395197.21,2022-04-20,6465812.664620001
1650326400,0.635,0.722,0.676,0.663,23181866.96,2022-04-19,15369577.794480002
1650240000,0.572,0.705,0.619,0.676,32441801.64,2022-04-18,21930657.90864
1650153600,0.533,0.642,0.545,0.619,19619475.81,2022-04-17,12144455.52639
1650067200,0.509,0.56,0.517,0.544,7153039.1,2022-04-16,3891253.2704000003
1649980800,0.505,0.579,0.538,0.517,8326900.81,2022-04-15,4305007.71877
1649894400,0.482,0.588,0.484,0.538,25215664.85,2022-04-14,13566027.689300003
1649808000,0.455,0.501,0.462,0.485,4936565.0,2022-04-13,2394234.025
1649721600,0.444,0.492,0.479,0.462,6843165.52,2022-04-12,3161542.47024
1649635200,0.472,0.56,0.557,0.48,8913240.3,2022-04-11,4278355.3440000005
1649548800,0.556,0.616,0.603,0.557,13717592.14,2022-04-10,7640698.821980001
1649462400,0.475,0.633,0.475,0.604,28145825.91,2022-04-09,17000078.84964
1649376000,0.467,0.522,0.505,0.474,4028608.47,2022-04-08,1909560.41478
1649289600,0.467,0.508,0.475,0.504,3598860.65,2022-04-07,1813825.7676
1649203200,0.474,0.546,0.545,0.476,7041456.73,2022-04-06,3351733.40348
1649116800,0.542,0.595,0.572,0.545,3775014.74,2022-04-05,2057383.0333000002
1649030400,0.536,0.604,0.603,0.571,6300013.96,2022-04-04,3597307.9711599997
1648944000,0.57,0.629,0.586,0.604,4931982.2,2022-04-03,2978917.2488
1648857600,0.58,0.639,0.61,0.587,6949385.29,2022-04-02,4079289.16523
1648771200,0.562,0.624,0.61,0.61,8591129.19,2022-04-01,5240588.805899999
1648684800,0.6,0.693,0.667,0.609,10806902.4,2022-03-31,6581403.5616
1648598400,0.586,0.76,0.597,0.667,39081863.43,2022-03-30,26067602.907810003
1648512000,0.579,0.615,0.58,0.597,8557476.68,2022-03-29,5108813.577959999
1648425600,0.556,0.656,0.618,0.581,11165921.52,2022-03-28,6487400.403119999
1648339200,0.591,0.622,0.61,0.618,5608697.75,2022-03-27,3466175.2095
1648252800,0.598,0.653,0.612,0.609,12124881.4,2022-03-26,7384052.7726
1648166400,0.581,0.634,0.618,0.612,13605722.35,2022-03-25,8326702.078199999
1648080000,0.61,0.685,0.65,0.619,14354198.69,2022-03-24,8885248.98911
1647993600,0.632,0.724,0.692,0.652,17588332.15,2022-03-23,11467592.5618
1647907200,0.63,0.711,0.693,0.693,24686093.37,2022-03-22,17107462.70541
1647820800,0.671,0.822,0.814,0.693,24542583.15,2022-03-21,17008010.12295
1647734400,0.662,0.856,0.698,0.814,85527926.15,2022-03-20,69619731.8861
1647648000,0.585,0.844,0.616,0.698,100536982.34,2022-03-19,70174813.67332
1647561600,0.403,0.639,0.41,0.616,92341888.92,2022-03-18,56882603.57472
1647475200,0.402,0.455,0.448,0.411,47227104.44,2022-03-17,19410339.92484
1647388800,0.421,0.517,0.462,0.447,67578753.22,2022-03-16,30207702.68934
1647302400,0.411,0.53,0.419,0.462,82347796.8,2022-03-15,38044682.1216
1647216000,0.346,0.452,0.354,0.421,61903205.11,2022-03-14,26061249.35131
1647129600,0.261,0.435,0.263,0.354,45819266.68,2022-03-13,16220020.404719999
1647043200,0.261,0.27,0.263,0.263,2193493.8,2022-03-12,576888.8694
1646956800,0.259,0.274,0.267,0.263,2293649.51,2022-03-11,603229.8211299999
1646870400,0.251,0.282,0.28,0.267,5485137.32,2022-03-10,1464531.6644400002
1646784000,0.269,0.305,0.27,0.28,3237423.15,2022-03-09,906478.4820000001
1646697600,0.265,0.279,0.268,0.269,4606556.92,2022-03-08,1239163.8114800001
1646611200,0.256,0.283,0.271,0.268,7597850.36,2022-03-07,2036223.89648
1646524800,0.269,0.284,0.28,0.27,7263527.17,2022-03-06,1961152.3359
1646438400,0.266,0.285,0.273,0.281,3163151.28,2022-03-05,888845.50968
1646352000,0.269,0.297,0.296,0.274,7837914.84,2022-03-04,2147588.66616
1646265600,0.29,0.32,0.309,0.296,6049769.88,2022-03-03,1790731.8844799998
1646179200,0.301,0.32,0.318,0.308,8750728.63,2022-03-02,2695224.4180400004
1646092800,0.307,0.325,0.309,0.318,8745527.79,2022-03-01,2781077.8372199996
1646006400,0.27,0.309,0.28,0.309,11733275.48,2022-02-28,3625582.1233200002
1645920000,0.275,0.298,0.291,0.28,7550955.93,2022-02-27,2114267.6604
1645833600,0.287,0.311,0.298,0.29,4891067.6,2022-02-26,1418409.6039999998
1645747200,0.267,0.301,0.275,0.297,7086839.51,2022-02-25,2104791.3344699997
1645660800,0.238,0.284,0.281,0.275,16230799.52,2022-02-24,4463469.868
1645574400,0.281,0.309,0.295,0.281,6012434.89,2022-02-23,1689494.2040900001
1645488000,0.268,0.296,0.28,0.296,3280795.95,2022-02-22,971115.6012
