unix,low,high,open,close,volume,date,vol_fiat
1652486400,0.995,1.0,1.0,0.998,58153.46,2022-05-14,58037.15308
1652400000,0.995,1.0,0.999,0.999,97661.03,2022-05-13,97563.36897
1652313600,0.997,1.0,0.999,0.999,186311.73,2022-05-12,186125.41827000002
1652227200,0.997,1.004,1.001,1.0,101883.99,2022-05-11,101883.99
1652140800,0.995,1.004,1.0,0.999,160272.23,2022-05-10,160111.95777
1652054400,0.998,1.0,1.0,1.0,51893.24,2022-05-09,51893.24
1651968000,0.999,1.001,0.999,1.0,10665.96,2022-05-08,10665.96
1651881600,0.999,1.005,0.999,0.999,30506.18,2022-05-07,30475.67382
1651795200,0.993,1.0,0.999,0.999,345357.84,2022-05-06,345012.48216
1651708800,0.99,1.0,1.0,0.993,399197.53,2022-05-05,396403.14729000005
1651622400,0.99,1.0,0.99,1.0,13161.84,2022-05-04,13161.84
1651536000,0.99,1.0,0.99,0.99,16208.1,2022-05-03,16046.019
1651449600,0.99,1.0,0.99,1.0,31741.3,2022-05-02,31741.3
1651363200,0.99,1.0,0.99,0.99,58638.6,2022-05-01,58052.214
1651276800,0.99,1.0,0.99,1.0,36324.56,2022-04-30,36324.56
1651190400,0.99,1.0,1.0,0.99,37610.84,2022-04-29,37234.7316
1651104000,0.99,1.0,0.99,1.0,69012.92,2022-04-28,69012.92
1651017600,0.99,1.0,0.99,1.0,19465.61,2022-04-27,19465.61
1650931200,0.99,1.0,1.0,0.99,14811.53,2022-04-26,14663.414700000001
1650844800,0.99,1.0,1.0,0.99,50576.76,2022-04-25,50070.9924
1650758400,0.99,1.0,0.99,1.0,22131.61,2022-04-24,22131.61
1650672000,0.99,1.0,1.0,1.0,120720.08,2022-04-23,120720.08
1650585600,0.99,1.0,0.99,0.99,24062.9,2022-04-22,23822.271
1650499200,0.99,1.0,1.0,0.99,8908.18,2022-04-21,8819.0982
1650412800,0.99,1.0,0.99,0.99,49050.13,2022-04-20,48559.628699999994
1650326400,0.99,1.0,1.0,1.0,47881.76,2022-04-19,47881.76
1650240000,0.99,1.0,1.0,1.0,27011.02,2022-04-18,27011.02
1650153600,0.99,1.0,0.99,1.0,7842.0,2022-04-17,7842.0
1650067200,0.99,1.0,0.99,1.0,16846.67,2022-04-16,16846.67
1649980800,0.99,1.0,1.0,1.0,15881.08,2022-04-15,15881.08
1649894400,0.99,1.0,0.99,0.99,52665.84,2022-04-14,52139.181599999996
1649808000,0.99,1.0,1.0,1.0,26369.45,2022-04-13,26369.45
1649721600,0.99,1.0,0.99,1.0,35872.51,2022-04-12,35872.51
1649635200,0.99,1.0,0.99,1.0,36137.99,2022-04-11,36137.99
1649548800,0.99,1.0,0.99,0.99,13614.61,2022-04-10,13478.4639
1649462400,0.99,1.0,1.0,0.99,18248.78,2022-04-09,18066.2922
1649376000,0.99,1.0,1.0,0.99,38745.1,2022-04-08,38357.649
1649289600,0.99,1.0,0.99,0.99,79241.98,2022-04-07,78449.56019999999
1649203200,0.99,1.0,1.0,0.99,107941.92,2022-04-06,106862.5008
1649116800,0.99,1.0,1.0,0.99,40675.74,2022-04-05,40268.982599999996
1649030400,0.99,1.0,1.0,1.0,74799.4,2022-04-04,74799.4
1648944000,0.99,1.0,1.0,0.99,31884.19,2022-04-03,31565.3481
1648857600,0.99,1.0,0.99,0.99,24836.05,2022-04-02,24587.6895
1648771200,0.99,1.0,1.0,0.99,98180.43,2022-04-01,97198.62569999999
1648684800,0.99,1.0,1.0,1.0,32097.51,2022-03-31,32097.51
1648598400,0.99,1.0,1.0,0.99,44785.94,2022-03-30,44338.0806
1648512000,0.99,1.0,0.99,0.99,28820.96,2022-03-29,28532.750399999997
1648425600,0.99,1.0,0.99,0.99,52254.02,2022-03-28,51731.479799999994
1648339200,0.99,1.0,0.99,0.99,27137.07,2022-03-27,26865.6993
1648252800,0.99,1.0,1.0,0.99,40024.71,2022-03-26,39624.4629
1648166400,0.99,1.0,0.99,0.99,57918.73,2022-03-25,57339.542700000005
1648080000,0.99,1.0,0.99,1.0,101320.62,2022-03-24,101320.62
1647993600,0.99,1.0,1.0,0.99,82032.9,2022-03-23,81212.571
1647907200,0.99,1.0,0.99,1.0,50461.55,2022-03-22,50461.55
1647820800,0.99,1.0,1.0,0.99,69251.09,2022-03-21,68558.5791
1647734400,0.99,1.0,0.99,1.0,104631.36,2022-03-20,104631.36
1647648000,0.99,1.0,0.99,1.0,55461.26,2022-03-19,55461.26
1647561600,0.99,1.0,0.99,0.99,18164.31,2022-03-18,17982.6669
1647475200,0.99,1.0,0.99,0.99,91552.43,2022-03-17,90636.90569999999
1647388800,0.99,1.0,0.99,1.0,19918.87,2022-03-16,19918.87
1647302400,0.99,1.0,0.99,0.99,11624.75,2022-03-15,11508.5025
1647216000,0.99,1.0,1.0,0.99,26366.68,2022-03-14,26103.0132
1647129600,0.99,1.0,0.99,1.0,12404.33,2022-03-13,12404.33
1647043200,0.99,1.0,1.0,0.99,20749.83,2022-03-12,20542.331700000002
1646956800,0.99,1.0,0.99,1.0,23717.3,2022-03-11,23717.3
1646870400,0.99,1.0,1.0,0.99,256996.57,2022-03-10,254426.6043
1646784000,0.99,1.0,0.99,0.99,54783.68,2022-03-09,54235.8432
1646697600,0.99,1.0,0.99,1.0,106622.14,2022-03-08,106622.14
1646611200,0.99,1.0,1.0,0.99,80666.22,2022-03-07,79859.5578
1646524800,0.99,1.0,1.0,1.0,167237.71,2022-03-06,167237.71
1646438400,0.99,1.0,1.0,1.0,73739.21,2022-03-05,73739.21
1646352000,0.99,1.0,0.99,1.0,26489.18,2022-03-04,26489.18
1646265600,0.99,1.0,1.0,0.99,343393.28,2022-03-03,339959.3472
