unix,low,high,open,close,volume,date,vol_fiat
1652572800,0.1525,0.1679,0.1625,0.1674,6019350.567034,2022-05-15,1007639.2849214915
1652486400,0.1474,0.1684,0.158,0.1628,9071297.842018,2022-05-14,1476807.2886805306
1652400000,0.1354,0.1813,0.1379,0.1572,17408405.152629,2022-05-13,2736601.2899932787
1652313600,0.1156,0.1619,0.1493,0.1387,31837723.099013,2022-05-12,4415892.1938331025
1652227200,0.1394,0.2237,0.2178,0.1493,35557933.720779,2022-05-11,5308799.504512304
1652140800,0.2006,0.2435,0.2082,0.218,18954709.791707,2022-05-10,4132126.734592126
1652054400,0.2061,0.2642,0.258,0.2077,14842969.969887,2022-05-09,3082884.86274553
1651968000,0.2541,0.2694,0.2645,0.258,6813064.948528,2022-05-08,1757770.7567202242
1651881600,0.2554,0.285,0.2842,0.2638,7422176.86456,2022-05-07,1957970.2568709278
1651795200,0.2646,0.2852,0.2775,0.2835,5415741.393446,2022-05-06,1535362.685041941
1651708800,0.2668,0.3114,0.309,0.2777,8313029.126217,2022-05-05,2308528.188350461
1651622400,0.2725,0.3111,0.2769,0.3094,7269297.949476,2022-05-04,2249120.7855678746
1651536000,0.2691,0.2987,0.2717,0.2773,9023916.787205,2022-05-03,2502332.125091946
1651449600,0.2632,0.2837,0.2756,0.2717,5789397.065617,2022-05-02,1572979.1827281388
1651363200,0.2624,0.2828,0.2768,0.2758,9981248.893101,2022-05-01,2752828.4447172554
1651276800,0.267,0.3199,0.3149,0.2771,9503602.293175,2022-04-30,2633448.195438793
1651190400,0.3086,0.3437,0.3381,0.3148,5470306.676322,2022-04-29,1722052.5417061658
1651104000,0.33,0.3468,0.3411,0.338,4219390.926449,2022-04-28,1426154.133139762
1651017600,0.33,0.3515,0.3302,0.3412,5540497.422122,2022-04-27,1890417.7204280263
1650931200,0.3226,0.3661,0.3557,0.3308,6143846.998477,2022-04-26,2032384.5870961915
1650844800,0.3277,0.3622,0.3469,0.3559,7418554.754655,2022-04-25,2640263.637181714
1650758400,0.342,0.3677,0.353,0.3464,5151021.684816,2022-04-24,1784313.9116202623
1650672000,0.3519,0.3638,0.358,0.3534,3827643.534933,2022-04-23,1352689.225245322
1650585600,0.3554,0.4012,0.3958,0.3579,15456299.237291,2022-04-22,5531809.497026449
1650499200,0.3664,0.4228,0.3716,0.396,22914390.644857,2022-04-21,9074098.695363373
1650412800,0.3574,0.392,0.3814,0.3714,11677055.559661,2022-04-20,4336858.434858095
1650326400,0.3479,0.39,0.3568,0.3812,19630688.412049,2022-04-19,7483218.422673078
1650240000,0.3042,0.3613,0.3159,0.3569,21221478.789188,2022-04-18,7573945.779861198
1650153600,0.3137,0.3356,0.3292,0.3161,3411172.582488,2022-04-17,1078271.6533244567
1650067200,0.3221,0.336,0.3311,0.3291,3383497.139814,2022-04-16,1113508.9087127876
1649980800,0.3219,0.3382,0.3324,0.3312,3393183.402264,2022-04-15,1123822.3428298368
1649894400,0.3283,0.3527,0.3446,0.3326,4574619.686939,2022-04-14,1521518.5078759114
1649808000,0.3293,0.3486,0.3379,0.3447,3125411.289246,2022-04-13,1077329.2714030962
1649721600,0.3213,0.349,0.3233,0.338,4925208.393093,2022-04-12,1664720.4368654343
1649635200,0.3167,0.3769,0.3727,0.3231,9574340.159764,2022-04-11,3093469.3056197483
1649548800,0.3722,0.4021,0.3996,0.3735,4696718.479428,2022-04-10,1754224.3520663579
1649462400,0.3868,0.4038,0.3884,0.3993,5503233.238194,2022-04-09,2197441.032010864
1649376000,0.3853,0.4474,0.4337,0.3886,11097396.769469,2022-04-08,4312448.384615653
1649289600,0.42,0.4536,0.4279,0.435,7389752.920401,2022-04-07,3214542.520374435
1649203200,0.4221,0.4753,0.4663,0.4287,8432396.3756,2022-04-06,3614968.3262197208
1649116800,0.4544,0.5018,0.4574,0.4661,14630586.031373,2022-04-05,6819316.149222955
1649030400,0.4329,0.476,0.473,0.4583,6791203.076848,2022-04-04,3112408.3701194385
1648944000,0.4523,0.4853,0.4616,0.4733,5348632.778849,2022-04-03,2531507.894229232
1648857600,0.4574,0.519,0.4812,0.4615,10937699.218806,2022-04-02,5047748.189478969
1648771200,0.4643,0.53,0.4965,0.4822,14604273.776253,2022-04-01,7042180.814909196
1648684800,0.4752,0.5316,0.4806,0.4961,13792046.276344,2022-03-31,6842234.157694258
1648598400,0.4466,0.5103,0.4626,0.4809,15880575.766328,2022-03-30,7636968.886027135
1648512000,0.4138,0.4827,0.4156,0.4628,16488498.271509,2022-03-29,7630877.000054365
1648425600,0.4063,0.4522,0.4268,0.4152,15130355.003921,2022-03-28,6282123.397627999
1648339200,0.3914,0.429,0.3917,0.4269,16507193.772318,2022-03-27,7046921.021402555
1648252800,0.3693,0.3954,0.3719,0.3914,5474221.606603,2022-03-26,2142610.3368244143
1648166400,0.3638,0.4026,0.3872,0.3719,7023069.366644,2022-03-25,2611879.4974549036
1648080000,0.3738,0.392,0.3842,0.3875,5000428.305886,2022-03-24,1937665.968530825
1647993600,0.3569,0.3917,0.3619,0.3844,10209427.866777,2022-03-23,3924504.0719890785
1647907200,0.3535,0.3798,0.3556,0.3623,6559918.161092,2022-03-22,2376658.349763632
1647820800,0.3366,0.3842,0.342,0.3563,12384856.656803,2022-03-21,4412724.426818909
1647734400,0.334,0.3658,0.3631,0.342,5543171.847659,2022-03-20,1895764.7718993782
1647648000,0.3428,0.3784,0.3434,0.3631,12179505.478497,2022-03-19,4422378.4392422605
1647561600,0.3239,0.3481,0.3342,0.3432,4978690.97654,2022-03-18,1708686.743148528
1647475200,0.3321,0.3564,0.3451,0.3334,6080048.843962,2022-03-17,2027088.2845769306
1647388800,0.3216,0.3457,0.329,0.345,7296517.78148,2022-03-16,2517298.6346106
1647302400,0.322,0.3478,0.3476,0.3291,7430059.113476,2022-03-15,2445232.4542449517
1647216000,0.3359,0.3564,0.3476,0.3476,5256394.337779,2022-03-14,1827122.6718119807
1647129600,0.342,0.3739,0.3497,0.3481,7191347.397566,2022-03-13,2503308.029092725
1647043200,0.3408,0.3592,0.3492,0.3507,5305018.219772,2022-03-12,1860469.8896740405
1646956800,0.3469,0.3886,0.3879,0.3496,13416875.68989,2022-03-11,4690539.741185544
1646870400,0.3782,0.4386,0.4052,0.3884,30154754.283379,2022-03-10,11712106.563664405
1646784000,0.3437,0.4155,0.3437,0.4049,18882490.111667,2022-03-09,7645520.246213968
1646697600,0.3277,0.3619,0.3301,0.3435,4809328.026298,2022-03-08,1652004.177033363
1646611200,0.319,0.3648,0.3301,0.3305,13254727.777179,2022-03-07,4380687.53035766
1646524800,0.3278,0.3581,0.3537,0.3303,7334029.344822,2022-03-06,2422429.8925947063
1646438400,0.353,0.3914,0.3903,0.354,8370006.48039,2022-03-05,2962982.29405806
1646352000,0.3797,0.4351,0.4022,0.3903,31349082.077491,2022-03-04,12235546.734844737
1646265600,0.3863,0.4167,0.3966,0.4025,24714743.295779,2022-03-03,9947684.176551048
1646179200,0.3421,0.402,0.3585,0.3967,21634288.644799,2022-03-02,8582322.305391764
1646092800,0.338,0.3666,0.3505,0.3587,8291973.245708,2022-03-01,2974330.8032354596
1646006400,0.3079,0.3509,0.3172,0.3509,6294800.185872,2022-02-28,2208845.385222485
1645920000,0.3118,0.3581,0.3481,0.3172,11571738.986265,2022-02-27,3670555.606443258
1645833600,0.3334,0.357,0.3353,0.3485,9139000.639709,2022-02-26,3184941.722938586
1645747200,0.2879,0.3401,0.2922,0.3353,14488894.298549,2022-02-25,4858126.258303479
1645660800,0.2481,0.2924,0.2809,0.292,18459812.775036,2022-02-24,5390265.330310511
1645574400,0.2808,0.3194,0.29,0.2815,9772518.025226,2022-02-23,2750963.824101119
1645488000,0.2619,0.291,0.2683,0.2904,5886666.404154,2022-02-22,1709487.9237663215
1645401600,0.2667,0.309,0.2897,0.2681,8466690.688213,2022-02-21,2269919.773509905
1645315200,0.2836,0.3147,0.3147,0.2894,6581880.470291,2022-02-20,1904796.2081022153
1645228800,0.3046,0.3218,0.3167,0.315,3243905.337355,2022-02-19,1021830.181266825
1645142400,0.3124,0.3438,0.3329,0.3168,6407604.002756,2022-02-18,2029928.9480731008
1645056000,0.331,0.3777,0.3727,0.333,7320068.854547,2022-02-17,2437582.928564151
1644969600,0.3573,0.38,0.3799,0.3725,3868747.835492,2022-02-16,1441108.56872077
1644883200,0.3524,0.388,0.3532,0.3794,5452474.033797,2022-02-15,2068668.6484225818
1644796800,0.3336,0.357,0.3471,0.3525,3479720.895599,2022-02-14,1226601.6156986475
1644710400,0.3416,0.3636,0.3533,0.3472,2468340.226526,2022-02-13,857007.7266498272
