unix,low,high,open,close,volume,date,vol_fiat
1652486400,0.00118,0.00141,0.00132,0.00132,1402368952,2022-05-14,1851127.01664
1652400000,0.00119,0.00159,0.00123,0.00131,2529521106,2022-05-13,3313672.64886
1652313600,0.00093,0.00151,0.00124,0.00121,4783559748,2022-05-12,5788107.29508
1652227200,0.00101,0.00236,0.00228,0.00125,6391016241,2022-05-11,7988770.3012500005
1652140800,0.00213,0.00265,0.00233,0.00229,1707430056,2022-05-10,3910014.8282399997
1652054400,0.00229,0.00302,0.00297,0.00234,1815863666,2022-05-09,4249120.97844
1651968000,0.00289,0.00309,0.00307,0.00296,933047967,2022-05-08,2761821.98232
1651881600,0.00298,0.00322,0.00314,0.00307,582796929,2022-05-07,1789186.57203
1651795200,0.00295,0.00328,0.00311,0.00314,1099542056,2022-05-06,3452562.05584
1651708800,0.00303,0.00354,0.00353,0.00312,1078449017,2022-05-05,3364760.93304
1651622400,0.00299,0.00356,0.00301,0.00353,2179392899,2022-05-04,7693256.9334700005
1651536000,0.00297,0.00316,0.00308,0.003,687276697,2022-05-03,2061830.091
1651449600,0.003,0.00326,0.00315,0.00308,867942207,2022-05-02,2673261.99756
1651363200,0.00295,0.00327,0.00302,0.00315,1241192091,2022-05-01,3909755.08665
1651276800,0.003,0.00349,0.00345,0.00303,1257384845,2022-04-30,3809876.08035
1651190400,0.0034,0.00374,0.00371,0.00344,856434458,2022-04-29,2946134.53552
1651104000,0.00364,0.00382,0.00378,0.00371,771748874,2022-04-28,2863188.32254
1651017600,0.00359,0.00386,0.00364,0.00378,879795474,2022-04-27,3325626.8917199997
1650931200,0.0036,0.00402,0.00392,0.00365,1171076393,2022-04-26,4274428.83445
1650844800,0.00382,0.00403,0.00401,0.00391,1209469611,2022-04-25,4729026.17901
1650758400,0.004,0.00421,0.00407,0.004,893149310,2022-04-24,3572597.24
1650672000,0.00402,0.0043,0.00419,0.00408,1703746160,2022-04-23,6951284.332800001
1650585600,0.00385,0.00446,0.00402,0.00418,2186322886,2022-04-22,9138829.663479999
