unix,low,high,open,close,volume,date,vol_fiat
1652486400,0.47,0.56,0.5,0.54,617079.65,2022-05-14,333223.01100000006
1652400000,0.44,0.55,0.44,0.5,825300.79,2022-05-13,412650.395
1652313600,0.35,0.54,0.49,0.45,1819018.2,2022-05-12,818558.19
1652227200,0.45,0.68,0.65,0.5,2482896.78,2022-05-11,1241448.39
1652140800,0.5905,0.72,0.62,0.65,2189812.76,2022-05-10,1423378.294
1652054400,0.61,0.81,0.79,0.62,1579612.79,2022-05-09,979359.9298
1651968000,0.77,0.83,0.81,0.79,634800.61,2022-05-08,501492.4819
1651881600,0.78,0.86,0.85,0.81,514999.77,2022-05-07,417149.81370000006
1651795200,0.8,0.86,0.85,0.85,846150.89,2022-05-06,719228.2565
1651708800,0.82,0.97,0.96,0.85,828992.71,2022-05-05,704643.8034999999
1651622400,0.85,0.96,0.85,0.96,552465.84,2022-05-04,530367.2063999999
1651536000,0.84,0.91,0.88,0.86,580187.68,2022-05-03,498961.4048
1651449600,0.84,0.92,0.9,0.88,776764.27,2022-05-02,683552.5576000001
1651363200,0.81,0.92,0.85,0.9,440806.96,2022-05-01,396726.264
1651276800,0.81,0.96,0.95,0.85,844136.74,2022-04-30,717516.2289999999
1651190400,0.92,1.02,1.01,0.94,690226.25,2022-04-29,648812.6749999999
1651104000,0.98,1.03,0.99,1.0,601308.94,2022-04-28,601308.94
1651017600,0.95,1.0,0.96,0.99,590651.74,2022-04-27,584745.2226
1650931200,0.94,1.07,1.05,0.96,1018402.72,2022-04-26,977666.6111999999
1650844800,0.98,1.07,1.07,1.06,920478.2,2022-04-25,975706.892
1650758400,1.05,1.17,1.07,1.06,1025299.28,2022-04-24,1086817.2368
1650672000,1.05,1.1,1.09,1.07,353422.52,2022-04-23,378162.09640000004
1650585600,1.07,1.15,1.1,1.09,466643.3,2022-04-22,508641.19700000004
1650499200,1.07,1.21,1.19,1.1,1065073.73,2022-04-21,1171581.1030000001
1650412800,1.17,1.39,1.26,1.19,3791242.03,2022-04-20,4511578.015699999
1650326400,1.05,1.26,1.06,1.26,1340280.58,2022-04-19,1688753.5308
1650240000,0.98,1.07,1.04,1.06,628378.55,2022-04-18,666081.263
1650153600,1.03,1.11,1.09,1.04,258801.67,2022-04-17,269153.7368
1650067200,1.04,1.1,1.09,1.09,248851.12,2022-04-16,271247.7208
1649980800,1.05,1.12,1.08,1.08,495045.57,2022-04-15,534649.2156
1649894400,1.06,1.14,1.13,1.08,545116.76,2022-04-14,588726.1008
1649808000,1.04,1.14,1.04,1.12,896644.74,2022-04-13,1004242.1088
1649721600,0.97,1.14,0.99,1.04,951170.13,2022-04-12,989216.9352000001
1649635200,0.97,1.11,1.11,0.99,438953.02,2022-04-11,434563.48980000004
1649548800,1.09,1.16,1.14,1.1,193893.07,2022-04-10,213282.37700000004
1649462400,1.11,1.16,1.12,1.15,142832.46,2022-04-09,164257.32899999997
1649376000,1.1,1.19,1.15,1.12,537196.69,2022-04-08,601660.2927999999
1649289600,1.08,1.17,1.11,1.15,315881.68,2022-04-07,363263.932
1649203200,1.11,1.28,1.28,1.11,657657.56,2022-04-06,729999.8916000001
1649116800,1.27,1.37,1.34,1.28,438837.94,2022-04-05,561712.5632
1649030400,1.28,1.65,1.44,1.34,3804409.42,2022-04-04,5097908.6228
1648944000,1.36,1.49,1.42,1.45,1069976.84,2022-04-03,1551466.418
1648857600,1.37,1.47,1.38,1.41,1105797.27,2022-04-02,1559174.1506999999
1648771200,1.27,1.38,1.34,1.38,888489.34,2022-04-01,1226115.2891999998
1648684800,1.3,1.47,1.41,1.34,1830766.65,2022-03-31,2453227.311
1648598400,1.28,1.53,1.34,1.42,2678677.95,2022-03-30,3803722.6890000002
1648512000,1.29,1.38,1.3,1.35,702858.63,2022-03-29,948859.1505000001
1648425600,1.28,1.38,1.35,1.3,1288223.1,2022-03-28,1674690.0300000003
1648339200,1.24,1.36,1.26,1.34,1494956.95,2022-03-27,2003242.313
1648252800,1.16,1.28,1.17,1.25,1063564.08,2022-03-26,1329455.1
1648166400,1.13,1.2,1.18,1.17,374647.18,2022-03-25,438337.2006
1648080000,1.13,1.19,1.16,1.18,405537.44,2022-03-24,478534.17919999996
1647993600,1.1,1.19,1.12,1.16,756460.1,2022-03-23,877493.7159999999
1647907200,1.09,1.16,1.11,1.13,403381.23,2022-03-22,455820.7898999999
1647820800,1.04,1.12,1.07,1.11,376382.62,2022-03-21,417784.70820000005
