unix,low,high,open,close,volume,date,vol_fiat
1652572800,1.26,1.37,1.31,1.36,974463.21,2022-05-15,1325269.9656
1652486400,1.16,1.42,1.4,1.31,1436613.07,2022-05-14,1881963.1217000003
1652400000,1.1,1.68,1.14,1.39,2339166.42,2022-05-13,3251441.3238
1652313600,1.04,1.41,1.33,1.14,2465888.2,2022-05-12,2811112.548
1652227200,1.22,1.85,1.79,1.32,4650577.76,2022-05-11,6138762.6432
1652140800,1.68,2.0,1.73,1.78,4130212.26,2022-05-10,7351777.822799999
1652054400,1.7,2.16,2.11,1.73,3546802.46,2022-05-09,6135968.255799999
1651968000,2.06,2.19,2.14,2.11,1154228.23,2022-05-08,2435421.5653
1651881600,2.07,2.26,2.25,2.14,911039.63,2022-05-07,1949624.8082
1651795200,2.17,2.33,2.27,2.25,1789276.03,2022-05-06,4025871.0675
1651708800,2.21,2.63,2.62,2.27,1997658.17,2022-05-05,4534684.0459
1651622400,2.31,2.64,2.33,2.62,1079959.39,2022-05-04,2829493.6018
1651536000,2.29,2.46,2.36,2.32,939774.26,2022-05-03,2180276.2832
1651449600,2.26,2.44,2.39,2.36,1319211.64,2022-05-02,3113339.4703999995
1651363200,2.27,2.46,2.3,2.39,2147017.37,2022-05-01,5131371.514300001
1651276800,2.24,2.75,2.71,2.3,2314400.12,2022-04-30,5323120.276
1651190400,2.66,3.02,2.98,2.71,1828582.81,2022-04-29,4955459.4151
1651104000,2.91,3.05,2.99,2.98,1413174.57,2022-04-28,4211260.2186
1651017600,2.9,3.03,2.9,2.99,1094264.26,2022-04-27,3271850.1374000004
1650931200,2.86,3.31,3.28,2.91,1648836.52,2022-04-26,4798114.273200001
1650844800,3.08,3.38,3.37,3.28,1319865.42,2022-04-25,4329158.5775999995
1650758400,3.35,3.56,3.43,3.36,932525.76,2022-04-24,3133286.5535999998
1650672000,3.37,3.55,3.53,3.41,859617.91,2022-04-23,2931297.0731
1650585600,3.42,3.71,3.46,3.53,2411583.17,2022-04-22,8512888.5901
1650499200,3.37,3.67,3.51,3.45,1972556.63,2022-04-21,6805320.3735
1650412800,3.24,3.7,3.37,3.51,2242372.03,2022-04-20,7870725.825299999
1650326400,3.24,3.38,3.29,3.36,826306.06,2022-04-19,2776388.3616
1650240000,3.02,3.32,3.19,3.29,1291531.54,2022-04-18,4249138.7666
1650153600,3.16,3.4,3.34,3.19,548862.34,2022-04-17,1750870.8646
1650067200,3.24,3.37,3.3,3.34,365205.58,2022-04-16,1219786.6372
1649980800,3.2,3.37,3.22,3.29,532077.44,2022-04-15,1750534.7776
1649894400,3.18,3.53,3.33,3.21,1424096.62,2022-04-14,4571350.1502
1649808000,3.17,3.35,3.22,3.34,725006.81,2022-04-13,2421522.7454
1649721600,3.09,3.29,3.11,3.22,855084.86,2022-04-12,2753373.2492
1649635200,3.08,3.43,3.39,3.1,1303075.6,2022-04-11,4039534.3600000003
1649548800,3.39,3.63,3.57,3.39,551772.57,2022-04-10,1870509.0122999998
1649462400,3.38,3.58,3.38,3.57,648497.5,2022-04-09,2315136.0749999997
1649376000,3.36,3.67,3.64,3.39,970208.6,2022-04-08,3289007.154
1649289600,3.48,3.71,3.57,3.64,1097711.59,2022-04-07,3995670.1876000003
1649203200,3.55,4.09,4.09,3.57,1872159.03,2022-04-06,6683607.7371
1649116800,4.08,4.42,4.34,4.09,1196142.1,2022-04-05,4892221.189
1649030400,4.08,4.48,4.45,4.34,2501174.71,2022-04-04,10855098.2414
1648944000,4.28,4.53,4.36,4.45,2600679.23,2022-04-03,11573022.5735
1648857600,4.33,4.8,4.51,4.35,3709594.32,2022-04-02,16136735.291999998
1648771200,4.16,4.78,4.41,4.51,3595110.38,2022-04-01,16213947.8138
1648684800,4.34,5.09,4.48,4.41,6993974.84,2022-03-31,30843429.0444
1648598400,4.0,4.51,4.21,4.47,5396679.34,2022-03-30,24123156.6498
1648512000,3.8,4.27,3.81,4.22,5852098.16,2022-03-29,24695854.2352
1648425600,3.74,4.16,4.0,3.81,4670037.54,2022-03-28,17792843.027400002
1648339200,3.54,4.0,3.64,3.99,3467913.67,2022-03-27,13836975.543300001
1648252800,3.53,3.7,3.61,3.63,1696359.95,2022-03-26,6157786.6185
1648166400,3.51,3.81,3.66,3.62,3844136.9,2022-03-25,13915775.578
1648080000,3.55,3.72,3.69,3.67,2591146.32,2022-03-24,9509506.994399998
1647993600,3.43,3.7,3.45,3.68,3208052.98,2022-03-23,11805634.966400001
1647907200,3.28,3.57,3.3,3.45,3244955.22,2022-03-22,11195095.509000001
1647820800,3.17,3.4,3.24,3.31,2068619.51,2022-03-21,6847130.5781000005
1647734400,3.16,3.51,3.36,3.24,2087682.15,2022-03-20,6764090.166
1647648000,3.27,3.44,3.31,3.36,1694351.85,2022-03-19,5693022.216
1647561600,3.07,3.36,3.17,3.31,2005430.01,2022-03-18,6637973.3331
1647475200,3.1,3.26,3.12,3.17,2411010.52,2022-03-17,7642903.3484
1647388800,2.89,3.17,2.92,3.12,2444131.64,2022-03-16,7625690.7168000005
1647302400,2.77,2.95,2.89,2.92,1407159.33,2022-03-15,4108905.2436
1647216000,2.77,2.9,2.79,2.89,1393316.02,2022-03-14,4026683.2978000003
1647129600,2.76,2.97,2.91,2.78,1253599.94,2022-03-13,3485007.8331999998
1647043200,2.9,2.99,2.91,2.91,1233801.64,2022-03-12,3590362.7723999997
1646956800,2.85,3.0,3.0,2.9,1414777.71,2022-03-11,4102855.3589999997
1646870400,2.87,3.19,3.18,2.99,2323202.8,2022-03-10,6946376.3719999995
1646784000,2.89,3.24,2.9,3.19,2715549.7,2022-03-09,8662603.543
1646697600,2.82,3.1,2.88,2.9,2509735.09,2022-03-08,7278231.760999999
1646611200,2.77,3.02,2.9,2.88,1672879.25,2022-03-07,4817892.24
1646524800,2.89,3.14,3.1,2.91,1418274.3,2022-03-06,4127178.2130000005
1646438400,2.95,3.14,3.04,3.1,934039.4,2022-03-05,2895522.14
1646352000,3.0,3.32,3.31,3.04,1793409.29,2022-03-04,5451964.2416
1646265600,3.23,3.43,3.4,3.31,1951233.98,2022-03-03,6458584.4738
1646179200,3.36,3.64,3.46,3.41,2777983.27,2022-03-02,9472922.9507
1646092800,3.4,3.62,3.54,3.47,1665312.17,2022-03-01,5778633.2299
1646006400,3.09,3.54,3.12,3.54,1612848.18,2022-02-28,5709482.5572
1645920000,3.07,3.45,3.25,3.12,2013714.44,2022-02-27,6282789.0528
1645833600,3.21,3.42,3.31,3.25,1460293.71,2022-02-26,4745954.5575
1645747200,3.08,3.36,3.14,3.3,2616759.34,2022-02-25,8635305.821999999
1645660800,2.75,3.3,3.28,3.14,4825410.86,2022-02-24,15151790.1004
1645574400,3.27,3.56,3.41,3.28,1435247.5,2022-02-23,4707611.8
1645488000,3.14,3.41,3.27,3.4,1929111.6,2022-02-22,6558979.44
1645401600,3.26,3.81,3.64,3.28,2199418.17,2022-02-21,7214091.597599999
1645315200,3.56,3.87,3.87,3.64,1813860.17,2022-02-20,6602451.0188
1645228800,3.74,3.96,3.89,3.87,1445732.54,2022-02-19,5594984.9298
1645142400,3.83,4.1,3.95,3.9,1804569.89,2022-02-18,7037822.5709999995
1645056000,3.9,4.34,4.3,3.95,2038794.59,2022-02-17,8053238.630500001
1644969600,4.19,4.44,4.44,4.31,1354078.49,2022-02-16,5836078.2919
1644883200,4.06,4.45,4.07,4.43,1169391.06,2022-02-15,5180402.3958
1644796800,3.94,4.13,4.04,4.07,1102119.82,2022-02-14,4485627.667400001
1644710400,3.98,4.25,4.14,4.04,1202510.41,2022-02-13,4858142.0564
1644624000,4.01,4.28,4.09,4.15,2176033.06,2022-02-12,9030537.199000001
1644537600,4.04,4.52,4.4,4.09,2498538.99,2022-02-11,10219024.4691
1644451200,4.37,4.84,4.76,4.41,2039223.66,2022-02-10,8992976.3406
1644364800,4.54,4.8,4.66,4.76,1579990.08,2022-02-09,7520752.7808
1644278400,4.51,5.09,4.97,4.65,2126758.84,2022-02-08,9889428.606
1644192000,4.67,4.97,4.81,4.96,1979720.45,2022-02-07,9819413.432
1644105600,4.47,4.82,4.69,4.81,1275223.92,2022-02-06,6133827.055199999
1644019200,4.42,4.91,4.46,4.68,2129725.51,2022-02-05,9967115.386799999
1643932800,4.04,4.48,4.09,4.47,1317676.42,2022-02-04,5890013.597399999
1643846400,3.93,4.13,4.09,4.09,1194058.52,2022-02-03,4883699.3467999995
1643760000,4.03,4.45,4.36,4.09,1772696.09,2022-02-02,7250327.0081
1643673600,4.2,4.5,4.21,4.35,1911802.16,2022-02-01,8316339.395999999
1643587200,3.87,4.31,4.09,4.22,1661315.22,2022-01-31,7010750.228399999
1643500800,4.0,4.36,4.19,4.09,1039817.86,2022-01-30,4252855.0474
1643414400,4.11,4.41,4.17,4.19,1398657.68,2022-01-29,5860375.6792
1643328000,3.94,4.21,4.05,4.16,2004907.73,2022-01-28,8340416.1568
1643241600,3.85,4.29,4.27,4.06,2138261.58,2022-01-27,8681342.0148
1643155200,4.12,4.81,4.53,4.26,2815720.7,2022-01-26,11994970.182
1643068800,4.26,4.66,4.4,4.54,1345768.33,2022-01-25,6109788.2182
1642982400,3.78,4.66,4.66,4.4,2215033.03,2022-01-24,9746145.332
1642896000,4.31,4.78,4.41,4.66,1245726.76,2022-01-23,5805086.7016
1642809600,3.99,5.12,4.95,4.42,2920569.18,2022-01-22,12908915.775600001
1642723200,4.79,5.94,5.81,4.96,4164146.39,2022-01-21,20654166.0944
1642636800,5.77,6.59,6.07,5.81,1527473.56,2022-01-20,8874621.3836
1642550400,5.91,6.25,6.22,6.05,1382116.98,2022-01-19,8361807.728999999
1642464000,6.01,6.58,6.44,6.21,1166655.72,2022-01-18,7244932.021199999
1642377600,6.32,6.98,6.97,6.44,1189973.34,2022-01-17,7663428.309600001
1642291200,6.86,7.09,7.03,6.98,608146.94,2022-01-16,4244865.6411999995
1642204800,6.96,7.22,7.04,7.03,756979.96,2022-01-15,5321569.1188
1642118400,6.72,7.36,7.03,7.04,1101564.96,2022-01-14,7755017.3184
1642032000,6.83,7.56,7.08,7.03,1882301.2,2022-01-13,13232577.436
1641945600,6.93,7.3,7.0,7.1,1585937.23,2022-01-12,11260154.332999999
1641859200,6.47,7.11,6.6,7.0,1270700.73,2022-01-11,8894905.11
1641772800,6.22,7.22,6.93,6.56,1999983.74,2022-01-10,13119893.3344
1641686400,6.52,7.21,6.57,6.93,1919563.78,2022-01-09,13302576.9954
1641600000,6.29,7.33,7.18,6.55,1540883.6,2022-01-08,10092787.58
1641513600,6.4,7.47,7.45,7.17,3760520.81,2022-01-07,26962934.2077
1641427200,7.1,7.84,7.65,7.44,2119379.8,2022-01-06,15768185.712
1641340800,7.24,9.05,8.07,7.64,4078743.32,2022-01-05,31161598.964799996
1641254400,7.93,8.78,8.51,8.08,6189416.14,2022-01-04,50010482.411199994
1641168000,8.44,9.45,8.93,8.51,2097388.0,2022-01-03,17848771.88
1641081600,8.82,9.38,9.12,8.93,1824128.88,2022-01-02,16289470.8984
1640995200,9.0,9.5,9.42,9.12,2190432.0,2022-01-01,19976739.84
1640908800,9.33,10.41,10.25,9.42,3696849.63,2021-12-31,34824323.5146
1640822400,8.78,10.69,9.26,10.25,4543273.48,2021-12-30,46568553.17
1640736000,8.76,10.03,9.06,9.26,4397325.41,2021-12-29,40719233.2966
1640649600,8.42,10.07,9.15,9.06,8200199.06,2021-12-28,74293803.4836
1640563200,7.62,9.59,7.93,9.15,5351680.29,2021-12-27,48967874.653500006
1640476800,7.14,7.97,7.66,7.93,2224877.43,2021-12-26,17643278.0199
1640390400,7.23,8.163,7.95,7.65,2582901.45,2021-12-25,19759196.0925
1640304000,7.04,8.0,7.32,7.94,6202845.9,2021-12-24,49250596.446
1640217600,6.23,7.49,6.36,7.3,5324060.62,2021-12-23,38865642.526
1640131200,5.61,6.51,5.84,6.36,3341853.95,2021-12-22,21254191.122
1640044800,5.33,5.87,5.48,5.85,3155504.75,2021-12-21,18459702.787499998
1639958400,5.09,5.53,5.34,5.48,1414142.41,2021-12-20,7749500.4068
1639872000,5.3,5.64,5.61,5.34,1409601.74,2021-12-19,7527273.2916
1639785600,5.45,5.93,5.52,5.61,2336662.13,2021-12-18,13108674.5493
1639699200,5.35,5.85,5.69,5.51,1354109.06,2021-12-17,7461140.9206
1639612800,5.65,6.21,5.95,5.69,1413375.37,2021-12-16,8042105.855300001
1639526400,5.61,6.16,5.74,5.95,2416696.35,2021-12-15,14379343.2825
1639440000,5.35,5.94,5.64,5.74,2645547.49,2021-12-14,15185442.592600001
1639353600,5.28,6.37,5.59,5.65,5591815.12,2021-12-13,31593755.428000003
1639267200,5.33,5.74,5.74,5.58,896596.67,2021-12-12,5003009.4186
1639180800,5.0,5.78,5.09,5.72,1897652.52,2021-12-11,10854572.4144
1639094400,5.06,5.77,5.52,5.09,2164285.34,2021-12-10,11016212.3806
1639008000,5.42,6.651,6.633,5.51,2207594.49,2021-12-09,12163845.6399
1638921600,5.644,6.951,5.872,6.639,4639796.57,2021-12-08,30803609.428230003
1638835200,5.78,6.455,6.335,5.869,2785713.71,2021-12-07,16349353.76399
1638748800,4.806,6.477,5.286,6.334,4989105.3,2021-12-06,31600992.9702
1638662400,5.088,5.976,5.839,5.283,3143996.38,2021-12-05,16609732.875540001
1638576000,4.892,6.877,6.836,5.832,4361190.37,2021-12-04,25434462.23784
1638489600,6.619,7.484,7.365,6.827,1605123.17,2021-12-03,10958175.88159
1638403200,7.192,7.626,7.558,7.368,1216532.32,2021-12-02,8963410.133760002
1638316800,7.521,8.198,8.008,7.558,1619314.16,2021-12-01,12238776.421279998
1638230400,7.185,8.066,7.465,8.013,1890971.25,2021-11-30,15152352.62625
1638144000,7.453,8.174,7.952,7.47,3015349.14,2021-11-29,22524658.0758
1638057600,6.654,8.05,7.046,7.955,3739924.97,2021-11-28,29751103.136350002
1637971200,6.961,7.344,7.035,7.053,1461981.18,2021-11-27,10311353.26254
1637884800,6.863,8.427,8.212,7.031,4166388.93,2021-11-26,29293880.566829998
1637798400,7.663,8.414,7.948,8.209,1800113.15,2021-11-25,14777128.848349998
1637712000,7.827,8.406,8.376,7.953,1426602.73,2021-11-24,11345771.51169
1637625600,8.133,8.661,8.229,8.374,1208916.01,2021-11-23,10123462.66774
1637539200,8.123,8.778,8.757,8.227,1867080.99,2021-11-22,15360475.30473
1637452800,8.679,9.17,9.055,8.743,1069842.03,2021-11-21,9353628.86829
1637366400,8.71,9.246,9.01,9.052,1210412.28,2021-11-20,10956651.95856
1637280000,8.637,9.345,8.798,9.01,1300264.48,2021-11-19,11715382.9648
1637193600,8.617,10.144,9.743,8.788,2202519.32,2021-11-18,19355739.78416
1637107200,9.516,10.105,9.666,9.742,887387.02,2021-11-17,8644924.34884
1637020800,9.138,10.347,10.344,9.651,1921152.82,2021-11-16,18541045.86582
1636934400,10.321,11.217,11.06,10.341,1005097.62,2021-11-15,10393714.488419998
1636848000,10.774,11.302,11.19,11.053,345941.28,2021-11-14,3823688.9678400005
1636761600,10.704,11.218,10.989,11.189,576594.9,2021-11-13,6451520.3361
1636675200,10.557,11.392,11.136,10.978,920370.35,2021-11-12,10103825.7023
1636588800,10.921,11.409,11.087,11.149,687714.41,2021-11-11,7667327.95709
1636502400,10.75,12.259,11.979,11.11,2286301.14,2021-11-10,25400805.6654
1636416000,11.951,12.448,12.308,11.959,1095010.01,2021-11-09,13095224.70959
1636329600,11.942,12.333,12.105,12.314,757484.56,2021-11-08,9327664.87184
1636243200,11.563,12.274,11.849,12.091,884073.72,2021-11-07,10689335.34852
1636156800,11.323,12.235,12.149,11.848,1174803.75,2021-11-06,13919074.83
1636070400,12.125,13.306,12.942,12.147,1199322.74,2021-11-05,14568173.32278
1635984000,12.075,13.444,13.439,12.954,1738103.57,2021-11-04,22515393.64578
1635897600,11.876,13.45,12.13,13.439,2697599.9,2021-11-03,36253045.056099996
1635811200,12.078,12.984,12.75,12.127,1898429.21,2021-11-02,23022251.02967
1635724800,10.556,13.113,10.906,12.75,4964394.07,2021-11-01,63296024.392500006
1635638400,10.575,11.294,11.075,10.898,1295771.76,2021-10-31,14121320.64048
1635552000,10.817,11.48,11.478,11.094,989589.54,2021-10-30,10978506.356759999
1635465600,10.888,11.787,10.974,11.469,1359526.25,2021-10-29,15592406.56125
1635379200,10.1,11.043,10.154,10.974,1508743.13,2021-10-28,16556947.10862
1635292800,10.143,12.238,11.379,10.154,2685071.32,2021-10-27,27264214.18328
1635206400,10.74,12.168,10.769,11.377,3017442.48,2021-10-26,34329443.094960004
1635120000,10.486,10.774,10.537,10.762,618725.01,2021-10-25,6658718.55762
1635033600,10.234,11.144,10.992,10.532,1010526.21,2021-10-24,10642862.04372
1634947200,10.527,11.043,10.692,10.997,506285.3,2021-10-23,5567619.4441
1634860800,10.579,11.378,10.898,10.693,634994.08,2021-10-22,6789991.697439999
1634774400,10.76,11.715,11.549,10.902,1159610.85,2021-10-21,12642077.4867
1634688000,10.482,11.602,10.724,11.542,838240.09,2021-10-20,9674967.11878
1634601600,10.471,11.029,10.798,10.726,745322.49,2021-10-19,7994329.027740001
1634515200,10.707,11.337,11.145,10.807,539501.75,2021-10-18,5830395.41225
1634428800,10.708,11.788,11.402,11.132,1060182.52,2021-10-17,11801951.81264
1634342400,10.885,11.884,11.089,11.396,1485088.24,2021-10-16,16924065.583040003
1634256000,10.357,11.329,10.775,11.089,1260015.03,2021-10-15,13972306.66767
1634169600,10.098,10.838,10.258,10.753,1168416.55,2021-10-14,12563983.162150001
1634083200,9.748,10.75,10.046,10.259,1619600.19,2021-10-13,16615478.34921
1633996800,9.665,10.345,10.335,10.044,898024.52,2021-10-12,9019758.27888
1633910400,9.991,10.85,10.24,10.331,875922.48,2021-10-11,9049155.14088
1633824000,10.192,11.139,10.949,10.245,745007.7,2021-10-10,7632603.886499999
1633737600,10.573,10.977,10.749,10.95,480444.78,2021-10-09,5260870.341
1633651200,10.666,11.5,10.794,10.734,1426855.82,2021-10-08,15315870.37188
1633564800,10.23,11.14,10.529,10.791,1111059.14,2021-10-07,11989439.179739999
1633478400,9.89,11.001,10.85,10.522,1826473.35,2021-10-06,19218152.5887
1633392000,10.281,10.926,10.374,10.847,1368266.91,2021-10-05,14841591.17277
1633305600,10.063,10.818,10.818,10.359,1161326.8,2021-10-04,12030184.3212
1633219200,10.668,11.182,10.908,10.818,895906.95,2021-10-03,9691921.3851
1633132800,10.5,11.312,10.831,10.892,1075839.08,2021-10-02,11718039.25936
1633046400,10.048,10.973,10.156,10.831,1532065.09,2021-10-01,16593796.98979
1632960000,9.455,10.174,9.506,10.153,1228357.32,2021-09-30,12471511.86996
1632873600,9.219,10.081,9.677,9.507,1880369.07,2021-09-29,17876668.74849
1632787200,9.567,10.407,10.004,9.674,1868582.27,2021-09-28,18076664.879979998
1632700800,9.968,11.952,11.403,10.02,2250537.84,2021-09-27,22550389.156799998
1632614400,8.513,11.577,9.509,11.398,4522096.11,2021-09-26,51542851.461780004
1632528000,9.071,9.824,9.676,9.507,1446014.84,2021-09-25,13747263.08388
1632441600,8.952,10.653,10.633,9.681,2431253.18,2021-09-24,23536962.035579998
1632355200,10.13,10.912,10.518,10.636,2271269.04,2021-09-23,24157217.509439997
1632268800,9.066,10.697,9.23,10.521,2427560.28,2021-09-22,25540361.70588
1632182400,8.9,10.878,10.309,9.231,3256138.4,2021-09-21,30057413.5704
1632096000,9.903,12.101,12.053,10.315,3178411.8,2021-09-20,32785317.716999996
1632009600,11.781,12.72,12.689,12.047,1296856.13,2021-09-19,15623225.798109999
