unix,low,high,open,close,volume,date,vol_fiat
1652572800,1.95,2.22,2.1,2.19,5549.32,2022-05-15,12153.010799999998
1652486400,1.77,2.2,1.95,2.11,19270.17,2022-05-14,40660.058699999994
1652400000,1.82,2.26,2.01,1.95,12633.09,2022-05-13,24634.5255
1652313600,1.37,2.0,1.85,1.96,27075.77,2022-05-12,53068.5092
1652227200,1.7,2.98,2.83,1.85,48678.37,2022-05-11,90054.9845
1652140800,2.66,3.25,2.86,2.84,31935.38,2022-05-10,90696.4792
1652054400,2.78,3.82,3.74,2.85,28505.43,2022-05-09,81240.4755
1651968000,3.6,3.87,3.8,3.73,19274.44,2022-05-08,71893.66119999999
1651881600,3.67,4.15,4.11,3.79,7333.02,2022-05-07,27792.145800000002
1651795200,3.9,4.18,4.08,4.12,6384.6,2022-05-06,26304.552000000003
1651708800,3.91,4.61,4.46,4.08,22333.49,2022-05-05,91120.6392
1651622400,3.94,4.48,3.94,4.44,9358.14,2022-05-04,41550.1416
1651536000,3.83,4.24,4.04,3.9,10344.08,2022-05-03,40341.912
1651449600,3.82,4.2,4.11,4.1,25376.54,2022-05-02,104043.814
1651363200,3.75,4.26,3.83,4.11,17149.28,2022-05-01,70483.5408
1651276800,3.71,4.37,4.24,3.84,46169.24,2022-04-30,177289.8816
1651190400,4.15,4.56,4.47,4.24,12863.81,2022-04-29,54542.5544
1651104000,4.38,4.57,4.46,4.48,10083.96,2022-04-28,45176.1408
1651017600,4.24,4.6,4.3,4.48,11041.58,2022-04-27,49466.2784
1650931200,4.25,4.83,4.79,4.32,31008.93,2022-04-26,133958.57760000002
1650844800,4.38,4.78,4.77,4.78,25033.18,2022-04-25,119658.60040000001
1650758400,4.73,4.97,4.87,4.8,11690.22,2022-04-24,56113.056
1650672000,4.85,5.0,5.0,4.87,2827.44,2022-04-23,13769.632800000001
1650585600,4.89,5.08,4.89,4.98,15773.97,2022-04-22,78554.37060000001
1650499200,4.82,5.43,5.21,4.91,9925.99,2022-04-21,48736.6109
1650412800,5.07,5.46,5.23,5.22,42951.74,2022-04-20,224208.08279999997
1650326400,5.0,5.24,5.03,5.23,30086.21,2022-04-19,157350.8783
1650240000,4.61,5.38,4.79,5.03,142990.62,2022-04-18,719242.8186
1650153600,4.78,5.1,5.08,4.79,8621.16,2022-04-17,41295.3564
1650067200,4.96,5.15,5.09,5.06,42503.73,2022-04-16,215068.8738
1649980800,4.89,5.85,4.97,5.09,126041.56,2022-04-15,641551.5403999999
1649894400,4.89,5.32,5.23,4.96,38706.78,2022-04-14,191985.6288
1649808000,4.87,5.23,5.02,5.23,10304.81,2022-04-13,53894.1563
1649721600,4.79,5.2,4.8,5.04,15155.29,2022-04-12,76382.6616
1649635200,4.7,5.43,5.34,4.78,35907.11,2022-04-11,171635.98580000002
1649548800,5.35,5.67,5.54,5.39,21384.4,2022-04-10,115261.916
1649462400,5.33,5.59,5.36,5.55,34775.81,2022-04-09,193005.7455
1649376000,5.29,5.85,5.81,5.34,60567.23,2022-04-08,323429.0082
1649289600,5.28,5.86,5.44,5.82,113950.01,2022-04-07,663189.0582
1649203200,5.39,6.89,6.34,5.47,385469.75,2022-04-06,2108519.5324999997
1649116800,6.32,10.4,6.5,6.37,697484.19,2022-04-05,4442974.2902999995
1649030400,6.22,7.14,6.96,6.46,31288.88,2022-04-04,202126.1648
1648944000,6.69,7.16,6.92,6.98,19912.29,2022-04-03,138987.78420000002
1648857600,6.76,7.41,6.77,6.91,43702.91,2022-04-02,301987.1081
1648771200,6.1,7.11,6.67,6.77,39202.03,2022-04-01,265397.74309999996
1648684800,6.28,7.06,6.28,6.63,67191.55,2022-03-31,445479.9765
1648598400,5.82,6.6,5.94,6.29,40790.32,2022-03-30,256571.1128
1648512000,5.79,6.27,5.84,5.95,28699.42,2022-03-29,170761.549
1648425600,5.74,6.5,6.05,5.83,24660.88,2022-03-28,143772.9304
1648339200,5.74,6.21,5.88,6.06,67891.55,2022-03-27,411422.793
1648252800,5.48,5.91,5.5,5.88,30774.11,2022-03-26,180951.7668
1648166400,5.43,5.82,5.65,5.48,13267.46,2022-03-25,72705.6808
1648080000,5.58,5.8,5.63,5.65,7464.59,2022-03-24,42174.93350000001
1647993600,5.31,5.7,5.35,5.66,32117.41,2022-03-23,181784.5406
1647907200,5.22,5.51,5.25,5.35,20640.75,2022-03-22,110428.0125
1647820800,5.03,5.45,5.17,5.25,8296.73,2022-03-21,43557.8325
1647734400,5.06,5.39,5.28,5.22,13520.23,2022-03-20,70575.60059999999
1647648000,5.07,5.45,5.07,5.27,29624.18,2022-03-19,156119.42859999998
1647561600,4.68,5.07,4.86,5.06,19332.84,2022-03-18,97824.17039999999
1647475200,4.86,5.16,5.12,4.86,9605.01,2022-03-17,46680.348600000005
1647388800,4.76,5.19,4.8,5.13,16817.98,2022-03-16,86276.2374
1647302400,4.53,4.87,4.71,4.79,18930.65,2022-03-15,90677.8135
1647216000,4.48,4.73,4.6,4.73,17416.94,2022-03-14,82382.1262
1647129600,4.61,4.99,4.88,4.61,46739.09,2022-03-13,215467.2049
1647043200,4.88,5.35,5.16,4.88,18157.63,2022-03-12,88609.2344
1646956800,5.08,5.44,5.44,5.16,40753.65,2022-03-11,210288.834
1646870400,5.44,6.27,6.04,5.44,72117.84,2022-03-10,392321.0496
1646784000,5.38,6.05,5.39,6.03,29149.2,2022-03-09,175769.676
1646697600,5.05,5.51,5.05,5.37,14908.35,2022-03-08,80057.8395
1646611200,4.81,5.23,5.11,5.06,38272.52,2022-03-07,193658.95119999998
1646524800,5.1,5.44,5.27,5.11,46323.9,2022-03-06,236715.12900000002
1646438400,5.16,5.5,5.5,5.25,69464.85,2022-03-05,364690.4625
1646352000,5.5,6.69,6.18,5.5,39015.92,2022-03-04,214587.56
1646265600,5.99,6.53,6.23,6.14,48397.81,2022-03-03,297162.5534
1646179200,6.05,6.79,6.15,6.25,193162.31,2022-03-02,1207264.4375
1646092800,5.09,6.24,5.44,6.15,106338.13,2022-03-01,653979.4995
1646006400,4.88,5.53,5.34,5.44,71191.27,2022-02-28,387280.50880000007
1645920000,5.09,5.46,5.35,5.34,32554.27,2022-02-27,173839.8018
1645833600,4.94,5.48,4.95,5.34,55912.46,2022-02-26,298572.5364
1645747200,4.4,5.0,4.45,4.95,38162.19,2022-02-25,188902.84050000002
1645660800,3.72,4.59,4.38,4.46,33695.31,2022-02-24,150281.0826
1645574400,4.34,4.7,4.52,4.34,24779.15,2022-02-23,107541.511
1645488000,4.21,4.57,4.44,4.53,20546.2,2022-02-22,93074.28600000001
1645401600,4.44,4.99,4.75,4.45,34631.75,2022-02-21,154111.2875
