time,trade_id,price,size,side,date
2022-05-15T21:12:10.85583Z,120119,2.19000000,0.10000000,buy,2022-05-15 21:12:10.855830+00:00
2022-05-15T21:09:43.375705Z,120118,2.22000000,68.11000000,sell,2022-05-15 21:09:43.375705+00:00
2022-05-15T21:07:59.733812Z,120117,2.20000000,9.01000000,sell,2022-05-15 21:07:59.733812+00:00
2022-05-15T21:07:59.733812Z,120116,2.20000000,1.25000000,sell,2022-05-15 21:07:59.733812+00:00
2022-05-15T21:00:20.604119Z,120115,2.21000000,4.70000000,sell,2022-05-15 21:00:20.604119+00:00
2022-05-15T21:00:20.604119Z,120114,2.20000000,20.00000000,sell,2022-05-15 21:00:20.604119+00:00
2022-05-15T21:00:20.604119Z,120113,2.16000000,16.00000000,sell,2022-05-15 21:00:20.604119+00:00
2022-05-15T20:59:17.580068Z,120112,2.16000000,1.89000000,sell,2022-05-15 20:59:17.580068+00:00
2022-05-15T20:36:13.712398Z,120111,2.15000000,32.34000000,buy,2022-05-15 20:36:13.712398+00:00
2022-05-15T20:36:13.712398Z,120110,2.15000000,4.00000000,buy,2022-05-15 20:36:13.712398+00:00
2022-05-15T20:32:32.938871Z,120109,2.15000000,0.10000000,buy,2022-05-15 20:32:32.938871+00:00
2022-05-15T20:18:46.327245Z,120108,2.16000000,2.67000000,sell,2022-05-15 20:18:46.327245+00:00
2022-05-15T20:18:42.075441Z,120107,2.15000000,3.38000000,buy,2022-05-15 20:18:42.075441+00:00
2022-05-15T20:18:42.075441Z,120106,2.15000000,20.00000000,buy,2022-05-15 20:18:42.075441+00:00
2022-05-15T20:15:49.765596Z,120105,2.15000000,0.10000000,buy,2022-05-15 20:15:49.765596+00:00
2022-05-15T19:43:43.05341Z,120104,2.12000000,3.78000000,buy,2022-05-15 19:43:43.053410+00:00
2022-05-15T19:33:37.202899Z,120103,2.12000000,0.10000000,sell,2022-05-15 19:33:37.202899+00:00
2022-05-15T19:32:19.622598Z,120102,2.11000000,0.23000000,buy,2022-05-15 19:32:19.622598+00:00
2022-05-15T19:27:19.545082Z,120101,2.11000000,2.58000000,sell,2022-05-15 19:27:19.545082+00:00
2022-05-15T19:26:05.601633Z,120100,2.12000000,10.13000000,sell,2022-05-15 19:26:05.601633+00:00
2022-05-15T19:11:16.771763Z,120099,2.10000000,0.10000000,sell,2022-05-15 19:11:16.771763+00:00
2022-05-15T19:08:33.704414Z,120098,2.10000000,1.38000000,buy,2022-05-15 19:08:33.704414+00:00
2022-05-15T19:08:33.704414Z,120097,2.11000000,20.00000000,buy,2022-05-15 19:08:33.704414+00:00
2022-05-15T19:08:33.704414Z,120096,2.11000000,0.62000000,buy,2022-05-15 19:08:33.704414+00:00
2022-05-15T19:00:13.754463Z,120095,2.12000000,0.10000000,sell,2022-05-15 19:00:13.754463+00:00
2022-05-15T18:46:16.280982Z,120094,2.13000000,0.10000000,sell,2022-05-15 18:46:16.280982+00:00
2022-05-15T18:42:17.329152Z,120093,2.13000000,9.20000000,sell,2022-05-15 18:42:17.329152+00:00
2022-05-15T18:40:48.218306Z,120092,2.09000000,0.16000000,buy,2022-05-15 18:40:48.218306+00:00
2022-05-15T18:25:34.263682Z,120091,2.11000000,0.10000000,sell,2022-05-15 18:25:34.263682+00:00
2022-05-15T18:19:11.538767Z,120090,2.09000000,1.48000000,buy,2022-05-15 18:19:11.538767+00:00
2022-05-15T17:58:29.117852Z,120089,2.11000000,44.98000000,sell,2022-05-15 17:58:29.117852+00:00
2022-05-15T17:58:29.117852Z,120088,2.11000000,1.22000000,sell,2022-05-15 17:58:29.117852+00:00
2022-05-15T17:58:29.117852Z,120087,2.10000000,0.19000000,sell,2022-05-15 17:58:29.117852+00:00
2022-05-15T17:57:02.447874Z,120086,2.10000000,46.61000000,sell,2022-05-15 17:57:02.447874+00:00
2022-05-15T17:52:07.849431Z,120085,2.11000000,0.10000000,sell,2022-05-15 17:52:07.849431+00:00
2022-05-15T17:41:14.320717Z,120084,2.13000000,1.65000000,sell,2022-05-15 17:41:14.320717+00:00
2022-05-15T17:36:00.180167Z,120083,2.13000000,331.48000000,sell,2022-05-15 17:36:00.180167+00:00
2022-05-15T17:36:00.180167Z,120082,2.12000000,20.00000000,sell,2022-05-15 17:36:00.180167+00:00
2022-05-15T17:36:00.180167Z,120081,2.12000000,117.71000000,sell,2022-05-15 17:36:00.180167+00:00
2022-05-15T17:25:49.078519Z,120080,2.11000000,2.94000000,buy,2022-05-15 17:25:49.078519+00:00
2022-05-15T17:18:50.173685Z,120079,2.10000000,0.67000000,buy,2022-05-15 17:18:50.173685+00:00
2022-05-15T17:16:20.633971Z,120078,2.12000000,3.38000000,sell,2022-05-15 17:16:20.633971+00:00
2022-05-15T17:16:20.633971Z,120077,2.11000000,20.00000000,sell,2022-05-15 17:16:20.633971+00:00
2022-05-15T16:53:51.627511Z,120076,2.10000000,0.10000000,sell,2022-05-15 16:53:51.627511+00:00
2022-05-15T16:51:50.03313Z,120075,2.08000000,8.17000000,buy,2022-05-15 16:51:50.033130+00:00
2022-05-15T16:21:04.950763Z,120074,2.08000000,0.48000000,sell,2022-05-15 16:21:04.950763+00:00
2022-05-15T16:15:16.722675Z,120073,2.07000000,48.69000000,sell,2022-05-15 16:15:16.722675+00:00
2022-05-15T16:09:57.675629Z,120072,2.06000000,0.38000000,buy,2022-05-15 16:09:57.675629+00:00
2022-05-15T16:04:15.046804Z,120071,2.08000000,0.10000000,sell,2022-05-15 16:04:15.046804+00:00
2022-05-15T16:03:51.506038Z,120070,2.07000000,0.46000000,buy,2022-05-15 16:03:51.506038+00:00
2022-05-15T15:56:18.680682Z,120069,2.06000000,0.10000000,buy,2022-05-15 15:56:18.680682+00:00
2022-05-15T15:43:19.13455Z,120068,2.07000000,0.29000000,sell,2022-05-15 15:43:19.134550+00:00
2022-05-15T15:20:28.463227Z,120067,2.08000000,0.20000000,sell,2022-05-15 15:20:28.463227+00:00
2022-05-15T15:20:26.854004Z,120066,2.08000000,0.10000000,sell,2022-05-15 15:20:26.854004+00:00
2022-05-15T15:16:28.029401Z,120065,2.08000000,0.47000000,sell,2022-05-15 15:16:28.029401+00:00
2022-05-15T15:16:20.998935Z,120064,2.08000000,0.15000000,sell,2022-05-15 15:16:20.998935+00:00
2022-05-15T15:13:57.375878Z,120063,2.07000000,12.29000000,buy,2022-05-15 15:13:57.375878+00:00
2022-05-15T15:13:57.375878Z,120062,2.08000000,20.00000000,buy,2022-05-15 15:13:57.375878+00:00
2022-05-15T15:13:37.134276Z,120061,2.08000000,1.13000000,buy,2022-05-15 15:13:37.134276+00:00
2022-05-15T14:54:13.30416Z,120060,2.06000000,0.10000000,buy,2022-05-15 14:54:13.304160+00:00
2022-05-15T14:31:20.305788Z,120059,2.07000000,0.48000000,sell,2022-05-15 14:31:20.305788+00:00
2022-05-15T14:30:36.719286Z,120058,2.06000000,0.10000000,buy,2022-05-15 14:30:36.719286+00:00
2022-05-15T14:07:02.986596Z,120057,2.06000000,1.01000000,buy,2022-05-15 14:07:02.986596+00:00
2022-05-15T14:06:39.634572Z,120056,2.07000000,0.10000000,sell,2022-05-15 14:06:39.634572+00:00
2022-05-15T14:05:55.766453Z,120055,2.09000000,0.30000000,buy,2022-05-15 14:05:55.766453+00:00
2022-05-15T13:51:20.014047Z,120054,2.10000000,0.11000000,sell,2022-05-15 13:51:20.014047+00:00
2022-05-15T13:51:19.706703Z,120053,2.10000000,7.71000000,sell,2022-05-15 13:51:19.706703+00:00
2022-05-15T13:51:15.797301Z,120052,2.12000000,0.10000000,buy,2022-05-15 13:51:15.797301+00:00
2022-05-15T13:46:46.835308Z,120051,2.10000000,0.60000000,buy,2022-05-15 13:46:46.835308+00:00
2022-05-15T13:26:27.186222Z,120050,2.09000000,4.17000000,buy,2022-05-15 13:26:27.186222+00:00
2022-05-15T13:24:35.238957Z,120049,2.10000000,1.69000000,sell,2022-05-15 13:24:35.238957+00:00
2022-05-15T13:14:14.270299Z,120048,2.11000000,45.75000000,sell,2022-05-15 13:14:14.270299+00:00
2022-05-15T13:08:08.079447Z,120047,2.09000000,0.10000000,buy,2022-05-15 13:08:08.079447+00:00
2022-05-15T13:04:12.213823Z,120046,2.09000000,1.62000000,buy,2022-05-15 13:04:12.213823+00:00
2022-05-15T13:00:44.957686Z,120045,2.10000000,0.10000000,buy,2022-05-15 13:00:44.957686+00:00
2022-05-15T12:58:23.856598Z,120044,2.12000000,80.22000000,sell,2022-05-15 12:58:23.856598+00:00
2022-05-15T12:53:09.760826Z,120043,2.13000000,0.18000000,sell,2022-05-15 12:53:09.760826+00:00
2022-05-15T12:42:11.602279Z,120042,2.13000000,0.23000000,sell,2022-05-15 12:42:11.602279+00:00
2022-05-15T12:39:53.656289Z,120041,2.13000000,20.17000000,sell,2022-05-15 12:39:53.656289+00:00
2022-05-15T12:36:08.717556Z,120040,2.12000000,0.14000000,sell,2022-05-15 12:36:08.717556+00:00
2022-05-15T12:31:04.658028Z,120039,2.10000000,0.19000000,buy,2022-05-15 12:31:04.658028+00:00
2022-05-15T12:30:38.291706Z,120038,2.10000000,0.10000000,buy,2022-05-15 12:30:38.291706+00:00
2022-05-15T12:29:36.506976Z,120037,2.13000000,10.61000000,sell,2022-05-15 12:29:36.506976+00:00
2022-05-15T12:29:17.91602Z,120036,2.13000000,0.10000000,sell,2022-05-15 12:29:17.916020+00:00
2022-05-15T12:22:49.574029Z,120035,2.15000000,293.91000000,sell,2022-05-15 12:22:49.574029+00:00
2022-05-15T12:22:49.574029Z,120034,2.15000000,43.18000000,sell,2022-05-15 12:22:49.574029+00:00
2022-05-15T12:20:26.163642Z,120033,2.14000000,136.00000000,buy,2022-05-15 12:20:26.163642+00:00
2022-05-15T12:20:26.094319Z,120032,2.14000000,177.00000000,buy,2022-05-15 12:20:26.094319+00:00
2022-05-15T12:20:25.827368Z,120031,2.14000000,359.54000000,sell,2022-05-15 12:20:25.827368+00:00
2022-05-15T12:20:25.827368Z,120030,2.13000000,116.27000000,sell,2022-05-15 12:20:25.827368+00:00
2022-05-15T12:18:55.249147Z,120029,2.13000000,20.00000000,sell,2022-05-15 12:18:55.249147+00:00
2022-05-15T12:18:55.249147Z,120028,2.13000000,320.74000000,sell,2022-05-15 12:18:55.249147+00:00
2022-05-15T12:18:19.939311Z,120027,2.13000000,192.87000000,buy,2022-05-15 12:18:19.939311+00:00
2022-05-15T12:18:19.920833Z,120026,2.13000000,321.71000000,sell,2022-05-15 12:18:19.920833+00:00
2022-05-15T12:18:19.920833Z,120025,2.13000000,20.00000000,sell,2022-05-15 12:18:19.920833+00:00
2022-05-15T12:18:19.920833Z,120024,2.13000000,81.22000000,sell,2022-05-15 12:18:19.920833+00:00
2022-05-15T12:18:08.137804Z,120023,2.11000000,14.56000000,buy,2022-05-15 12:18:08.137804+00:00
2022-05-15T12:08:08.892279Z,120022,2.13000000,0.29000000,buy,2022-05-15 12:08:08.892279+00:00
2022-05-15T12:08:06.147316Z,120021,2.14000000,0.11000000,sell,2022-05-15 12:08:06.147316+00:00
2022-05-15T12:03:56.190918Z,120020,2.15000000,0.10000000,sell,2022-05-15 12:03:56.190918+00:00
2022-05-15T12:03:26.933352Z,120019,2.13000000,4.40000000,buy,2022-05-15 12:03:26.933352+00:00
2022-05-15T11:46:05.171716Z,120018,2.14000000,1.93000000,buy,2022-05-15 11:46:05.171716+00:00
2022-05-15T11:44:34.533233Z,120017,2.15000000,1.25000000,sell,2022-05-15 11:44:34.533233+00:00
2022-05-15T11:44:17.980446Z,120016,2.15000000,7.67000000,sell,2022-05-15 11:44:17.980446+00:00
2022-05-15T11:39:58.465681Z,120015,2.14000000,0.10000000,buy,2022-05-15 11:39:58.465681+00:00
2022-05-15T11:36:26.868207Z,120014,2.15000000,14.56000000,sell,2022-05-15 11:36:26.868207+00:00
2022-05-15T11:35:53.18093Z,120013,2.15000000,25.53000000,sell,2022-05-15 11:35:53.180930+00:00
2022-05-15T11:33:36.350023Z,120012,2.14000000,1.25000000,buy,2022-05-15 11:33:36.350023+00:00
2022-05-15T11:33:10.010664Z,120011,2.15000000,0.10000000,sell,2022-05-15 11:33:10.010664+00:00
2022-05-15T11:32:06.641457Z,120010,2.13000000,0.37000000,buy,2022-05-15 11:32:06.641457+00:00
2022-05-15T11:21:40.056688Z,120009,2.12000000,0.10000000,sell,2022-05-15 11:21:40.056688+00:00
2022-05-15T11:11:58.067334Z,120008,2.12000000,0.96000000,buy,2022-05-15 11:11:58.067334+00:00
2022-05-15T11:04:56.738613Z,120007,2.12000000,0.10000000,sell,2022-05-15 11:04:56.738613+00:00
2022-05-15T10:55:31.134635Z,120006,2.10000000,0.10000000,buy,2022-05-15 10:55:31.134635+00:00
2022-05-15T10:53:35.665097Z,120005,2.11000000,4.00000000,buy,2022-05-15 10:53:35.665097+00:00
2022-05-15T10:53:35.665097Z,120004,2.11000000,20.00000000,buy,2022-05-15 10:53:35.665097+00:00
2022-05-15T10:53:04.422554Z,120003,2.12000000,18.87000000,sell,2022-05-15 10:53:04.422554+00:00
2022-05-15T10:52:14.580272Z,120002,2.11000000,7.23000000,buy,2022-05-15 10:52:14.580272+00:00
2022-05-15T10:48:49.38118Z,120001,2.08000000,24.22000000,sell,2022-05-15 10:48:49.381180+00:00
2022-05-15T10:48:41.183295Z,120000,2.08000000,19.00000000,sell,2022-05-15 10:48:41.183295+00:00
2022-05-15T10:40:52.294591Z,119999,2.07000000,1.55000000,buy,2022-05-15 10:40:52.294591+00:00
2022-05-15T10:37:44.117268Z,119998,2.06000000,0.27000000,buy,2022-05-15 10:37:44.117268+00:00
2022-05-15T10:32:35.595953Z,119997,2.06000000,0.24000000,sell,2022-05-15 10:32:35.595953+00:00
2022-05-15T10:30:12.681172Z,119996,2.07000000,0.12000000,sell,2022-05-15 10:30:12.681172+00:00
2022-05-15T10:29:11.335964Z,119995,2.07000000,36.05000000,sell,2022-05-15 10:29:11.335964+00:00
2022-05-15T10:28:57.685486Z,119994,2.07000000,0.10000000,sell,2022-05-15 10:28:57.685486+00:00
2022-05-15T10:24:49.434139Z,119993,2.06000000,1.97000000,sell,2022-05-15 10:24:49.434139+00:00
2022-05-15T10:23:42.374469Z,119992,2.06000000,0.10000000,sell,2022-05-15 10:23:42.374469+00:00
2022-05-15T10:19:53.9022Z,119991,2.04000000,0.95000000,buy,2022-05-15 10:19:53.902200+00:00
2022-05-15T10:19:53.9022Z,119990,2.04000000,41.90000000,buy,2022-05-15 10:19:53.902200+00:00
2022-05-15T10:19:53.9022Z,119989,2.04000000,22.70000000,buy,2022-05-15 10:19:53.902200+00:00
2022-05-15T10:19:53.9022Z,119988,2.05000000,8.00000000,buy,2022-05-15 10:19:53.902200+00:00
2022-05-15T10:08:46.526599Z,119987,2.05000000,9.98000000,sell,2022-05-15 10:08:46.526599+00:00
2022-05-15T10:02:41.770578Z,119986,2.06000000,0.24000000,sell,2022-05-15 10:02:41.770578+00:00
2022-05-15T10:02:26.328691Z,119985,2.05000000,0.49000000,buy,2022-05-15 10:02:26.328691+00:00
2022-05-15T09:56:22.609178Z,119984,2.03000000,0.61000000,buy,2022-05-15 09:56:22.609178+00:00
2022-05-15T09:55:41.52819Z,119983,2.04000000,0.10000000,sell,2022-05-15 09:55:41.528190+00:00
2022-05-15T09:26:58.757721Z,119982,2.00000000,4.00000000,buy,2022-05-15 09:26:58.757721+00:00
2022-05-15T09:22:08.723474Z,119981,1.99000000,0.10000000,buy,2022-05-15 09:22:08.723474+00:00
2022-05-15T09:14:57.442908Z,119980,1.98000000,0.10000000,buy,2022-05-15 09:14:57.442908+00:00
2022-05-15T09:10:18.476803Z,119979,2.01000000,23.89000000,buy,2022-05-15 09:10:18.476803+00:00
2022-05-15T09:06:36.010244Z,119978,2.02000000,3.22000000,sell,2022-05-15 09:06:36.010244+00:00
2022-05-15T08:59:01.836393Z,119977,2.02000000,1.40000000,buy,2022-05-15 08:59:01.836393+00:00
2022-05-15T08:59:01.836393Z,119976,2.02000000,8.00000000,buy,2022-05-15 08:59:01.836393+00:00
2022-05-15T08:52:48.814209Z,119975,2.03000000,0.27000000,sell,2022-05-15 08:52:48.814209+00:00
2022-05-15T08:50:38.870276Z,119974,2.03000000,1.50000000,sell,2022-05-15 08:50:38.870276+00:00
2022-05-15T08:49:20.024423Z,119973,2.03000000,0.10000000,sell,2022-05-15 08:49:20.024423+00:00
