unix,low,high,open,close,volume,date,vol_fiat
1652572800,0.815,0.893,0.842,0.869,947569.69,2022-05-15,823438.0606099999
1652486400,0.733,0.899,0.77,0.843,1454925.82,2022-05-14,1226502.46626
1652400000,0.611,0.92,0.626,0.771,1559264.06,2022-05-13,1202192.59026
1652313600,0.568,0.9,0.757,0.623,1567617.65,2022-05-12,976625.7959499999
1652227200,0.699,0.993,0.968,0.756,936474.97,2022-05-11,707975.07732
1652140800,0.889,1.095,0.951,0.968,510191.17,2022-05-10,493865.05256
1652054400,0.915,1.095,1.077,0.954,549919.46,2022-05-09,524623.16484
1651968000,1.047,1.11,1.108,1.082,448172.45,2022-05-08,484922.59090000007
1651881600,1.072,1.171,1.162,1.112,154533.15,2022-05-07,171840.8628
1651795200,1.11,1.174,1.141,1.164,239397.86,2022-05-06,278659.10903999995
1651708800,1.094,1.309,1.281,1.141,706189.61,2022-05-05,805762.34501
1651622400,1.129,1.303,1.13,1.279,1331713.17,2022-05-04,1703261.1444299999
1651536000,1.075,1.162,1.12,1.13,696012.18,2022-05-03,786493.7633999999
1651449600,1.082,1.228,1.182,1.116,789703.46,2022-05-02,881309.06136
1651363200,1.059,1.198,1.099,1.182,1507845.05,2022-05-01,1782272.8491
1651276800,1.09,1.24,1.208,1.099,1684180.17,2022-04-30,1850914.0068299999
1651190400,1.174,1.333,1.321,1.207,1568008.49,2022-04-29,1892586.24743
1651104000,1.309,1.403,1.362,1.322,759877.12,2022-04-28,1004557.55264
1651017600,1.277,1.4,1.328,1.363,1290957.72,2022-04-27,1759575.37236
1650931200,1.289,1.393,1.382,1.328,1324057.96,2022-04-26,1758348.9708800002
1650844800,1.321,1.437,1.379,1.382,918020.87,2022-04-25,1268704.84234
1650758400,1.37,1.413,1.377,1.383,295540.05,2022-04-24,408731.88915
1650672000,1.367,1.435,1.431,1.379,577523.39,2022-04-23,796404.7548100001
1650585600,1.376,1.436,1.394,1.431,888564.65,2022-04-22,1271536.0141500002
1650499200,1.383,1.473,1.445,1.396,737836.88,2022-04-21,1030020.2844799999
1650412800,1.41,1.492,1.473,1.44,629859.44,2022-04-20,906997.5935999999
1650326400,1.447,1.517,1.502,1.471,477261.64,2022-04-19,702051.8724400001
1650240000,1.389,1.52,1.428,1.503,764130.23,2022-04-18,1148487.73569
1650153600,1.415,1.485,1.461,1.427,545038.82,2022-04-17,777770.39614
1650067200,1.435,1.504,1.502,1.461,386560.26,2022-04-16,564764.53986
1649980800,1.454,1.518,1.454,1.502,372084.29,2022-04-15,558870.60358
1649894400,1.435,1.539,1.513,1.453,714244.95,2022-04-14,1037797.91235
1649808000,1.466,1.65,1.481,1.513,1188099.71,2022-04-13,1797594.86123
1649721600,1.436,1.545,1.482,1.482,730794.26,2022-04-12,1083037.09332
1649635200,1.44,1.583,1.571,1.485,1105932.81,2022-04-11,1642310.2228500003
1649548800,1.565,1.64,1.607,1.57,408103.1,2022-04-10,640721.867
1649462400,1.54,1.634,1.557,1.612,516250.93,2022-04-09,832196.49916
1649376000,1.551,1.702,1.63,1.559,836691.32,2022-04-08,1304401.76788
1649289600,1.577,1.738,1.596,1.627,889810.9,2022-04-07,1447722.3343
1649203200,1.582,1.706,1.683,1.599,1312920.96,2022-04-06,2099360.61504
1649116800,1.681,1.81,1.752,1.686,877798.07,2022-04-05,1479967.5460199998
1649030400,1.711,1.803,1.78,1.748,952519.48,2022-04-04,1665004.05104
1648944000,1.743,1.839,1.781,1.777,785016.95,2022-04-03,1394975.1201499999
1648857600,1.766,1.882,1.805,1.788,1029245.55,2022-04-02,1840291.0434
1648771200,1.764,1.925,1.839,1.807,986906.35,2022-04-01,1783339.77445
1648684800,1.826,1.966,1.945,1.839,1437417.82,2022-03-31,2643411.37098
1648598400,1.793,2.152,2.125,1.948,2533162.99,2022-03-30,4934601.50452
1648512000,2.067,2.207,2.092,2.126,525762.69,2022-03-29,1117771.4789399998
1648425600,2.074,2.184,2.131,2.09,574324.74,2022-03-28,1200338.7066
1648339200,1.972,2.338,1.973,2.135,1498010.07,2022-03-27,3198251.49945
1648252800,1.889,1.988,1.926,1.977,224461.24,2022-03-26,443759.87148000003
1648166400,1.877,1.991,1.895,1.925,397179.49,2022-03-25,764570.51825
1648080000,1.873,1.95,1.915,1.895,442276.32,2022-03-24,838113.6264000001
1647993600,1.824,1.92,1.866,1.915,393455.13,2022-03-23,753466.57395
1647907200,1.822,2.01,1.826,1.866,1173813.44,2022-03-22,2190335.87904
1647820800,1.72,1.828,1.764,1.826,293385.09,2022-03-21,535721.17434
1647734400,1.727,1.828,1.801,1.759,266356.9,2022-03-20,468521.7871
1647648000,1.756,1.835,1.815,1.801,391510.93,2022-03-19,705111.18493
1647561600,1.648,1.82,1.682,1.814,774781.55,2022-03-18,1405453.7317000001
1647475200,1.671,1.718,1.695,1.681,385298.72,2022-03-17,647687.1483199999
1647388800,1.624,1.724,1.658,1.696,413168.53,2022-03-16,700733.8268800001
1647302400,1.562,1.729,1.571,1.656,511281.29,2022-03-15,846681.81624
