unix,low,high,open,close,volume,date,vol_fiat
1652486400,28622.96,29919.69,29294.07,29643.61,7.778949,2022-05-14,230596.13036589
1652400000,28726.58,30969.73,28836.33,29230.67,12.0732302,2022-05-13,352908.60781023395
1652313600,25419.58,30194.58,29069.04,28844.37,43.84682837,2022-05-12,1264734.140830777
1652227200,27671.8,32151.07,31098.94,28980.84,46.2800682,2022-05-11,1341235.251693288
1652140800,29769.77,32694.09,30213.51,31083.26,19.38210121,2022-05-10,602458.8912567445
1652054400,30064.85,34228.16,34033.63,30192.23,31.92659918,2022-05-09,963935.2255603714
1651968000,33723.36,35428.12,35428.12,34093.91,8.02446994,2022-05-08,273585.5559320654
1651881600,34792.54,36156.56,36006.86,35429.38,3.69922361,2022-05-07,131061.1989836618
1651795200,35335.6,37108.89,36644.35,36039.09,2.72343522,2022-05-06,98150.12700274978
1651708800,35777.01,39894.59,39682.77,36644.35,7.1311267,2022-05-05,261315.502689145
1651622400,37704.92,40400.73,37704.92,39678.13,2.9904856,2022-05-04,118656.87639992799
1651536000,37548.68,38683.58,38533.24,37717.97,6.34481844,2022-05-03,239313.6715753668
1651449600,38067.67,39155.71,38553.51,38576.75,3.24438571,2022-05-02,125157.8564382425
1651363200,37403.07,38662.31,37647.27,38529.59,3.16285771,2022-05-01,121863.61079463888
1651276800,37567.22,38840.29,38616.81,37618.56,5.03978268,2022-04-30,189589.36713454078
1651190400,38193.98,39958.48,39750.69,38608.11,3.24503778,2022-04-29,125284.77556439581
1651104000,38908.2,40373.54,39259.24,39737.34,2.18116776,2022-04-28,86673.80487615839
1651017600,38014.07,39460.33,38202.6,39229.65,6.10398274,2022-04-27,239457.106496241
1650931200,37869.69,40817.42,40559.56,38202.6,10.20668594,2022-04-26,389921.94029144396
1650844800,38228.92,40588.14,39463.63,40494.66,15.50551156,2022-04-25,627890.4187482697
1650758400,38990.52,40102.23,39571.67,39473.31,8.65489131,2022-04-24,341637.2076959361
1650672000,39303.8,40014.91,39729.6,39571.67,7.62915495,2022-04-23,301898.40206026647
1650585600,39189.7,40999.93,40445.39,39729.6,8.40553197,2022-04-22,333948.422955312
1650499200,39806.84,42990.57,41372.82,40522.88,17.95590642,2022-04-21,727625.0411488896
1650412800,40932.7,42221.43,41480.07,41349.79,13.80893716,2022-04-20,570996.6516891964
1650326400,40616.72,42181.68,40875.09,41526.01,13.31456511,2022-04-19,552900.7639035111
1650240000,38607.84,41078.09,39683.34,40781.0,4.73981433,2022-04-18,193294.36819173
1650153600,39599.56,40699.67,40420.41,39711.29,1.79230623,2022-04-17,71174.7924683367
1650067200,40044.6,41393.94,40565.09,40444.63,1.21462396,2022-04-16,49125.016651334794
1649980800,39823.36,40846.31,39988.28,40514.42,2.96537403,2022-04-15,120140.40890851259
1649894400,39599.54,41527.2,41140.65,40157.34,5.6503564,2022-04-14,226903.28307597598
1649808000,39571.98,41572.09,40076.66,41155.47,4.21584784,2022-04-13,173505.1993036848
1649721600,39310.95,40868.85,39612.65,40182.36,3.64186035,2022-04-12,146338.543653426
1649635200,39266.18,42710.27,42102.6,39599.57,4.22003374,2022-04-11,167111.5214894918
1649548800,41969.75,43397.58,42791.9,42139.65,1.62654865,2022-04-10,68542.19081897249
1649462400,42161.96,42878.57,42318.06,42878.57,2.17406986,2022-04-09,93221.0066769002
1649376000,42147.3,44841.47,43452.17,42254.91,7.13067361,2022-04-08,301305.97162992513
1649289600,42745.7,44701.58,43182.58,43412.23,5.28970481,2022-04-07,229637.88184382633
1649203200,43123.27,45506.63,45471.28,43140.53,8.54877251,2022-04-06,368798.57693083026
1649116800,45377.54,47225.97,46598.02,45463.07,4.18642128,2022-04-05,190327.5637021296
1649030400,45181.32,47588.43,46464.83,46647.15,7.85720953,2022-04-04,366516.4315273395
1648944000,45573.95,47459.45,45858.58,46465.37,3.47878435,2022-04-03,161643.00197295952
