unix,low,high,open,close,volume,date,vol_fiat
1652486400,18.83,22.0,20.58,20.63,6460.41,2022-05-14,133278.2583
1652400000,18.72,22.63,19.05,20.53,3859.458,2022-05-13,79234.67274000001
1652313600,14.11,20.98,19.81,19.02,30293.595,2022-05-12,576184.1769
1652227200,18.46,26.26,25.38,19.79,26254.168,2022-05-11,519569.98472
1652140800,23.57,27.78,24.41,25.39,14847.195,2022-05-10,376970.28105
1652054400,24.21,32.39,31.14,24.4,17258.943,2022-05-09,421118.2092
1651968000,30.73,35.97,35.55,31.13,12729.426,2022-05-08,396267.03137999994
1651881600,33.68,38.16,36.33,35.5,37089.787,2022-05-07,1316687.4385
1651795200,30.25,36.92,30.83,36.39,17131.72,2022-05-06,623423.2908000001
1651708800,29.64,35.64,33.86,30.78,7255.669,2022-05-05,223329.49182
1651622400,30.23,33.78,30.5,33.74,5155.128,2022-05-04,173934.01872
1651536000,29.5,31.15,30.32,30.36,1797.218,2022-05-03,54563.53848
1651449600,29.29,31.14,30.83,30.34,2059.407,2022-05-02,62482.40838
1651363200,27.78,31.06,28.92,30.83,4848.631,2022-05-01,149483.29373
1651276800,27.71,31.49,30.88,28.92,3386.865,2022-04-30,97948.1358
1651190400,30.1,33.48,33.27,30.88,5854.801,2022-04-29,180796.25488
1651104000,32.26,33.63,33.27,33.32,1638.081,2022-04-28,54580.85892
1651017600,31.9,33.67,32.36,33.25,6958.295,2022-04-27,231363.30875
1650931200,31.75,36.75,36.36,32.31,7940.549,2022-04-26,256559.13819000003
1650844800,33.15,36.6,35.85,36.28,3898.393,2022-04-25,141433.69804000002
1650758400,35.37,36.61,36.13,35.96,1574.931,2022-04-24,56634.518760000006
1650672000,35.8,36.9,36.8,36.02,3264.988,2022-04-23,117604.86776000001
1650585600,35.96,37.21,35.96,36.68,2390.666,2022-04-22,87689.62888
1650499200,35.62,39.66,37.76,36.16,4848.433,2022-04-21,175319.33727999998
1650412800,37.13,39.36,38.79,37.77,5218.616,2022-04-20,197107.12632
1650326400,37.28,38.83,37.93,38.75,2982.375,2022-04-19,115567.03125
1650240000,34.85,38.01,36.37,37.89,7017.997,2022-04-18,265911.90633
