id,base_currency,quote_currency
SNX-EUR,SNX,EUR
BICO-USD,BICO,USD
SNX-BTC,SNX,BTC
REQ-GBP,REQ,GBP
VGX-USD,VGX,USD
SUSHI-USD,SUSHI,USD
NMR-EUR,NMR,EUR
CHZ-GBP,CHZ,GBP
UNFI-USD,UNFI,USD
CTSI-USD,CTSI,USD
WLUNA-USDT,WLUNA,USDT
LQTY-EUR,LQTY,EUR
AXS-EUR,AXS,EUR
REN-USD,REN,USD
UPI-USDT,UPI,USDT
CRO-USD,CRO,USD
ALCX-USD,ALCX,USD
ALCX-USDT,ALCX,USDT
FET-USD,FET,USD
SOL-GBP,SOL,GBP
ALGO-GBP,ALGO,GBP
CVC-USDC,CVC,USDC
AUCTION-USDT,AUCTION,USDT
BNT-EUR,BNT,EUR
TRU-EUR,TRU,EUR
SOL-BTC,SOL,BTC
CVC-USD,CVC,USD
ADA-USDC,ADA,USDC
LTC-EUR,LTC,EUR
NMR-BTC,NMR,BTC
RLC-USD,RLC,USD
POLS-USD,POLS,USD
ERN-USD,ERN,USD
AVAX-USDT,AVAX,USDT
DNT-USD,DNT,USD
DOGE-USDT,DOGE,USDT
RLY-GBP,RLY,GBP
USDT-USDC,USDT,USDC
EOS-USD,EOS,USD
MCO2-USDT,MCO2,USDT
BAT-USDC,BAT,USDC
XTZ-GBP,XTZ,GBP
ADA-EUR,ADA,EUR
IMX-USDT,IMX,USDT
UMA-BTC,UMA,BTC
IDEX-USD,IDEX,USD
MKR-USD,MKR,USD
CTX-EUR,CTX,EUR
SNX-USD,SNX,USD
KNC-BTC,KNC,BTC
LINK-BTC,LINK,BTC
OGN-BTC,OGN,BTC
MLN-USD,MLN,USD
INV-USD,INV,USD
ALGO-USD,ALGO,USD
CHZ-USD,CHZ,USD
QUICK-USD,QUICK,USD
MATIC-USD,MATIC,USD
GALA-EUR,GALA,EUR
CGLD-GBP,CGLD,GBP
TRIBE-USD,TRIBE,USD
ICP-EUR,ICP,EUR
ACH-USD,ACH,USD
ZEC-USDC,ZEC,USDC
LQTY-USDT,LQTY,USDT
BAT-USD,BAT,USD
USDT-EUR,USDT,EUR
ADA-BTC,ADA,BTC
BUSD-USD,BUSD,USD
WLUNA-EUR,WLUNA,EUR
AERGO-USD,AERGO,USD
MASK-GBP,MASK,GBP
SUKU-USDT,SUKU,USDT
RNDR-USD,RNDR,USD
AVAX-BTC,AVAX,BTC
ORCA-USD,ORCA,USD
DOT-USD,DOT,USD
ANKR-GBP,ANKR,GBP
REQ-EUR,REQ,EUR
MINA-EUR,MINA,EUR
WCFG-USDT,WCFG,USDT
ARPA-EUR,ARPA,EUR
GRT-GBP,GRT,GBP
BAND-GBP,BAND,GBP
XLM-USDT,XLM,USDT
DOGE-BTC,DOGE,BTC
BNT-USD,BNT,USD
GST-USD,GST,USD
DOGE-GBP,DOGE,GBP
FORTH-USD,FORTH,USD
AXS-BTC,AXS,BTC
POLY-USDT,POLY,USDT
XYO-USDT,XYO,USDT
ZRX-EUR,ZRX,EUR
TRAC-EUR,TRAC,EUR
RLY-EUR,RLY,EUR
WCFG-EUR,WCFG,EUR
BAT-EUR,BAT,EUR
PERP-USDT,PERP,USDT
SHPING-USD,SHPING,USD
DIA-USD,DIA,USD
CHZ-USDT,CHZ,USDT
DOT-BTC,DOT,BTC
SKL-EUR,SKL,EUR
ENS-USD,ENS,USD
LCX-EUR,LCX,EUR
ETH-USD,ETH,USD
NCT-USDT,NCT,USDT
XLM-EUR,XLM,EUR
SUKU-EUR,SUKU,EUR
GAL-USD,GAL,USD
NU-USD,NU,USD
IOTX-USD,IOTX,USD
MDT-USD,MDT,USD
ETC-GBP,ETC,GBP
MIR-EUR,MIR,EUR
DESO-EUR,DESO,EUR
LTC-USD,LTC,USD
FIDA-USD,FIDA,USD
BTC-USD,BTC,USD
POLY-USD,POLY,USD
MPL-USD,MPL,USD
BICO-USDT,BICO,USDT
DIA-USDT,DIA,USDT
MCO2-USD,MCO2,USD
ENJ-BTC,ENJ,BTC
WLUNA-GBP,WLUNA,GBP
ETH-USDT,ETH,USDT
DASH-USD,DASH,USD
ARPA-USDT,ARPA,USDT
GALA-USD,GALA,USD
WCFG-BTC,WCFG,BTC
NMR-USD,NMR,USD
ENJ-USDT,ENJ,USDT
IDEX-USDT,IDEX,USDT
ZEC-USD,ZEC,USD
API3-USDT,API3,USDT
